condition,alpha,T,control,post_displacement_viability,return_to_viable_corridor_rate,recoverable_continuation_profile,minimal_recoverability
coupled,0.45,900,none,1.0,1.0,0.027487673796713352,0.6758292245989045
coupled,0.45,900,rigid_collapse,0.20508163265306126,0.9811479591836733,0.018746008189532863,0.40165853334208906
coupled,0.45,900,noise_fakeout,1.0,1.0,0.004454778274521232,0.6681515927581737
coupled,0.45,900,single_component_erasure,1.0,1.0,0.045300789177417755,0.6817669297258059
coupled,0.45,900,endpoint_fakeout,1.0,1.0,0.02400079369544983,0.6746669312318166
coupled,0.45,900,delayed_trap,1.0,1.0,0.009493633173406124,0.6698312110578021
coupled,0.45,900,component_swap_fakeout,1.0,1.0,0.02374028693884611,0.6745800956462821
coupled,0.45,1500,none,1.0,1.0,0.024852926842868328,0.6749509756142894
coupled,0.45,1500,rigid_collapse,0.14891836734693878,0.9552142857142856,0.01637689132123653,0.3735031814608203
coupled,0.45,1500,noise_fakeout,1.0,1.0,0.00366050167940557,0.6678868338931352
coupled,0.45,1500,single_component_erasure,1.0,1.0,0.0381591971963644,0.6793863990654548
coupled,0.45,1500,endpoint_fakeout,1.0,1.0,0.021378811448812485,0.6737929371496042
coupled,0.45,1500,delayed_trap,1.0,1.0,0.008676054421812296,0.6695586848072708
coupled,0.45,1500,component_swap_fakeout,1.0,1.0,0.028098917566239834,0.67603297252208
coupled,0.45,2400,none,1.0,1.0,0.02216582465916872,0.6740552748863896
coupled,0.45,2400,rigid_collapse,0.14337755102040814,0.9546632653061226,0.014060269383114898,0.3707003619032152
coupled,0.45,2400,noise_fakeout,1.0,1.0,0.003663153387606144,0.6678877177958688
coupled,0.45,2400,single_component_erasure,1.0,1.0,0.055110806599259377,0.6850369355330864
coupled,0.45,2400,endpoint_fakeout,1.0,1.0,0.019358630292117596,0.6731195434307059
coupled,0.45,2400,delayed_trap,1.0,1.0,0.008011222467757761,0.6693370741559193
coupled,0.45,2400,component_swap_fakeout,1.0,1.0,0.033338967710733414,0.6777796559035778
coupled,0.5,900,none,1.0,1.0,0.02861236408352852,0.6762041213611761
coupled,0.5,900,rigid_collapse,0.19044897959183674,0.9767091836734695,0.020049444802927464,0.3957358693560779
coupled,0.5,900,noise_fakeout,1.0,1.0,0.0033733766758814454,0.6677911255586272
coupled,0.5,900,single_component_erasure,1.0,1.0,0.0407420564442873,0.6802473521480957
coupled,0.5,900,endpoint_fakeout,1.0,1.0,0.024776222184300423,0.6749254073947668
coupled,0.5,900,delayed_trap,1.0,1.0,0.009757855732459575,0.6699192852441532
coupled,0.5,900,component_swap_fakeout,1.0,1.0,0.025960257276892662,0.6753200857589642
coupled,0.5,1500,none,1.0,1.0,0.02623081672936678,0.6754102722431222
coupled,0.5,1500,rigid_collapse,0.14768367346938777,0.961030612244898,0.01816169703882948,0.3756253275843717
coupled,0.5,1500,noise_fakeout,1.0,1.0,0.004039602703414857,0.6680132009011382
coupled,0.5,1500,single_component_erasure,1.0,1.0,0.04731057770550251,0.6824368592351675
coupled,0.5,1500,endpoint_fakeout,1.0,1.0,0.02288957964628935,0.6742965265487632
coupled,0.5,1500,delayed_trap,1.0,1.0,0.00930246344069019,0.6697674878135634
coupled,0.5,1500,component_swap_fakeout,1.0,1.0,0.03192578721791506,0.677308595739305
coupled,0.5,2400,none,1.0,1.0,0.021361317485570908,0.6737871058285236
coupled,0.5,2400,rigid_collapse,0.14304081632653062,0.9496224489795918,0.013888147679832288,0.3688504709953182
coupled,0.5,2400,noise_fakeout,1.0,1.0,0.004139493685215712,0.6680464978950719
coupled,0.5,2400,single_component_erasure,1.0,1.0,0.03955928236246109,0.6798530941208204
coupled,0.5,2400,endpoint_fakeout,1.0,1.0,0.020567073486745358,0.6735223578289151
coupled,0.5,2400,delayed_trap,1.0,1.0,0.008015087514650077,0.6693383625048833
coupled,0.5,2400,component_swap_fakeout,1.0,1.0,0.04440277814865112,0.681467592716217
coupled,0.525,900,none,1.0,1.0,0.028853279538452625,0.6762844265128175
coupled,0.525,900,rigid_collapse,0.182734693877551,0.9717448979591837,0.019207388478663885,0.39122899343846623
coupled,0.525,900,noise_fakeout,1.0,1.0,0.004211148130707443,0.6680703827102358
coupled,0.525,900,single_component_erasure,1.0,1.0,0.042188508436083794,0.6807295028120279
coupled,0.525,900,endpoint_fakeout,1.0,1.0,0.025468950159847736,0.6751563167199492
coupled,0.525,900,delayed_trap,1.0,1.0,0.009930750355124474,0.6699769167850415
coupled,0.525,900,component_swap_fakeout,1.0,1.0,0.02619044855237007,0.6753968161841234
coupled,0.525,1500,none,1.0,1.0,0.027143755927681923,0.6757145853092273
coupled,0.525,1500,rigid_collapse,0.1491326530612245,0.971688775510204,0.018836152291253246,0.3798858602875606
coupled,0.525,1500,noise_fakeout,1.0,1.0,0.004376398283056915,0.6681254660943523
coupled,0.525,1500,single_component_erasure,1.0,1.0,0.05041384696960449,0.6834712823232015
coupled,0.525,1500,endpoint_fakeout,1.0,1.0,0.024235572665929794,0.6747451908886433
coupled,0.525,1500,delayed_trap,1.0,1.0,0.00933177350088954,0.6697772578336298
coupled,0.525,1500,component_swap_fakeout,1.0,1.0,0.034862481988966465,0.6782874939963222
coupled,0.525,2400,none,1.0,1.0,0.02354488428682089,0.6745149614289403
coupled,0.525,2400,rigid_collapse,0.1429897959183673,0.9371581632653062,0.014624781974541423,0.36492424705273835
coupled,0.525,2400,noise_fakeout,1.0,1.0,0.003166422015056014,0.6677221406716853
coupled,0.525,2400,single_component_erasure,1.0,1.0,0.05030009523034096,0.6834333650767803
coupled,0.525,2400,endpoint_fakeout,1.0,1.0,0.01904121320694685,0.673013737735649
coupled,0.525,2400,delayed_trap,1.0,1.0,0.00848689948907122,0.6694956331630237
coupled,0.525,2400,component_swap_fakeout,1.0,1.0,0.04976106807589531,0.6832536893586317
