invariant,metric,control,auc_coupled_vs_control
I1_viability,viability_gate,component_swap_fakeout,0.30493827160493825
I1_viability,viability_gate,delayed_trap,0.30493827160493825
I1_viability,viability_gate,endpoint_fakeout,0.30493827160493825
I1_viability,viability_gate,noise_fakeout,0.30493827160493825
I1_viability,viability_gate,rigid_collapse,0.30493827160493825
I1_viability,viability_gate,single_component_erasure,0.30493827160493825
I2_ordered_distinction_persistence,ordered_persistence,component_swap_fakeout,0.7432098765432099
I2_ordered_distinction_persistence,ordered_persistence,delayed_trap,0.10617283950617283
I2_ordered_distinction_persistence,ordered_persistence,endpoint_fakeout,0.38024691358024687
I2_ordered_distinction_persistence,ordered_persistence,noise_fakeout,1.0
I2_ordered_distinction_persistence,ordered_persistence,rigid_collapse,0.4345679012345679
I2_ordered_distinction_persistence,ordered_persistence,single_component_erasure,0.28888888888888886
I3_component_non_erasure,component_non_erasure,component_swap_fakeout,1.0
I3_component_non_erasure,component_non_erasure,delayed_trap,0.0271604938271605
I3_component_non_erasure,component_non_erasure,endpoint_fakeout,0.5407407407407407
I3_component_non_erasure,component_non_erasure,noise_fakeout,0.2
I3_component_non_erasure,component_non_erasure,rigid_collapse,0.6641975308641975
I3_component_non_erasure,component_non_erasure,single_component_erasure,0.8518518518518519
I4_counterfactual_affordance_relevance,counterfactual_affordance,component_swap_fakeout,1.0
I4_counterfactual_affordance_relevance,counterfactual_affordance,delayed_trap,0.6567901234567901
I4_counterfactual_affordance_relevance,counterfactual_affordance,endpoint_fakeout,0.7580246913580247
I4_counterfactual_affordance_relevance,counterfactual_affordance,noise_fakeout,0.2370370370370371
I4_counterfactual_affordance_relevance,counterfactual_affordance,rigid_collapse,1.0
I4_counterfactual_affordance_relevance,counterfactual_affordance,single_component_erasure,0.8049382716049382
I5_minimal_recoverability,minimal_recoverability,component_swap_fakeout,0.08148148148148149
I5_minimal_recoverability,minimal_recoverability,delayed_trap,0.9283950617283951
I5_minimal_recoverability,minimal_recoverability,endpoint_fakeout,0.32098765432098764
I5_minimal_recoverability,minimal_recoverability,noise_fakeout,1.0
I5_minimal_recoverability,minimal_recoverability,rigid_collapse,1.0
I5_minimal_recoverability,minimal_recoverability,single_component_erasure,0.0
I6_horizon_coherence,horizon_coherence,component_swap_fakeout,0.0
I6_horizon_coherence,horizon_coherence,delayed_trap,0.0
I6_horizon_coherence,horizon_coherence,endpoint_fakeout,0.0
I6_horizon_coherence,horizon_coherence,noise_fakeout,0.33333333333333337
I6_horizon_coherence,horizon_coherence,rigid_collapse,0.2
I6_horizon_coherence,horizon_coherence,single_component_erasure,0.0
