,p_viable_T,tail_viability,kernel_erosion_slope,mean_hazard,late_hazard,endpoint_variance,mean_pairwise_trajectory_distance,effective_dimension,covariance_spectrum_rank,path_concentration_index,collapse_score,tube_thickness_mean,tube_erosion_slope,perturbation_survival_radius,boundary_proximity,restoration_probability,return_to_corridor_time,restoration_half_life,post_perturbation_viability,overshoot_or_absorption_rate,predictive_r2,time_shuffled_r2,A_pred_delta,gaussian_mi_approx,binned_mi_diagnostic,component_prediction_balance,component_erasure_proxy,joint_vs_product_prediction_delta,joint_vs_shuffled_prediction_delta
p_viable_T,1.0,0.9999999999909296,-0.9999983641499579,-0.9999983336268242,0.04448706412810461,0.160523374089529,0.7839834452320878,0.753872070499671,0.6026709956040307,-0.9445447363367943,-0.9445447363367943,0.6661285868404955,-0.9260199191517907,0.8653258001594127,-0.9999995727467597,0.9999975308589423,,0.9999982747314888,0.9999635483538848,-0.999998274731489,0.6322911006921866,-0.7797039102993434,0.6325794581891361,0.537236468773297,0.6825089613160106,0.34689604456442164,-0.3468960445644217,0.3284396256656555,0.3284396256656555
tail_viability,0.9999999999909296,1.0,-0.9999983599069242,-0.9999983293601771,0.04449131912854452,0.1605274132315544,0.7839849273893615,0.7538717230519035,0.6026705953625587,-0.944544615960768,-0.944544615960768,0.6661296290968038,-0.9260194620109128,0.8653263264174827,-0.9999995706165768,0.9999975354264136,,0.9999982704217749,0.9999635442492524,-0.999998270421775,0.6322909769432988,-0.7797030570851577,0.6325793337229407,0.5372354280508527,0.6825086846410334,0.34689604456442164,-0.3468960445644217,0.3284396256656555,0.3284396256656555
kernel_erosion_slope,-0.9999983641499579,-0.9999983599069242,1.0,0.9999999993429142,-0.04349390490436931,-0.15977257883020077,-0.7842950793456311,-0.7546791220884611,-0.6035603304569228,0.9449795068122422,0.9449795068122422,-0.6650103446499164,0.9260575824699846,-0.8645830950596034,0.9999996014904742,-0.9999923224188983,,-0.9999999947810126,-0.9999633207802915,0.9999999947810125,-0.63299602910055,0.7807278481093103,-0.6332848539699317,-0.5380572695574771,-0.6832988137444916,-0.9582231405973222,0.9582231405973223,-0.6093527014357705,-0.6093527014357705
mean_hazard,-0.9999983336268242,-0.9999983293601771,0.9999999993429142,1.0,-0.043488364908131315,-0.15976530178016526,-0.7843038000341556,-0.7546886558804531,-0.6035699623034088,0.944984568041974,0.944984568041974,-0.6649871331082009,0.9260540130040574,-0.8645679351722584,0.9999995882313694,-0.9999922376361454,,-0.9999999978276132,-0.9999634660980503,0.9999999978276132,-0.6329999019716321,0.7807385694188016,-0.6332887342154943,-0.5380690201983074,-0.6833090381219072,-0.9582227919969858,0.9582227919969856,-0.6093525383419259,-0.6093525383419259
late_hazard,0.04448706412810461,0.04449131912854452,-0.04349390490436931,-0.043488364908131315,1.0,0.954532240211579,0.3825224195308843,-0.047955568426635245,-0.0670652751014844,-0.013787539033221836,-0.013787539033221836,0.27409929997380406,0.06602563833540717,0.16193276847966764,-0.04398953297885171,0.04556039345562064,,0.04347826086956521,0.0435248183006685,-0.04347826086956521,-0.0008954857026252262,0.16543508664587703,-0.0010509031219433725,-0.2202027898708475,-0.03453052362170502,,,,
endpoint_variance,0.160523374089529,0.1605274132315544,-0.15977257883020077,-0.15976530178016526,0.954532240211579,1.0,0.5261270521692647,0.06194760234031511,0.013003926275009167,-0.1448176148533689,-0.1448176148533689,0.3050198233745867,0.005043570509015324,0.22544490143065735,-0.16013511465901833,0.16133200958195948,,0.15975204099548224,0.15783380080728437,-0.15975204099548224,0.2359977004633336,-0.008976263000740033,0.23583928458695605,-0.02790884910478308,0.14012148596730872,0.5895145996886554,-0.5895145996886555,0.8903012519852342,0.8903012519852342
mean_pairwise_trajectory_distance,0.7839834452320878,0.7839849273893615,-0.7842950793456311,-0.7843038000341556,0.3825224195308843,0.5261270521692647,1.0,0.7220283253679634,0.5719128877705989,-0.8363760454029838,-0.8363760454029838,0.29227801157461875,-0.6448652351103712,0.49527104482901807,-0.7841508583650155,0.7834403793584611,,0.7843196421095185,0.7842311290490634,-0.7843196421095184,0.8130010297113184,-0.7824234638024298,0.8131641656260661,0.6881060857016064,0.8444964710283033,-0.300659029168553,0.3006590291685531,0.31617488190513815,0.31617488190513815
effective_dimension,0.753872070499671,0.7538717230519035,-0.7546791220884611,-0.7546886558804531,-0.047955568426635245,0.06194760234031511,0.7220283253679634,1.0,0.968419932605423,-0.9235978241096807,-0.9235978241096807,0.19985951075575178,-0.6785043814052018,0.4462742803231912,-0.754292141342573,0.7532036761377747,,0.7547059901786124,0.7542653256805024,-0.7547059901786123,0.603573687072815,-0.8993343838222007,0.6039951960865323,0.42330937283884723,0.7481356368320601,-0.26371257304763046,0.26371257304763046,-0.7518031952775058,-0.7518031952775058
covariance_spectrum_rank,0.6026709956040307,0.6026705953625587,-0.6035603304569228,-0.6035699623034088,-0.0670652751014844,0.013003926275009167,0.5719128877705989,0.968419932605423,1.0,-0.8124818593176395,-0.8124818593176395,0.09184699061750383,-0.5446428519985986,0.3149728310767987,-0.6031333856853064,0.6020125324001758,,0.6035874759133595,0.6030091957735348,-0.6035874759133596,0.4309606483585954,-0.8124875256171171,0.43142229821806666,0.22704395800388358,0.5916173744225887,-0.2078597343851877,0.20785973438518762,-0.7153963828766644,-0.7153963828766644
path_concentration_index,-0.9445447363367943,-0.944544615960768,0.9449795068122422,0.944984568041974,-0.013787539033221836,-0.1448176148533689,-0.8363760454029838,-0.9235978241096807,-0.8124818593176395,1.0,1.0,-0.46136583068167614,0.8607677706342565,-0.7003987773126585,0.9447702143242775,-0.9441468898964849,,-0.9449937680208437,-0.9446869673900857,0.9449937680208437,-0.7042819168592919,0.9041588277806928,-0.7046367620253217,-0.5635884992248092,-0.7968409337975241,0.25722535359040183,-0.2572253535904017,0.747616672550538,0.747616672550538
collapse_score,-0.9445447363367943,-0.944544615960768,0.9449795068122422,0.944984568041974,-0.013787539033221836,-0.1448176148533689,-0.8363760454029838,-0.9235978241096807,-0.8124818593176395,1.0,1.0,-0.46136583068167614,0.8607677706342565,-0.7003987773126585,0.9447702143242775,-0.9441468898964849,,-0.9449937680208437,-0.9446869673900857,0.9449937680208437,-0.7042819168592919,0.9041588277806928,-0.7046367620253217,-0.5635884992248092,-0.7968409337975241,0.25722535359040183,-0.2572253535904017,0.747616672550538,0.747616672550538
tube_thickness_mean,0.6661285868404955,0.6661296290968038,-0.6650103446499164,-0.6649871331082009,0.27409929997380406,0.3050198233745867,0.29227801157461875,0.19985951075575178,0.09184699061750383,-0.46136583068167614,-0.46136583068167614,1.0,-0.6684153281343577,0.9476515596027792,-0.6655355562570247,0.6676361437876392,,0.6649449211992045,0.6637985764321241,-0.6649449211992045,0.15278261390572614,-0.13667886200168233,0.15280350115212554,-0.025919918301722168,0.09764381519895184,0.93336311480873,-0.9333631148087302,0.5144242048833951,0.5144242048833951
tube_erosion_slope,-0.9260199191517907,-0.9260194620109128,0.9260575824699846,0.9260540130040574,0.06602563833540717,0.005043570509015324,-0.6448652351103712,-0.6785043814052018,-0.5446428519985986,0.8607677706342565,0.8607677706342565,-0.6684153281343577,1.0,-0.840489665274899,0.9260405377363031,-0.9260931565079502,,-0.9260475233818195,-0.9277796512816243,0.9260475233818196,-0.4969157913720832,0.6893416879542793,-0.49721464154707523,-0.45978164072996064,-0.595094870049119,-0.35115671599759934,0.35115671599759907,0.15608655133269092,0.15608655133269092
perturbation_survival_radius,0.8653258001594127,0.8653263264174827,-0.8645830950596034,-0.8645679351722584,0.16193276847966764,0.22544490143065735,0.49527104482901807,0.4462742803231912,0.3149728310767987,-0.7003987773126585,-0.7003987773126585,0.9476515596027792,-0.840489665274899,1.0,-0.8649328038164253,0.8663224003157561,,0.8645403654431185,0.8638770310307281,-0.8645403654431186,0.33800951326483414,-0.4144477198875534,0.3381614317238485,0.1912853777220176,0.32727636416636435,0.9074962742451775,-0.9074962742451773,0.45984776915689296,0.45984776915689296
boundary_proximity,-0.9999995727467597,-0.9999995706165768,0.9999996014904742,0.9999995882313694,-0.04398953297885171,-0.16013511465901833,-0.7841508583650155,-0.754292141342573,-0.6031333856853064,0.9447702143242775,0.9447702143242775,-0.6655355562570247,0.9260405377363031,-0.8649328038164253,1.0,-0.9999952647190419,,-0.9999995607409654,-0.9999643382947815,0.9999995607409652,-0.6326347695260836,0.7802276671631844,-0.6329233780480678,-0.537653734478113,-0.6829148917749226,0.09720442666104537,-0.09720442666104559,0.34849649879651606,0.34849649879651606
restoration_probability,0.9999975308589423,0.9999975354264136,-0.9999923224188983,-0.9999922376361454,0.04556039345562064,0.16133200958195948,0.7834403793584611,0.7532036761377747,0.6020125324001758,-0.9441468898964849,-0.9441468898964849,0.6676361437876392,-0.9260931565079502,0.8663224003157561,-0.9999952647190419,1.0,,0.9999920800547227,0.9999566581122574,-0.9999920800547228,0.6313638522010591,-0.7786029874767474,0.6316518269185883,0.5359197200537676,0.6815226453415895,0.5082292208174001,-0.5082292208174,-0.04461986653417854,-0.04461986653417854
return_to_corridor_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restoration_half_life,0.9999982747314888,0.9999982704217749,-0.9999999947810126,-0.9999999978276132,0.04347826086956521,0.15975204099548224,0.7843196421095185,0.7547059901786124,0.6035874759133595,-0.9449937680208437,-0.9449937680208437,0.6649449211992045,-0.9260475233818195,0.8645403654431185,-0.9999995607409654,0.9999920800547227,,1.0,0.9999637269302118,-1.0,0.6330069426482662,-0.7807580670203418,0.6332957883049828,0.5380903904034521,0.6833276274838377,,,,
post_perturbation_viability,0.9999635483538848,0.9999635442492524,-0.9999633207802915,-0.9999634660980503,0.0435248183006685,0.15783380080728437,0.7842311290490634,0.7542653256805024,0.6030091957735348,-0.9446869673900857,-0.9446869673900857,0.6637985764321241,-0.9277796512816243,0.8638770310307281,-0.9999643382947815,0.9999566581122574,,0.9999637269302118,1.0,-0.999963726930212,0.6305388723679459,-0.7796894903674038,0.6308284553302662,0.5378969323218006,0.6830296056118065,-0.5498050750073901,0.5498050750073901,-0.6482071602527569,-0.6482071602527569
overshoot_or_absorption_rate,-0.999998274731489,-0.999998270421775,0.9999999947810125,0.9999999978276132,-0.04347826086956521,-0.15975204099548224,-0.7843196421095184,-0.7547059901786123,-0.6035874759133596,0.9449937680208437,0.9449937680208437,-0.6649449211992045,0.9260475233818196,-0.8645403654431186,0.9999995607409652,-0.9999920800547228,,-1.0,-0.999963726930212,1.0,-0.6330069426482662,0.7807580670203418,-0.6332957883049828,-0.5380903904034521,-0.6833276274838377,,,,
predictive_r2,0.6322911006921866,0.6322909769432988,-0.63299602910055,-0.6329999019716321,-0.0008954857026252262,0.2359977004633336,0.8130010297113184,0.603573687072815,0.4309606483585954,-0.7042819168592919,-0.7042819168592919,0.15278261390572614,-0.4969157913720832,0.33800951326483414,-0.6326347695260836,0.6313638522010591,,0.6330069426482662,0.6305388723679459,-0.6330069426482662,1.0,-0.749456564136159,0.9999998050010985,0.8989537979019188,0.9413811509198864,0.429207155068074,-0.429207155068074,0.9392384300998704,0.9392384300998704
time_shuffled_r2,-0.7797039102993434,-0.7797030570851577,0.7807278481093103,0.7807385694188016,0.16543508664587703,-0.008976263000740033,-0.7824234638024298,-0.8993343838222007,-0.8124875256171171,0.9041588277806928,0.9041588277806928,-0.13667886200168233,0.6893416879542793,-0.4144477198875534,0.7802276671631844,-0.7786029874767474,,-0.7807580670203418,-0.7796894903674038,0.7807580670203418,-0.749456564136159,1.0,-0.7498698690965847,-0.670649860296406,-0.8250769021755651,0.11607309864534808,-0.11607309864534798,0.1770361960510012,0.1770361960510012
A_pred_delta,0.6325794581891361,0.6325793337229407,-0.6332848539699317,-0.6332887342154943,-0.0010509031219433725,0.23583928458695605,0.8131641656260661,0.6039951960865323,0.43142229821806666,-0.7046367620253217,-0.7046367620253217,0.15280350115212554,-0.49721464154707523,0.3381614317238485,-0.6329233780480678,0.6316518269185883,,0.6332957883049828,0.6308284553302662,-0.6332957883049828,0.9999998050010985,-0.7498698690965847,1.0,0.8989507201857432,0.9414937382545704,0.42918662992051,-0.42918662992051,0.9392333954960598,0.9392333954960598
gaussian_mi_approx,0.537236468773297,0.5372354280508527,-0.5380572695574771,-0.5380690201983074,-0.2202027898708475,-0.02790884910478308,0.6881060857016064,0.42330937283884723,0.22704395800388358,-0.5635884992248092,-0.5635884992248092,-0.025919918301722168,-0.45978164072996064,0.1912853777220176,-0.537653734478113,0.5359197200537676,,0.5380903904034521,0.5378969323218006,-0.5380903904034521,0.8989537979019188,-0.670649860296406,0.8989507201857432,1.0,0.8745505847801727,-0.008237346269812876,0.008237346269812918,0.5841290130795943,0.5841290130795943
binned_mi_diagnostic,0.6825089613160106,0.6825086846410334,-0.6832988137444916,-0.6833090381219072,-0.03453052362170502,0.14012148596730872,0.8444964710283033,0.7481356368320601,0.5916173744225887,-0.7968409337975241,-0.7968409337975241,0.09764381519895184,-0.595094870049119,0.32727636416636435,-0.6829148917749226,0.6815226453415895,,0.6833276274838377,0.6830296056118065,-0.6833276274838377,0.9413811509198864,-0.8250769021755651,0.9414937382545704,0.8745505847801727,1.0,-0.12000804562517929,0.12000804562517933,0.4098875458241541,0.4098875458241541
component_prediction_balance,0.34689604456442164,0.34689604456442164,-0.9582231405973222,-0.9582227919969858,,0.5895145996886554,-0.300659029168553,-0.26371257304763046,-0.2078597343851877,0.25722535359040183,0.25722535359040183,0.93336311480873,-0.35115671599759934,0.9074962742451775,0.09720442666104537,0.5082292208174001,,,-0.5498050750073901,,0.429207155068074,0.11607309864534808,0.42918662992051,-0.008237346269812876,-0.12000804562517929,1.0,-0.9999999999999999,0.7105585229244582,0.7105585229244582
component_erasure_proxy,-0.3468960445644217,-0.3468960445644217,0.9582231405973223,0.9582227919969856,,-0.5895145996886555,0.3006590291685531,0.26371257304763046,0.20785973438518762,-0.2572253535904017,-0.2572253535904017,-0.9333631148087302,0.35115671599759907,-0.9074962742451773,-0.09720442666104559,-0.5082292208174,,,0.5498050750073901,,-0.429207155068074,-0.11607309864534798,-0.42918662992051,0.008237346269812918,0.12000804562517933,-0.9999999999999999,1.0,-0.7105585229244583,-0.7105585229244583
joint_vs_product_prediction_delta,0.3284396256656555,0.3284396256656555,-0.6093527014357705,-0.6093525383419259,,0.8903012519852342,0.31617488190513815,-0.7518031952775058,-0.7153963828766644,0.747616672550538,0.747616672550538,0.5144242048833951,0.15608655133269092,0.45984776915689296,0.34849649879651606,-0.04461986653417854,,,-0.6482071602527569,,0.9392384300998704,0.1770361960510012,0.9392333954960598,0.5841290130795943,0.4098875458241541,0.7105585229244582,-0.7105585229244583,1.0,1.0
