kind,world,condition,alpha,T,p_viable_T,tail_viability,mean_hazard,late_hazard
multi,F_T_attractive,coupled,0.5,900,0.9988370370370371,0.9988370370370371,2.2866370985360486e-06,0.0
multi,F_T_attractive,coupled,0.5,1500,0.9988825925925926,0.9988825925925926,1.792175383887731e-06,0.0
multi,F_T_attractive,coupled,0.525,900,0.9988925925925927,0.9988925925925927,2.162623615325159e-06,0.0
multi,F_T_attractive,coupled,0.525,1500,0.9988481481481482,0.9988481481481482,2.1010313913093148e-06,0.0
multi,F_T_attractive,independent_alpha0,0.5,900,0.9988366666666667,0.9988366666666667,7.600877766297498e-06,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,0.9988562962962964,0.9988562962962964,7.353292188736656e-06,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,0.9988481481481482,0.9988481481481482,9.145302526453897e-06,0.0
multi,F_T_attractive,independent_alpha0,0.525,1500,0.9988503703703704,0.9988503703703704,9.022473002364e-06,0.0
multi,F_T_attractive,product,0.5,900,0.9988844444444445,0.9988844444444445,8.156750288211454e-06,0.0
multi,F_T_attractive,product,0.5,1500,0.9988822222222222,0.9988822222222222,8.774776010994315e-06,0.0
multi,F_T_attractive,product,0.525,900,0.9988555555555556,0.9988555555555556,8.095022084657838e-06,0.0
multi,F_T_attractive,product,0.525,1500,0.9988851851851851,0.9988851851851851,8.527504021893224e-06,0.0
multi,F_T_attractive,shuffled,0.5,900,0.9988759259259259,0.9988759259259259,8.589450722279183e-06,0.0
multi,F_T_attractive,shuffled,0.5,1500,0.9988648148148148,0.9988648148148148,8.898158301904271e-06,0.0
multi,F_T_attractive,shuffled,0.525,900,0.9988600000000001,0.9988600000000001,9.022142979864701e-06,0.0
multi,F_T_attractive,shuffled,0.525,1500,0.9988740740740741,0.9988740740740741,8.589405619238743e-06,0.0
multi,F_T_attractive,time_shuffled,0.5,900,0.9988992592592592,0.9988992592592592,2.1010396713011857e-06,0.0
multi,F_T_attractive,time_shuffled,0.5,1500,0.9988877777777778,0.9988877777777778,2.1629535639251244e-06,0.0
multi,F_T_attractive,time_shuffled,0.525,900,0.998902962962963,0.998902962962963,1.5449155728054281e-06,0.0
multi,F_T_attractive,time_shuffled,0.525,1500,0.9989018518518519,0.9989018518518519,1.4213434542288695e-06,0.0
single,noise_swamp,noise_swamp,,900,0.9999837037037036,0.999987962962963,2.71609877037062e-06,5.185333348149223e-06
single,open_field,open_field,,900,1.0,1.0,0.0,0.0
single,rigid_attractor,rigid_attractor,,900,1.0,1.0,0.0,0.0
single,sink_trap,sink_trap,,900,0.0,0.0,0.25860700091856514,0.0
