condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
coupled,0.45,900,p_viable_T,0.998901851851852,0.9988616574074074,0.9989391018518516,7.744444444424126e-05
coupled,0.45,900,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.45,1500,p_viable_T,0.998911111111111,0.9988712685185184,0.9989479722222222,7.670370370382873e-05
coupled,0.45,1500,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.45,2400,p_viable_T,0.9989133333333332,0.9988761018518518,0.9989454351851851,6.933333333325464e-05
coupled,0.45,2400,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.5,900,p_viable_T,0.9989114814814815,0.9988740555555555,0.9989523148148146,7.825925925908361e-05
coupled,0.5,900,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.5,1500,p_viable_T,0.9988914814814817,0.9988523611111112,0.9989304999999998,7.813888888863474e-05
coupled,0.5,1500,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.5,2400,p_viable_T,0.9988911111111111,0.9988551851851851,0.9989257685185186,7.058333333342937e-05
coupled,0.5,2400,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.525,900,p_viable_T,0.9988685185185185,0.9988256944444444,0.9989101944444444,8.450000000004287e-05
coupled,0.525,900,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.525,1500,p_viable_T,0.998904074074074,0.9988642314814814,0.9989433518518518,7.91203703703891e-05
coupled,0.525,1500,sample_n,1200.0,1200.0,1200.0,0.0
coupled,0.525,2400,p_viable_T,0.9988874074074074,0.9988446203703703,0.9989261203703702,8.149999999995661e-05
coupled,0.525,2400,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.45,900,p_viable_T,0.9988555555555555,0.9988120277777777,0.9988959814814815,8.395370370384292e-05
independent_alpha0,0.45,900,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.45,1500,p_viable_T,0.9988718518518518,0.9988351481481482,0.9989067037037036,7.15555555553804e-05
independent_alpha0,0.45,1500,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.45,2400,p_viable_T,0.9989074074074075,0.9988706851851852,0.9989504259259259,7.974074074068582e-05
independent_alpha0,0.45,2400,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.5,900,p_viable_T,0.9988533333333331,0.9988222222222223,0.9988888888888889,6.666666666665932e-05
independent_alpha0,0.5,900,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.5,1500,p_viable_T,0.9988740740740739,0.9988372129629629,0.9989177777777779,8.056481481499844e-05
independent_alpha0,0.5,1500,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.5,2400,p_viable_T,0.9988625925925926,0.9988247962962964,0.9989024166666667,7.762037037029046e-05
independent_alpha0,0.5,2400,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.525,900,p_viable_T,0.9988433333333334,0.9988105277777778,0.9988822407407406,7.171296296282215e-05
independent_alpha0,0.525,900,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.525,1500,p_viable_T,0.9988659259259258,0.998825537037037,0.9989037407407408,7.820370370381635e-05
independent_alpha0,0.525,1500,sample_n,1200.0,1200.0,1200.0,0.0
independent_alpha0,0.525,2400,p_viable_T,0.9988577777777776,0.998821287037037,0.9988976203703703,7.633333333334491e-05
independent_alpha0,0.525,2400,sample_n,1200.0,1200.0,1200.0,0.0
product,0.45,900,p_viable_T,0.9988625925925925,0.9988264537037037,0.9988989259259259,7.24722222221752e-05
product,0.45,900,sample_n,1200.0,1200.0,1200.0,0.0
product,0.45,1500,p_viable_T,0.9988696296296297,0.9988355555555555,0.9989029814814815,6.742592592601238e-05
product,0.45,1500,sample_n,1200.0,1200.0,1200.0,0.0
product,0.45,2400,p_viable_T,0.9988618518518518,0.9988246203703703,0.9988977962962962,7.31759259258169e-05
product,0.45,2400,sample_n,1200.0,1200.0,1200.0,0.0
product,0.5,900,p_viable_T,0.9988803703703701,0.9988479351851852,0.998915398148148,6.74629629627832e-05
product,0.5,900,sample_n,1200.0,1200.0,1200.0,0.0
product,0.5,1500,p_viable_T,0.9988785185185185,0.9988381481481481,0.9989144444444444,7.629629629635204e-05
product,0.5,1500,sample_n,1200.0,1200.0,1200.0,0.0
product,0.5,2400,p_viable_T,0.9988785185185184,0.9988403518518518,0.9989133333333333,7.29814814814933e-05
product,0.5,2400,sample_n,1200.0,1200.0,1200.0,0.0
product,0.525,900,p_viable_T,0.9988233333333334,0.9987869444444445,0.9988646574074074,7.771296296288366e-05
product,0.525,900,sample_n,1200.0,1200.0,1200.0,0.0
