condition,alpha,T,control,A_past_to_A_future_delta,B_past_to_B_future_delta,joint_past_to_joint_future_delta,component_continuity_balance,component_erasure_rejection
coupled,0.45,900,none,0.8495662808418274,0.45835328102111816,0.7997519373893738,0.6087870001792908,0.5395144456144612
coupled,0.45,900,rigid_collapse,0.8124129176139832,0.24569274485111237,0.7557799220085144,0.4332798272371292,0.30242348382728806
coupled,0.45,900,noise_fakeout,-0.0005235171993263066,-0.0005241804174147546,-0.0004399498284328729,0.9999993367819116,0.0
coupled,0.45,900,single_component_erasure,0.8495662808418274,0.24569274485111237,0.8534862995147705,0.396126464009285,0.2891978535302245
coupled,0.45,900,endpoint_fakeout,0.8240585923194885,0.29740580916404724,0.7658140063285828,0.4733472168445587,0.36090371720648556
coupled,0.45,1500,none,0.7052714228630066,0.3184886574745178,0.6394875645637512,0.6132172346115112,0.45158310283101
coupled,0.45,1500,rigid_collapse,0.648803174495697,0.15713202953338623,0.5849756598472595,0.5083288550376892,0.2421875165076406
coupled,0.45,1500,noise_fakeout,-0.0003442634188104421,-0.00042892416240647435,-0.0006791240884922445,0.999915339256404,0.0
coupled,0.45,1500,single_component_erasure,0.7052714228630066,0.15713202953338623,0.7023276686668396,0.45186060667037964,0.22279653540408356
coupled,0.45,1500,endpoint_fakeout,0.687891960144043,0.195906400680542,0.6205289363861084,0.508014440536499,0.28479239768919473
coupled,0.45,2400,none,0.48486292362213135,0.17381907999515533,0.4112145006656647,0.688956156373024,0.35849117663329094
coupled,0.45,2400,rigid_collapse,0.4219331443309784,0.08407766371965408,0.36106646060943604,0.6621445193886757,0.1992677390939944
coupled,0.45,2400,noise_fakeout,-0.00020027754362672567,-0.00018695932521950454,-0.0005914079374633729,0.9999866817815928,0.0
coupled,0.45,2400,single_component_erasure,0.48486292362213135,0.08407766371965408,0.4649575650691986,0.5992147400975227,0.17340501742545777
coupled,0.45,2400,endpoint_fakeout,0.5450699925422668,0.1737116128206253,0.4831847548484802,0.6286416202783585,0.3186959751910302
coupled,0.5,900,none,0.8435333967208862,0.4647248387336731,0.8017410635948181,0.6211914420127869,0.5509264251305562
coupled,0.5,900,rigid_collapse,0.8058801889419556,0.24776983261108398,0.7572541236877441,0.4418896436691284,0.307452442696702
coupled,0.5,900,noise_fakeout,-0.00026469718432053924,-0.0004537357890512794,-0.0003749316092580557,0.9998109613952693,0.0
coupled,0.5,900,single_component_erasure,0.8435333967208862,0.24776983261108398,0.8524020910263062,0.40423643589019775,0.2937285394677357
coupled,0.5,900,endpoint_fakeout,0.8152419924736023,0.29230108857154846,0.7698683142662048,0.47705909609794617,0.358545182007431
coupled,0.5,1500,none,0.7031124830245972,0.33441147208213806,0.6414060592651367,0.6312989890575409,0.4756158938376283
coupled,0.5,1500,rigid_collapse,0.6482250094413757,0.17726120352745056,0.5884969830513,0.5290361940860748,0.2734562859279525
coupled,0.5,1500,noise_fakeout,-0.0003966346848756075,-0.000563307898119092,-0.0005487084272317588,0.9998333267867565,0.0
coupled,0.5,1500,single_component_erasure,0.7031124830245972,0.17726120352745056,0.699252724647522,0.4741487205028534,0.25210931082452337
coupled,0.5,1500,endpoint_fakeout,0.690284788608551,0.18788912892341614,0.627379834651947,0.4976043403148651,0.27219074217491546
coupled,0.5,2400,none,0.47369837760925293,0.20232674479484558,0.4292665123939514,0.7286283671855927,0.4271214645403368
coupled,0.5,2400,rigid_collapse,0.4168339967727661,0.10119670629501343,0.3750678598880768,0.6843627095222473,0.24277459870956744
coupled,0.5,2400,noise_fakeout,-6.824037700425833e-05,-0.0001768571528373286,-0.0007611932815052569,0.9998913832241669,0.0
coupled,0.5,2400,single_component_erasure,0.47369837760925293,0.10119670629501343,0.4809853434562683,0.6274983286857605,0.21363110172711877
coupled,0.5,2400,endpoint_fakeout,0.5438021421432495,0.1637658178806305,0.4883013069629669,0.619963675737381,0.301149637320647
