condition,alpha,T,control,sample_n,gpu_used,batch_seconds,start_temp_c,end_temp_c,max_temp_c,thermal_pause_events
coupled,0.45,900,none,216000,1.0,0.7528,46,46,46,0
coupled,0.45,900,rigid_collapse,216000,1.0,0.1054,46,47,47,0
coupled,0.45,900,noise_fakeout,216000,1.0,0.0998,47,47,47,0
coupled,0.45,900,single_component_erasure,216000,1.0,0.1131,47,47,47,0
coupled,0.45,900,endpoint_fakeout,216000,1.0,0.099,47,47,47,0
coupled,0.45,1500,none,216000,1.0,0.1076,47,47,47,0
coupled,0.45,1500,rigid_collapse,216000,1.0,0.1094,47,47,47,0
coupled,0.45,1500,noise_fakeout,216000,1.0,0.0998,47,48,48,0
coupled,0.45,1500,single_component_erasure,216000,1.0,0.1141,48,48,48,0
coupled,0.45,1500,endpoint_fakeout,216000,1.0,0.0973,48,48,48,0
coupled,0.45,2400,none,216000,1.0,0.1071,48,48,48,0
coupled,0.45,2400,rigid_collapse,216000,1.0,0.1084,48,48,48,0
coupled,0.45,2400,noise_fakeout,216000,1.0,0.1043,48,48,48,0
coupled,0.45,2400,single_component_erasure,216000,1.0,0.1119,48,48,48,0
coupled,0.45,2400,endpoint_fakeout,216000,1.0,0.1097,48,48,48,0
coupled,0.5,900,none,216000,1.0,0.1028,48,48,48,0
coupled,0.5,900,rigid_collapse,216000,1.0,0.1096,48,48,48,0
coupled,0.5,900,noise_fakeout,216000,1.0,0.1053,48,48,48,0
coupled,0.5,900,single_component_erasure,216000,1.0,0.1132,48,48,48,0
coupled,0.5,900,endpoint_fakeout,216000,1.0,0.1123,48,48,48,0
coupled,0.5,1500,none,216000,1.0,0.1081,46,46,46,0
coupled,0.5,1500,rigid_collapse,216000,1.0,0.1076,46,46,46,0
coupled,0.5,1500,noise_fakeout,216000,1.0,0.1379,46,46,46,0
coupled,0.5,1500,single_component_erasure,216000,1.0,0.1125,46,46,46,0
coupled,0.5,1500,endpoint_fakeout,216000,1.0,0.1011,46,46,46,0
coupled,0.5,2400,none,216000,1.0,0.114,48,48,48,0
coupled,0.5,2400,rigid_collapse,216000,1.0,0.1045,48,48,48,0
coupled,0.5,2400,noise_fakeout,216000,1.0,0.1056,48,48,48,0
coupled,0.5,2400,single_component_erasure,216000,1.0,0.1112,48,48,48,0
coupled,0.5,2400,endpoint_fakeout,216000,1.0,0.0999,48,48,48,0
coupled,0.525,900,none,216000,1.0,0.1066,48,48,48,0
coupled,0.525,900,rigid_collapse,216000,1.0,0.1076,48,48,48,0
coupled,0.525,900,noise_fakeout,216000,1.0,0.1051,47,47,47,0
coupled,0.525,900,single_component_erasure,216000,1.0,0.1128,47,47,47,0
coupled,0.525,900,endpoint_fakeout,216000,1.0,0.1097,47,47,47,0
coupled,0.525,1500,none,216000,1.0,0.1918,46,46,46,0
coupled,0.525,1500,rigid_collapse,216000,1.0,0.1042,46,47,47,0
coupled,0.525,1500,noise_fakeout,216000,1.0,0.1066,47,47,47,0
coupled,0.525,1500,single_component_erasure,216000,1.0,0.1075,47,47,47,0
coupled,0.525,1500,endpoint_fakeout,216000,1.0,0.0982,47,47,47,0
coupled,0.525,2400,none,216000,1.0,0.1043,48,48,48,0
coupled,0.525,2400,rigid_collapse,216000,1.0,0.108,48,48,48,0
coupled,0.525,2400,noise_fakeout,216000,1.0,0.1071,48,48,48,0
coupled,0.525,2400,single_component_erasure,216000,1.0,0.1102,48,48,48,0
coupled,0.525,2400,endpoint_fakeout,216000,1.0,0.1146,48,48,48,0
independent_alpha0,0.45,900,none,216000,1.0,0.107,48,48,48,0
independent_alpha0,0.45,1500,none,216000,1.0,0.161,46,46,46,0
independent_alpha0,0.45,2400,none,216000,1.0,0.1139,48,48,48,0
independent_alpha0,0.5,900,none,216000,1.0,0.1101,48,48,48,0
independent_alpha0,0.5,1500,none,216000,1.0,0.1855,46,46,46,0
independent_alpha0,0.5,2400,none,216000,1.0,0.1714,46,46,46,0
independent_alpha0,0.525,900,none,216000,1.0,0.2038,46,46,46,0
independent_alpha0,0.525,1500,none,216000,1.0,0.1124,48,48,48,0
independent_alpha0,0.525,2400,none,216000,1.0,0.1058,48,48,48,0
product,0.45,900,none,216000,1.0,0.1052,48,48,48,0
product,0.45,1500,none,216000,1.0,0.1545,46,46,46,0
product,0.45,2400,none,216000,1.0,0.1038,48,48,48,0
product,0.5,900,none,216000,1.0,0.1032,48,48,48,0
product,0.5,1500,none,216000,1.0,0.1099,47,47,47,0
product,0.5,2400,none,216000,1.0,0.1566,46,46,46,0
product,0.525,900,none,216000,1.0,0.1064,48,48,48,0
product,0.525,1500,none,216000,1.0,0.1079,48,48,48,0
product,0.525,2400,none,216000,1.0,0.1099,48,48,48,0
shuffled,0.45,900,none,216000,1.0,0.1546,47,47,47,0
shuffled,0.45,1500,none,216000,1.0,0.111,48,48,48,0
shuffled,0.45,2400,none,216000,1.0,0.1072,48,48,48,0
shuffled,0.5,900,none,216000,1.0,0.1002,47,47,47,0
shuffled,0.5,1500,none,216000,1.0,0.1543,47,47,47,0
shuffled,0.5,2400,none,216000,1.0,0.1055,48,48,48,0
shuffled,0.525,900,none,216000,1.0,0.1066,48,48,48,0
shuffled,0.525,1500,none,216000,1.0,0.1094,48,47,48,0
shuffled,0.525,2400,none,216000,1.0,0.1999,47,47,47,0
time_shuffled,0.45,900,none,216000,1.0,0.1993,47,47,47,0
time_shuffled,0.45,1500,none,216000,1.0,0.1388,47,47,47,0
time_shuffled,0.45,2400,none,216000,1.0,0.1122,48,48,48,0
time_shuffled,0.5,900,none,216000,1.0,0.101,48,48,48,0
time_shuffled,0.5,1500,none,216000,1.0,0.1003,47,47,47,0
time_shuffled,0.5,2400,none,216000,1.0,0.1441,46,46,46,0
time_shuffled,0.525,900,none,216000,1.0,0.1131,48,48,48,0
time_shuffled,0.525,1500,none,216000,1.0,0.1117,48,48,48,0
time_shuffled,0.525,2400,none,216000,1.0,0.1083,49,49,49,0
