condition,alpha,T,control,early_to_late_neighbor_preservation,early_to_late_future_profile_separation,time_shuffled_delta
coupled,0.45,900,none,0.5068872272968292,1.0715903043746948,0.8003226027358323
coupled,0.45,900,rigid_collapse,0.506700336933136,1.071992039680481,0.7557513931060384
coupled,0.45,900,noise_fakeout,-0.006884098052978516,0.019047915935516357,-0.00014800557983107865
coupled,0.45,900,single_component_erasure,0.5932482182979584,1.1682116985321045,0.8535388089694607
coupled,0.45,900,endpoint_fakeout,0.4710373878479004,1.072776436805725,0.7661453531181905
coupled,0.45,1500,none,0.33988022804260254,0.8737078309059143,0.6401483694789931
coupled,0.45,1500,rigid_collapse,0.3493318557739258,0.8611955642700195,0.5851955443940824
coupled,0.45,1500,noise_fakeout,0.004819214344024658,0.014425416477024555,-0.00031270505860447884
coupled,0.45,1500,single_component_erasure,0.4072526693344116,0.9672995209693909,0.7026434130384587
coupled,0.45,1500,endpoint_fakeout,0.33894234895706177,0.9087893962860107,0.6212082506972365
coupled,0.45,2400,none,0.21957910060882568,0.6752856373786926,0.4117114652181044
coupled,0.45,2400,rigid_collapse,0.21232455968856812,0.68156498670578,0.36127210631093476
coupled,0.45,2400,noise_fakeout,-0.002255678176879883,0.028375260531902313,0.00022166076814755797
coupled,0.45,2400,single_component_erasure,0.2666550874710083,0.7578949332237244,0.4654655895428732
coupled,0.45,2400,endpoint_fakeout,0.26336175203323364,0.8074975609779358,0.48381071822950616
coupled,0.5,900,none,0.5168858170509338,1.0692616701126099,0.802108129428234
coupled,0.5,900,rigid_collapse,0.5119616091251373,1.080155849456787,0.7575232106610201
coupled,0.5,900,noise_fakeout,0.0006413459777832031,0.032916177064180374,0.0005401045200414956
coupled,0.5,900,single_component_erasure,0.5783631205558777,1.1927708387374878,0.8527929676347412
coupled,0.5,900,endpoint_fakeout,0.48223578929901123,1.0695046186447144,0.7700587270810502
coupled,0.5,1500,none,0.3485758304595947,0.8707764148712158,0.6418488295166753
coupled,0.5,1500,rigid_collapse,0.3444312810897827,0.8763139843940735,0.5888113846885972
coupled,0.5,1500,noise_fakeout,-0.003603339195251465,0.011773303151130676,0.0005090040504001081
coupled,0.5,1500,single_component_erasure,0.39922505617141724,0.9671639204025269,0.6995692379423417
coupled,0.5,1500,endpoint_fakeout,0.34274613857269287,0.9313027262687683,0.628010580316186
coupled,0.5,2400,none,0.2198823094367981,0.6340342164039612,0.4299944506492466
coupled,0.5,2400,rigid_collapse,0.21503520011901855,0.6379721760749817,0.37527693471929524
coupled,0.5,2400,noise_fakeout,0.00946587324142456,0.028626447543501854,-0.00024417287204414606
coupled,0.5,2400,single_component_erasure,0.254345178604126,0.714864194393158,0.4812340824864805
coupled,0.5,2400,endpoint_fakeout,0.25151878595352173,0.8025491237640381,0.48857551414403133
coupled,0.525,900,none,0.5169290602207184,1.0992646217346191,0.7996795150538674
coupled,0.525,900,rigid_collapse,0.518879771232605,1.0948213338851929,0.7558969521924155
coupled,0.525,900,noise_fakeout,0.008168578147888184,0.02168041467666626,0.00029490108136087656
coupled,0.525,900,single_component_erasure,0.5971158444881439,1.1937493085861206,0.8505651727318764
coupled,0.525,900,endpoint_fakeout,0.4882115125656128,1.079638123512268,0.7668821158877108
coupled,0.525,1500,none,0.34125661849975586,0.897808313369751,0.637398337275954
coupled,0.525,1500,rigid_collapse,0.3488228917121887,0.8876062631607056,0.5825680260313675
coupled,0.525,1500,noise_fakeout,-0.003553032875061035,0.016987189650535583,-9.55472351051867e-05
coupled,0.525,1500,single_component_erasure,0.40484869480133057,0.9713582992553711,0.6932048476010095
coupled,0.525,1500,endpoint_fakeout,0.36137449741363525,0.9249153137207031,0.624616967907059
coupled,0.525,2400,none,0.21821272373199463,0.6474224328994751,0.4307079112622887
coupled,0.525,2400,rigid_collapse,0.2127564549446106,0.6519395112991333,0.3793789687915705
coupled,0.525,2400,noise_fakeout,-0.004798412322998047,0.020920613780617714,-0.00021315686171874404
coupled,0.525,2400,single_component_erasure,0.2508261799812317,0.7139965295791626,0.4783640141686192
coupled,0.525,2400,endpoint_fakeout,0.2614768147468567,0.820487916469574,0.4948296590591781
independent_alpha0,0.45,900,none,0.551968902349472,1.0586769580841064,0.8250472630606964
independent_alpha0,0.45,1500,none,0.3549630045890808,0.8363193869590759,0.6365138508263044
independent_alpha0,0.45,2400,none,0.17974817752838135,0.5382159948348999,0.35347615275532007
independent_alpha0,0.5,900,none,0.5349992215633392,1.0688111782073975,0.8245964185334742
independent_alpha0,0.5,1500,none,0.3511047959327698,0.8399533629417419,0.6407586815184914
independent_alpha0,0.5,2400,none,0.18924087285995483,0.5468118786811829,0.36284899699967355
independent_alpha0,0.525,900,none,0.5358545482158661,1.0547919273376465,0.8227286948822439
independent_alpha0,0.525,1500,none,0.3555941581726074,0.8537824153900146,0.634932646586094
independent_alpha0,0.525,2400,none,0.1783081293106079,0.533606767654419,0.3642617604054976
product,0.45,900,none,0.5406686365604401,1.0629621744155884,0.818582649633754
product,0.45,1500,none,0.35258203744888306,0.8479313254356384,0.6443363402504474
product,0.45,2400,none,0.17468321323394775,0.5500499606132507,0.36694700963562354
product,0.5,900,none,0.5451176166534424,1.0652843713760376,0.8197490992024541
product,0.5,1500,none,0.36108696460723877,0.8496705889701843,0.6328905276022851
product,0.5,2400,none,0.1845654845237732,0.5398165583610535,0.3665346762863919
product,0.525,900,none,0.5384537279605865,1.0754858255386353,0.8204909706837498
product,0.525,1500,none,0.3584374785423279,0.8650026321411133,0.6363204949302599
product,0.525,2400,none,0.1774701476097107,0.5375471115112305,0.3707938058360014
shuffled,0.45,900,none,0.5421498715877533,1.0692986249923706,0.8231147119658999
shuffled,0.45,1500,none,0.3552762269973755,0.8393265604972839,0.637478515971452
shuffled,0.45,2400,none,0.18732035160064697,0.5380915403366089,0.37076985952444375
shuffled,0.5,900,none,0.5370832979679108,1.082377314567566,0.8251959804911166
shuffled,0.5,1500,none,0.3512454628944397,0.8227601647377014,0.6290355234523304
shuffled,0.5,2400,none,0.17784088850021362,0.5307095050811768,0.36987013986799866
