condition,alpha,T,control,sample_n,gpu_used,batch_seconds,start_temp_c,end_temp_c,max_temp_c,thermal_pause_events
coupled,0.45,900,none,270000,1.0,0.8685,45,47,47,0
coupled,0.45,900,rigid_collapse,270000,1.0,0.1896,47,47,47,0
coupled,0.45,900,noise_fakeout,270000,1.0,0.1866,47,49,49,0
coupled,0.45,900,single_component_erasure,270000,1.0,0.1996,49,49,49,0
coupled,0.45,1500,none,270000,1.0,0.1968,48,48,48,0
coupled,0.45,1500,rigid_collapse,270000,1.0,0.187,48,48,48,0
coupled,0.45,1500,noise_fakeout,270000,1.0,0.1835,48,49,49,0
coupled,0.45,1500,single_component_erasure,270000,1.0,0.1896,49,49,49,0
coupled,0.45,2400,none,270000,1.0,0.1868,48,48,48,0
coupled,0.45,2400,rigid_collapse,270000,1.0,0.1899,48,48,48,0
coupled,0.45,2400,noise_fakeout,270000,1.0,0.1996,50,50,50,0
coupled,0.45,2400,single_component_erasure,270000,1.0,0.204,50,50,50,0
coupled,0.5,900,none,270000,1.0,0.198,49,49,49,0
coupled,0.5,900,rigid_collapse,270000,1.0,0.1892,49,49,49,0
coupled,0.5,900,noise_fakeout,270000,1.0,0.1992,51,51,51,0
coupled,0.5,900,single_component_erasure,270000,1.0,0.1867,51,51,51,0
coupled,0.5,1500,none,270000,1.0,0.1991,49,49,49,0
coupled,0.5,1500,rigid_collapse,270000,1.0,0.1909,49,51,51,0
coupled,0.5,1500,noise_fakeout,270000,1.0,0.199,51,51,51,0
coupled,0.5,1500,single_component_erasure,270000,1.0,0.1871,51,52,52,0
coupled,0.5,2400,none,270000,1.0,0.1944,49,49,49,0
coupled,0.5,2400,rigid_collapse,270000,1.0,0.1883,49,50,50,0
coupled,0.5,2400,noise_fakeout,270000,1.0,0.184,50,50,50,0
coupled,0.5,2400,single_component_erasure,270000,1.0,0.2024,50,51,51,0
coupled,0.525,900,none,270000,1.0,0.1899,49,49,49,0
coupled,0.525,900,rigid_collapse,270000,1.0,0.1885,49,50,50,0
coupled,0.525,900,noise_fakeout,270000,1.0,0.1857,50,50,50,0
coupled,0.525,900,single_component_erasure,270000,1.0,0.1971,50,50,50,0
coupled,0.525,1500,none,270000,1.0,0.1869,49,49,49,0
coupled,0.525,1500,rigid_collapse,270000,1.0,0.1901,49,51,51,0
coupled,0.525,1500,noise_fakeout,270000,1.0,0.2001,51,51,51,0
coupled,0.525,1500,single_component_erasure,270000,1.0,0.1871,51,51,51,0
coupled,0.525,2400,none,270000,1.0,0.19,50,50,50,0
coupled,0.525,2400,rigid_collapse,270000,1.0,0.2028,52,52,52,0
coupled,0.525,2400,noise_fakeout,270000,1.0,0.1857,52,52,52,0
coupled,0.525,2400,single_component_erasure,270000,1.0,0.1873,52,52,52,0
independent_alpha0,0.45,900,none,270000,1.0,0.1957,50,50,50,0
independent_alpha0,0.45,1500,none,270000,1.0,0.2629,48,48,48,0
independent_alpha0,0.45,2400,none,270000,1.0,0.2015,48,48,48,0
independent_alpha0,0.5,900,none,270000,1.0,0.28,47,47,47,0
independent_alpha0,0.5,1500,none,270000,1.0,0.1873,48,48,48,0
independent_alpha0,0.5,2400,none,270000,1.0,0.2023,48,48,48,0
independent_alpha0,0.525,900,none,270000,1.0,0.2105,49,49,49,0
independent_alpha0,0.525,1500,none,270000,1.0,0.1911,50,50,50,0
independent_alpha0,0.525,2400,none,270000,1.0,0.283,49,48,49,0
product,0.45,900,none,270000,1.0,0.1936,50,50,50,0
product,0.45,1500,none,270000,1.0,0.1953,50,51,51,0
product,0.45,2400,none,270000,1.0,0.2916,48,48,48,0
product,0.5,900,none,270000,1.0,0.1848,50,52,52,0
product,0.5,1500,none,270000,1.0,0.1853,50,50,50,0
product,0.5,2400,none,270000,1.0,0.1917,50,50,50,0
product,0.525,900,none,270000,1.0,0.2785,48,48,48,0
product,0.525,1500,none,270000,1.0,0.1918,50,50,50,0
product,0.525,2400,none,270000,1.0,0.1897,50,50,50,0
shuffled,0.45,900,none,270000,1.0,0.1904,50,50,50,0
shuffled,0.45,1500,none,270000,1.0,0.2157,49,48,49,0
shuffled,0.45,2400,none,270000,1.0,0.1929,49,50,50,0
shuffled,0.5,900,none,270000,1.0,0.1874,50,50,50,0
shuffled,0.5,1500,none,270000,1.0,0.1976,50,50,50,0
shuffled,0.5,2400,none,270000,1.0,0.1903,51,51,51,0
shuffled,0.525,900,none,270000,1.0,0.1875,51,51,51,0
shuffled,0.525,1500,none,270000,1.0,0.1964,51,51,51,0
shuffled,0.525,2400,none,270000,1.0,0.2737,49,48,49,0
time_shuffled,0.45,900,none,270000,1.0,0.1922,50,51,51,0
time_shuffled,0.45,1500,none,270000,1.0,0.2011,51,51,51,0
time_shuffled,0.45,2400,none,270000,1.0,0.2824,49,49,49,0
time_shuffled,0.5,900,none,270000,1.0,0.2009,51,51,51,0
time_shuffled,0.5,1500,none,270000,1.0,0.2833,49,49,49,0
time_shuffled,0.5,2400,none,270000,1.0,0.1854,51,52,52,0
time_shuffled,0.525,900,none,270000,1.0,0.1916,51,51,51,0
time_shuffled,0.525,1500,none,270000,1.0,0.2858,49,49,49,0
time_shuffled,0.525,2400,none,270000,1.0,0.1928,51,51,51,0
