condition,alpha,T,control,ridge_R2_real,ridge_R2_time_shuffled,predictive_delta
coupled,0.45,900,none,0.7983949184417725,-0.0006595877348445356,0.799054506176617
coupled,0.45,1500,none,0.6419757008552551,-0.0002741796779446304,0.6422498805331998
coupled,0.45,2400,none,0.42607030272483826,-0.0009008062188513577,0.4269711089436896
coupled,0.5,900,none,0.801502525806427,-4.2926272726617754e-05,0.8015454520791536
coupled,0.5,1500,none,0.6384986042976379,-0.00014379512867890298,0.6386423994263168
coupled,0.5,2400,none,0.4301612973213196,-0.0005964056472294033,0.430757702968549
coupled,0.525,900,none,0.8031002283096313,-0.00040925797657109797,0.8035094862862024
coupled,0.525,1500,none,0.639806866645813,0.00015451773651875556,0.6396523489092942
coupled,0.525,2400,none,0.42924967408180237,-0.0006963007617741823,0.42994597484357655
independent_alpha0,0.45,900,none,0.8158143758773804,-0.0010338809806853533,0.8168482568580657
independent_alpha0,0.45,1500,none,0.635949432849884,-0.0008112502400763333,0.6367606830899604
independent_alpha0,0.45,2400,none,0.3651420474052429,-0.0008193810936063528,0.3659614284988493
independent_alpha0,0.5,900,none,0.8229141235351562,-0.0005524148000404239,0.8234665383351967
independent_alpha0,0.5,1500,none,0.6460191607475281,-0.0001239103585248813,0.646143071106053
independent_alpha0,0.5,2400,none,0.352558970451355,-0.00042032438796013594,0.3529792948393151
independent_alpha0,0.525,900,none,0.821283221244812,-0.0012845321325585246,0.8225677533773705
independent_alpha0,0.525,1500,none,0.6264178156852722,-0.0007475229795090854,0.6271653386647813
independent_alpha0,0.525,2400,none,0.3641633689403534,-0.0009009900386445224,0.3650643589789979
product,0.45,900,none,0.820400595664978,-0.0007086183177307248,0.8211092139827088
product,0.45,1500,none,0.6301270127296448,-0.00040592992445454,0.6305329426540993
product,0.45,2400,none,0.36644697189331055,-0.0007946466794237494,0.3672416185727343
product,0.5,900,none,0.8168566226959229,-0.00022635784989688545,0.8170829805458197
product,0.5,1500,none,0.6417592763900757,-0.0005039339303039014,0.6422632103203796
product,0.5,2400,none,0.37256500124931335,-0.0006926193018443882,0.37325762055115774
product,0.525,900,none,0.8164170980453491,-0.000373579008737579,0.8167906770540867
product,0.525,1500,none,0.6310812830924988,-0.0012616508174687624,0.6323429339099675
product,0.525,2400,none,0.37693312764167786,-0.0005130043718963861,0.37744613201357424
shuffled,0.45,900,none,0.8225962519645691,-0.0003504220803733915,0.8229466740449425
shuffled,0.45,1500,none,0.6344171166419983,-0.0005862242542207241,0.635003340896219
shuffled,0.45,2400,none,0.34450292587280273,-0.000655881070997566,0.3451588069438003
shuffled,0.5,900,none,0.8198305368423462,-0.00041615852387622,0.8202466953662224
shuffled,0.5,1500,none,0.6366878747940063,-0.00043052624096162617,0.637118401034968
shuffled,0.5,2400,none,0.3624861538410187,-0.0006303642876446247,0.3631165181286633
shuffled,0.525,900,none,0.8208480477333069,-0.001107035088352859,0.8219550828216597
shuffled,0.525,1500,none,0.6380773782730103,-0.0003741105319932103,0.6384514888050035
shuffled,0.525,2400,none,0.36862680315971375,-0.0004638756799977273,0.3690906788397115
time_shuffled,0.45,900,none,0.5149970054626465,-0.00048429533489979804,0.5154813007975463
time_shuffled,0.45,1500,none,0.36538073420524597,-0.00013438379392027855,0.36551511799916625
time_shuffled,0.45,2400,none,0.23475703597068787,-0.0005161528242751956,0.23527318879496306
time_shuffled,0.5,900,none,0.4831353425979614,-0.0004524535033851862,0.4835877961013466
time_shuffled,0.5,1500,none,0.3459395468235016,-0.00047842744970694184,0.34641797427320853
time_shuffled,0.5,2400,none,0.22247254848480225,-0.0005604059551842511,0.2230329544399865
time_shuffled,0.525,900,none,0.4819719195365906,-0.0007711047073826194,0.4827430242439732
time_shuffled,0.525,1500,none,0.3337402641773224,-0.00027117200079374015,0.33401143617811613
time_shuffled,0.525,2400,none,0.2219262570142746,-0.0006624230300076306,0.22258868004428223
