witness_id,carrier_id,system_id,source_state,control_id,target_state,source_d,source_n,target_control_bit,target_recovery_bit,edge_weight
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,00,drive_0,00,0,0,0,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,00,drive_1,10,0,0,1,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,01,drive_0,00,0,1,0,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,01,drive_1,10,0,1,1,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,10,drive_0,01,1,0,0,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,10,drive_1,11,1,0,1,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,11,drive_0,01,1,1,0,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,11,drive_1,11,1,1,1,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,00,drive_0,00,0,0,0,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,00,drive_1,10,0,0,1,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,01,drive_0,01,0,1,0,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,01,drive_1,11,0,1,1,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,10,drive_0,00,1,0,0,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,10,drive_1,10,1,0,1,0,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,11,drive_0,01,1,1,0,1,1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,11,drive_1,11,1,1,1,1,1
