witness_id,metric,preserve_a_value,preserve_b_value,expected_relation,relation_holds
same_entropy_different_recovery_profile_v0,source_count,4,4,matched,1
same_entropy_different_recovery_profile_v0,edge_count,8,8,matched,1
same_entropy_different_recovery_profile_v0,global_target_support_size,4,4,matched,1
same_entropy_different_recovery_profile_v0,global_target_support,00;01;10;11,00;01;10;11,matched,1
same_entropy_different_recovery_profile_v0,global_target_weight_signature,00:2;01:2;10:2;11:2,00:2;01:2;10:2;11:2,matched,1
same_entropy_different_recovery_profile_v0,global_target_entropy_bits,2.000000,2.000000,matched,1
same_entropy_different_recovery_profile_v0,per_source_support_count_signature,00:2;01:2;10:2;11:2,00:2;01:2;10:2;11:2,matched,1
same_entropy_different_recovery_profile_v0,per_source_entropy_bits_signature,00:1.000000;01:1.000000;10:1.000000;11:1.000000,00:1.000000;01:1.000000;10:1.000000;11:1.000000,matched,1
same_entropy_different_recovery_profile_v0,min_per_source_entropy_bits,1.000000,1.000000,matched,1
same_entropy_different_recovery_profile_v0,max_per_source_entropy_bits,1.000000,1.000000,matched,1
same_entropy_different_recovery_profile_v0,recovery_profile_signature,recovered:D_A|failed:D_B,recovered:D_B|failed:D_A,different,1
