witness_id,carrier_id,channel_id,source_state,target_state,source_a,source_b,target_a,target_b,edge_weight,edge_probability,per_source_support_count
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,00,00,0,0,0,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,00,01,0,0,0,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,01,00,0,1,0,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,01,01,0,1,0,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,10,10,1,0,1,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,10,11,1,0,1,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,11,10,1,1,1,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,11,11,1,1,1,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,00,00,0,0,0,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,00,10,0,0,1,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,01,01,0,1,0,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,01,11,0,1,1,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,10,00,1,0,0,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,10,10,1,0,1,0,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,11,01,1,1,0,1,1,1/2,2
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,11,11,1,1,1,1,1,1/2,2
