witness_id,metric,preserve_value,flip_value,expected_relation,relation_holds
same_frontier_morphology_different_loss_profile_v0,source_count,4,4,matched,1
same_frontier_morphology_different_loss_profile_v0,edge_count,8,8,matched,1
same_frontier_morphology_different_loss_profile_v0,global_target_support_size,4,4,matched,1
same_frontier_morphology_different_loss_profile_v0,global_target_support,00;01;10;11,00;01;10;11,matched,1
same_frontier_morphology_different_loss_profile_v0,global_target_weight_signature,00:2;01:2;10:2;11:2,00:2;01:2;10:2;11:2,matched,1
same_frontier_morphology_different_loss_profile_v0,global_target_entropy_bits,2.000000,2.000000,matched,1
same_frontier_morphology_different_loss_profile_v0,per_source_support_count_signature,00:2;01:2;10:2;11:2,00:2;01:2;10:2;11:2,matched,1
same_frontier_morphology_different_loss_profile_v0,per_source_entropy_bits_signature,00:1.000000;01:1.000000;10:1.000000;11:1.000000,00:1.000000;01:1.000000;10:1.000000;11:1.000000,matched,1
same_frontier_morphology_different_loss_profile_v0,viable_target_count_multiset,0;0;2;2,0;0;2;2,matched,1
same_frontier_morphology_different_loss_profile_v0,frontier_morphology_signature,support:00:2;01:2;10:2;11:2|entropy:00:1.000000;01:1.000000;10:1.000000;11:1.000000|viable_target_multiset:0;0;2;2,support:00:2;01:2;10:2;11:2|entropy:00:1.000000;01:1.000000;10:1.000000;11:1.000000|viable_target_multiset:0;0;2;2,matched,1
same_frontier_morphology_different_loss_profile_v0,declared_horizon_loss_signature,10:0;11:0,10:1;11:1,different,1
