witness_id,carrier_id,channel_id,source_state,target_state,source_declared_viable,target_declared_viable,edge_weight,edge_probability,per_source_support_count
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,00,00,0,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,00,01,0,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,01,00,0,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,01,01,0,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,10,10,1,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,10,11,1,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,11,10,1,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,11,11,1,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,00,10,0,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,00,11,0,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,01,10,0,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,01,11,0,1,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,10,00,1,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,10,01,1,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,11,00,1,0,1,1/2,2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,11,01,1,0,1,1/2,2
