witness_id,metric,declared_channel_value,shifted_channel_value,matched
same_optimized_success_different_declared_recovery_v0,state_count,4,4,1
same_optimized_success_different_declared_recovery_v0,source_count,4,4,1
same_optimized_success_different_declared_recovery_v0,edge_count,8,8,1
same_optimized_success_different_declared_recovery_v0,global_target_support_size,4,4,1
same_optimized_success_different_declared_recovery_v0,global_target_support,00;01;10;11,00;01;10;11,1
same_optimized_success_different_declared_recovery_v0,per_source_reachable_count_signature,00:2;01:2;10:2;11:2,00:2;01:2;10:2;11:2,1
same_optimized_success_different_declared_recovery_v0,min_per_source_reachable_count,2,2,1
same_optimized_success_different_declared_recovery_v0,max_per_source_reachable_count,2,2,1
same_optimized_success_different_declared_recovery_v0,per_source_entropy_bits_signature,00:1.000000;01:1.000000;10:1.000000;11:1.000000,00:1.000000;01:1.000000;10:1.000000;11:1.000000,1
same_optimized_success_different_declared_recovery_v0,min_per_source_entropy_bits,1.000000,1.000000,1
same_optimized_success_different_declared_recovery_v0,max_per_source_entropy_bits,1.000000,1.000000,1
