witness_id,carrier_id,channel_id,source_state,target_state,source_d,source_n,target_d,target_n,edge_weight,edge_probability,per_source_support_count
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,00,00,0,0,0,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,00,01,0,0,0,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,01,00,0,1,0,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,01,01,0,1,0,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,10,10,1,0,1,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,10,11,1,0,1,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,11,10,1,1,1,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,11,11,1,1,1,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,00,00,0,0,0,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,00,10,0,0,1,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,01,01,0,1,0,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,01,11,0,1,1,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,10,00,1,0,0,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,10,10,1,0,1,0,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,11,01,1,1,0,1,1,1/2,2
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,11,11,1,1,1,1,1,1/2,2
