alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.45,900,basin_transition_profile,Delta_depth_vs_shuffled,-0.022637889851274705,0.003548874081036021,0.00028056313063026984,-0.023178798199118302,-0.022114533531209127,True,160
0.45,900,basin_transition_profile,Delta_depth_vs_product,-0.022260789269469578,0.0031985781829417604,0.0002528698083054674,-0.022767468632536775,-0.021741822571524665,True,160
0.45,900,basin_transition_profile,Delta_viable_propagation_vs_shuffled,-0.06556655065125652,0.05432363264840783,0.004294660248581342,-0.0735379049839016,-0.057468492212579755,True,160
0.45,900,basin_transition_profile,Delta_viable_propagation_vs_product,-0.06879161440403794,0.05367227206806601,0.004243165673283111,-0.0766742169028322,-0.05991372254086378,True,160
0.45,900,basin_transition_profile,Delta_breadth_vs_product,0.24880756595213116,0.0029573675375912114,0.00023380043242579641,0.24835135876977804,0.24926336658644221,True,160
0.45,900,basin_transition_profile,certified_transport_density_advantage,0.009746562204852708,0.02623958905135376,0.0020744216567273694,0.0053767944996857345,0.013505924681443507,True,160
0.45,900,basin_transition_profile,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.45,900,basin_transition_profile,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.45,900,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,0.00034979603749843506,0.0013714786119781764,0.0001084249044014331,0.00013853436529157162,0.0005709202650855731,True,160
0.45,900,boundary_v2_regime_sequence,Delta_depth_vs_product,0.0002548129103677424,0.001270103501459906,0.00010041049821920742,6.14669441161156e-05,0.00044879274958657054,True,160
0.45,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.2726590380566066,0.07879094392836093,0.006228971045205879,-0.28458417964881916,-0.2606620925730101,True,160
0.45,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.27561495643188155,0.0788486694843586,0.006233534651109685,-0.2881786623534696,-0.26376822975060477,True,160
0.45,900,boundary_v2_regime_sequence,Delta_breadth_vs_product,-0.09216924069769242,0.0025274559498409395,0.00019981293718104135,-0.09253878449965701,-0.09179690686121988,True,160
0.45,900,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.1953256099375107,0.03582212210297028,0.0028319874116511713,-0.20102573630336004,-0.19005260930885326,True,160
0.45,900,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.45,900,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.45,900,center_of_mass,Delta_depth_vs_shuffled,0.041154616620197114,0.006490393030771362,0.0005131106221730205,0.04008837671649657,0.0421480863856224,True,160
0.45,900,center_of_mass,Delta_depth_vs_product,0.04007229559798939,0.007123295972161406,0.0005631459929883353,0.03892751861496632,0.04120246749315735,True,160
0.45,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.05755426114692537,0.009782565369850154,0.0007733796982053489,0.05591274102679025,0.059177818323117276,True,160
0.45,900,center_of_mass,Delta_viable_propagation_vs_product,0.055871433521887684,0.009135135089120379,0.0007221958403736412,0.05448891934306069,0.05719828290014556,True,160
0.45,900,center_of_mass,Delta_breadth_vs_product,0.00863632083933678,0.0028771534516599945,0.00022745895212651857,0.008205706412721312,0.009101255478858282,True,160
0.45,900,center_of_mass,certified_transport_density_advantage,0.02602156381524835,0.021125462631845903,0.0016701144635352047,0.022462476493122028,0.029496460069976825,True,160
0.45,900,center_of_mass,component_B_preservation,0.7984386697873369,0.0043779114250258695,0.00034610428743888055,0.797785022268026,0.7990817971911903,True,160
