alpha,T,kappa,baseline,certified_path_mass_survival_to_final_segment,transport_survival_mean,multi_step_transport_depth,component_A_preservation,component_B_preservation,singleton_fraction,viable_propagation_index,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,ci_low,ci_high,category
0.45,900,basin_transition_profile,coupled_vs_product_shuffled,0.9568875701461433,0.9842462902458022,0.972223172572846,1.0,1.0,0.44494555475894,0.5227691608853288,-0.06879161440403792,-0.0655665506512565,-0.0735379049839016,-0.057468492212579755,Local transport artifact
0.45,900,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9945877867316252,0.9975774366382169,0.9947787363135099,1.0,1.0,0.40699322749729133,0.5883665543643566,-0.2756149564318815,-0.27265903805660663,-0.28458417964881916,-0.2606620925730101,Overfragmented/inconclusive
0.45,900,center_of_mass,coupled_vs_product_shuffled,0.6393682041634914,0.8019345296024865,0.6483918389340382,1.0,0.7984386697873369,0.3306326768361942,0.27403787969684806,0.05587143352188767,0.05755426114692533,0.05591274102679025,0.059177818323117276,Viable propagation positive
0.45,900,joint_basin,coupled_vs_product_shuffled,0.9855040406656691,0.9942255068802733,0.988209662947505,1.0,1.0,0.44494555475894,0.5438532499479583,-0.060978817607394875,-0.05732584572574595,-0.06565490983396025,-0.04879820131199312,Entropy-only pseudo-risk
0.45,1500,basin_transition_profile,coupled_vs_product_shuffled,0.9499267549468596,0.9819967413504369,0.9653090602979291,1.0,0.9995574470864808,0.43564659743117334,0.526218376566418,-0.08030628649516336,-0.07566936384989187,-0.08514067319738883,-0.06633842335135347,Local transport artifact
0.45,1500,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.9934196365495579,0.9976970529049906,0.9936336538423418,1.0,1.0,0.38242725216039886,0.6120967445932263,-0.2838320390865374,-0.2814062862073763,-0.29500048658034206,-0.2684220933421502,Overfragmented/inconclusive
0.45,1500,center_of_mass,coupled_vs_product_shuffled,0.6729883105915087,0.8782619519628343,0.6793904162443258,1.0,0.7736707517450886,0.36558656087356217,0.29011441444177616,0.07085759787755647,0.07081470981595228,0.0695688759999021,0.0721114967231816,Viable propagation positive
0.45,1500,joint_basin,coupled_vs_product_shuffled,0.9894057928586347,0.9961202860020029,0.990256081033819,1.0,0.9995574470864808,0.43564659743117334,0.5559667037027861,-0.059343643897516896,-0.05458743321267856,-0.06251667282078442,-0.045604590391208,Local transport artifact
0.45,2400,basin_transition_profile,coupled_vs_product_shuffled,0.951436001042828,0.9840680105949019,0.964264810713215,1.0,0.9258208725903199,0.43945811153485304,0.48590774651054786,-0.14786081663465983,-0.1521984133597884,-0.16217525734730093,-0.14191051296065782,Local transport artifact
0.45,2400,boundary_v2_regime_sequence,coupled_vs_product_shuffled,0.996064419508963,0.9988684422230613,0.9961835654969192,1.0,1.0,0.34865248670855287,0.6480601530342893,-0.26096417794002347,-0.25999920030424806,-0.27665268199969023,-0.2436595206373452,Overfragmented/inconclusive
