variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
noise_000,noise,mild,0.45,900,center_of_mass,0.3506934605635454,True,0.002462146392821038,Robust propagation retained
noise_000,noise,mild,0.45,1500,center_of_mass,0.3943925236758915,True,0.002170005418896198,Robust propagation retained
noise_000,noise,mild,0.45,2400,center_of_mass,0.4487980581966058,True,0.002174802028065345,Robust propagation retained
noise_000,noise,mild,0.5,900,center_of_mass,0.3516459046838441,True,0.002953405450404005,Robust propagation retained
noise_000,noise,mild,0.5,1500,center_of_mass,0.3924592879093556,True,0.0024835002494126013,Robust propagation retained
noise_000,noise,mild,0.5,2400,center_of_mass,0.4490980610319534,True,0.0019780505678705235,Robust propagation retained
noise_000,noise,mild,0.525,900,center_of_mass,0.35128019488464746,True,0.002810495618853562,Robust propagation retained
noise_000,noise,mild,0.525,1500,center_of_mass,0.39350148887609754,True,0.002646841504566941,Robust propagation retained
noise_000,noise,mild,0.525,2400,center_of_mass,0.4471017907028535,True,0.002340725968761767,Robust propagation retained
noise_001,noise,moderate,0.45,900,center_of_mass,0.3005959657336851,True,0.003697993156452889,Robust propagation retained
noise_001,noise,moderate,0.45,1500,center_of_mass,0.31648826616253006,True,0.0032982626491150357,Robust propagation retained
noise_001,noise,moderate,0.45,2400,center_of_mass,0.32277507059742194,True,0.0034633871926369325,Component-erasing
noise_001,noise,moderate,0.5,900,center_of_mass,0.30476554875046324,True,0.00353798144713581,Robust propagation retained
noise_001,noise,moderate,0.5,1500,center_of_mass,0.3185642748883245,True,0.003311746202625615,Robust propagation retained
noise_001,noise,moderate,0.5,2400,center_of_mass,0.32594351032535784,True,0.0034113159707773316,Component-erasing
noise_001,noise,moderate,0.525,900,center_of_mass,0.30386445900624504,True,0.0033932093595907264,Robust propagation retained
noise_001,noise,moderate,0.525,1500,center_of_mass,0.32151498425301595,True,0.0035335217350522807,Robust propagation retained
noise_001,noise,moderate,0.525,2400,center_of_mass,0.3288909805295003,True,0.0033777276484949076,Component-erasing
noise_002,noise,mild,0.45,900,center_of_mass,0.3517083595561922,True,0.0025806780882252703,Robust propagation retained
noise_002,noise,mild,0.45,1500,center_of_mass,0.39362278026633574,True,0.002604003533071747,Robust propagation retained
noise_002,noise,mild,0.45,2400,center_of_mass,0.44972673930534945,True,0.002346105522648745,Robust propagation retained
noise_002,noise,mild,0.5,900,center_of_mass,0.3506164934045665,True,0.0026479507208778744,Robust propagation retained
noise_002,noise,mild,0.5,1500,center_of_mass,0.3949675600102945,True,0.002212263797597036,Robust propagation retained
noise_002,noise,mild,0.5,2400,center_of_mass,0.4463352660787082,True,0.002374229379929621,Robust propagation retained
noise_002,noise,mild,0.525,900,center_of_mass,0.35069498643400493,True,0.002772159337314256,Robust propagation retained
noise_002,noise,mild,0.525,1500,center_of_mass,0.3933569837265513,True,0.002701174237955309,Robust propagation retained
noise_002,noise,mild,0.525,2400,center_of_mass,0.4460377991902934,True,0.0024331507829038895,Robust propagation retained
noise_003,noise,moderate,0.45,900,center_of_mass,0.3011888886598383,True,0.0031598377916516457,Robust propagation retained
noise_003,noise,moderate,0.45,1500,center_of_mass,0.31537631651211334,True,0.00331366448035407,Robust propagation retained
noise_003,noise,moderate,0.45,2400,center_of_mass,0.3231715049590348,True,0.002754911657981529,Component-erasing
noise_003,noise,moderate,0.5,900,center_of_mass,0.3035154266716239,True,0.0037643904486523716,Robust propagation retained
noise_003,noise,moderate,0.5,1500,center_of_mass,0.3184468202621693,True,0.003445826443242192,Robust propagation retained
noise_003,noise,moderate,0.5,2400,center_of_mass,0.32766273055817685,True,0.003402833377287598,Component-erasing
noise_003,noise,moderate,0.525,900,center_of_mass,0.30347921128450234,True,0.0035523683012157192,Robust propagation retained
noise_003,noise,moderate,0.525,1500,center_of_mass,0.32000304416998143,True,0.003130950818127032,Robust propagation retained
noise_003,noise,moderate,0.525,2400,center_of_mass,0.3311324299017354,True,0.0030262514807900265,Component-erasing
noise_004,noise,mild,0.45,900,center_of_mass,0.3127519592093663,True,0.002844633807117594,Robust propagation retained
noise_004,noise,mild,0.45,1500,center_of_mass,0.3389487317357701,True,0.002949957298536296,Robust propagation retained
noise_004,noise,mild,0.45,2400,center_of_mass,0.3600372328624705,True,0.002837058982550142,Component-erasing
noise_004,noise,mild,0.5,900,center_of_mass,0.31395175768924627,True,0.0030566033696996786,Robust propagation retained
noise_004,noise,mild,0.5,1500,center_of_mass,0.3364180433993297,True,0.0029456164110348987,Robust propagation retained
noise_004,noise,mild,0.5,2400,center_of_mass,0.3602738568826155,True,0.0029526486654897766,Robust propagation retained
noise_004,noise,mild,0.525,900,center_of_mass,0.31422633995697075,True,0.003204095245591801,Robust propagation retained
noise_004,noise,mild,0.525,1500,center_of_mass,0.33772803405044866,True,0.0030322421752766587,Robust propagation retained
noise_004,noise,mild,0.525,2400,center_of_mass,0.3633449717475305,True,0.0026445730195563816,Robust propagation retained
noise_005,noise,moderate,0.45,900,center_of_mass,0.37214615241008747,True,0.002311895715629321,Robust propagation retained
noise_005,noise,moderate,0.45,1500,center_of_mass,0.4246915689268266,True,0.0021151708458626295,Robust propagation retained
noise_005,noise,moderate,0.45,2400,center_of_mass,0.4860045564172003,True,0.001861828929764428,Robust propagation retained
noise_005,noise,moderate,0.5,900,center_of_mass,0.3705165628535528,True,0.0024270416379273824,Robust propagation retained
noise_005,noise,moderate,0.5,1500,center_of_mass,0.4260588737195475,True,0.002419609739878495,Robust propagation retained
noise_005,noise,moderate,0.5,2400,center_of_mass,0.48569573039313063,True,0.001843994137825558,Robust propagation retained
noise_005,noise,moderate,0.525,900,center_of_mass,0.371457891150224,True,0.002396667898881648,Robust propagation retained
noise_005,noise,moderate,0.525,1500,center_of_mass,0.4255714843316474,True,0.0021375999740088775,Robust propagation retained
noise_005,noise,moderate,0.525,2400,center_of_mass,0.48541024645242326,True,0.001984202694114312,Robust propagation retained
noise_006,noise,mild,0.45,900,center_of_mass,0.35166457696197384,True,0.0026051292732898607,Robust propagation retained
noise_006,noise,mild,0.45,1500,center_of_mass,0.3954976685098869,True,0.00241410869185045,Robust propagation retained
noise_006,noise,mild,0.45,2400,center_of_mass,0.45061255007968065,True,0.0021252325439688052,Robust propagation retained
noise_006,noise,mild,0.5,900,center_of_mass,0.3512010474606237,True,0.0026120789677400585,Robust propagation retained
noise_006,noise,mild,0.5,1500,center_of_mass,0.3931912049707407,True,0.0020318487231102134,Robust propagation retained
noise_006,noise,mild,0.5,2400,center_of_mass,0.4485437024532749,True,0.002266108654504745,Robust propagation retained
noise_006,noise,mild,0.525,900,center_of_mass,0.3502629124613875,True,0.002669047348754734,Robust propagation retained
noise_006,noise,mild,0.525,1500,center_of_mass,0.39534054328427815,True,0.002328393111712304,Robust propagation retained
noise_006,noise,mild,0.525,2400,center_of_mass,0.44659938532797294,True,0.0023526080963565538,Robust propagation retained
noise_007,noise,moderate,0.45,900,center_of_mass,0.30256833110985115,True,0.003009621196443768,Robust propagation retained
noise_007,noise,moderate,0.45,1500,center_of_mass,0.3165551197398513,True,0.003140733445731167,Robust propagation retained
noise_007,noise,moderate,0.45,2400,center_of_mass,0.32424412702573513,True,0.0032355764419319255,Component-erasing
noise_007,noise,moderate,0.5,900,center_of_mass,0.3037038007674188,True,0.0032114060718809734,Robust propagation retained
noise_007,noise,moderate,0.5,1500,center_of_mass,0.3169951536734196,True,0.0035567766453729333,Robust propagation retained
noise_007,noise,moderate,0.5,2400,center_of_mass,0.3274929437394612,True,0.0031385625370297654,Component-erasing
noise_007,noise,moderate,0.525,900,center_of_mass,0.30477939187036374,True,0.003298914236248618,Robust propagation retained
noise_007,noise,moderate,0.525,1500,center_of_mass,0.3175065441752061,True,0.0032350789003836866,Robust propagation retained
noise_007,noise,moderate,0.525,2400,center_of_mass,0.32972631848579936,True,0.003697675246120427,Component-erasing
noise_008,noise,mild,0.45,900,center_of_mass,0.31360818716429983,True,0.003060028311536442,Robust propagation retained
noise_008,noise,mild,0.45,1500,center_of_mass,0.3376146665170587,True,0.0027341977672091927,Robust propagation retained
noise_008,noise,mild,0.45,2400,center_of_mass,0.3597647006896726,True,0.002660082765678723,Component-erasing
noise_008,noise,mild,0.5,900,center_of_mass,0.3138782325219339,True,0.0031882081244820337,Robust propagation retained
noise_008,noise,mild,0.5,1500,center_of_mass,0.339144941701731,True,0.0028449186813246374,Robust propagation retained
noise_008,noise,mild,0.5,2400,center_of_mass,0.3639994913975995,True,0.0028226667103076336,Robust propagation retained
noise_008,noise,mild,0.525,900,center_of_mass,0.31474751804170775,True,0.0034126649062013736,Robust propagation retained
noise_008,noise,mild,0.525,1500,center_of_mass,0.3374156629255055,True,0.003198732465992213,Robust propagation retained
noise_008,noise,mild,0.525,2400,center_of_mass,0.36240045610256955,True,0.003315774913174502,Robust propagation retained
noise_009,noise,moderate,0.45,900,center_of_mass,0.3729344089739336,True,0.002503035486892312,Robust propagation retained
noise_009,noise,moderate,0.45,1500,center_of_mass,0.4249231916231316,True,0.0019410682113074756,Robust propagation retained
noise_009,noise,moderate,0.45,2400,center_of_mass,0.48726926778165625,True,0.00205591759107418,Robust propagation retained
noise_009,noise,moderate,0.5,900,center_of_mass,0.3705287876222211,True,0.002439297031282775,Robust propagation retained
noise_009,noise,moderate,0.5,1500,center_of_mass,0.42512955646847866,True,0.0021279182952369247,Robust propagation retained
noise_009,noise,moderate,0.5,2400,center_of_mass,0.48552088773950713,True,0.0018632447616242637,Robust propagation retained
noise_009,noise,moderate,0.525,900,center_of_mass,0.3741691242255226,True,0.0020838389777889862,Robust propagation retained
noise_009,noise,moderate,0.525,1500,center_of_mass,0.42531466928039724,True,0.002120657337923826,Robust propagation retained
noise_009,noise,moderate,0.525,2400,center_of_mass,0.48621309764588394,True,0.0019116860808109648,Robust propagation retained
noise_010,noise,mild,0.45,900,center_of_mass,0.34974088504239825,True,0.002496160470098069,Robust propagation retained
noise_010,noise,mild,0.45,1500,center_of_mass,0.3932981908966905,True,0.002345109143084459,Robust propagation retained
noise_010,noise,mild,0.45,2400,center_of_mass,0.4487330397271556,True,0.0021429623062994563,Robust propagation retained
noise_010,noise,mild,0.5,900,center_of_mass,0.3538323364612261,True,0.002472213013097503,Robust propagation retained
noise_010,noise,mild,0.5,1500,center_of_mass,0.3928861952930129,True,0.0023792724907191753,Robust propagation retained
noise_010,noise,mild,0.5,2400,center_of_mass,0.44833307851384774,True,0.0022855508848890344,Robust propagation retained
noise_010,noise,mild,0.525,900,center_of_mass,0.34890197011608104,True,0.0026338094530391,Robust propagation retained
noise_010,noise,mild,0.525,1500,center_of_mass,0.3956614159455098,True,0.0026167466376817022,Robust propagation retained
noise_010,noise,mild,0.525,2400,center_of_mass,0.44704022741693433,True,0.002157713102663536,Robust propagation retained
noise_011,noise,moderate,0.45,900,center_of_mass,0.3703368962684165,True,0.002414871660944208,Robust propagation retained
noise_011,noise,moderate,0.45,1500,center_of_mass,0.42581070693065015,True,0.002011642659564536,Robust propagation retained
noise_011,noise,moderate,0.45,2400,center_of_mass,0.4869938912114291,True,0.0018759266011307563,Robust propagation retained
noise_011,noise,moderate,0.5,900,center_of_mass,0.37181260785664577,True,0.0020820825055444664,Robust propagation retained
noise_011,noise,moderate,0.5,1500,center_of_mass,0.4246286258081836,True,0.0022250188165952034,Robust propagation retained
noise_011,noise,moderate,0.5,2400,center_of_mass,0.4854117415961269,True,0.0018107932799028698,Robust propagation retained
noise_011,noise,moderate,0.525,900,center_of_mass,0.372337311845403,True,0.002192850194683113,Robust propagation retained
noise_011,noise,moderate,0.525,1500,center_of_mass,0.4253301617843384,True,0.00229323573668036,Robust propagation retained
noise_011,noise,moderate,0.525,2400,center_of_mass,0.48519703529127567,True,0.0020932754510242096,Robust propagation retained
noise_012,noise,mild,0.45,900,center_of_mass,0.3512481503383967,True,0.0025654066770658124,Robust propagation retained
noise_012,noise,mild,0.45,1500,center_of_mass,0.3939408091765153,True,0.0023454417333380745,Robust propagation retained
noise_012,noise,mild,0.45,2400,center_of_mass,0.448620261471483,True,0.0020943181961721596,Robust propagation retained
noise_012,noise,mild,0.5,900,center_of_mass,0.3518816925871049,True,0.0027472299988054102,Robust propagation retained
noise_012,noise,mild,0.5,1500,center_of_mass,0.3965597349467231,True,0.0023987266249683586,Robust propagation retained
noise_012,noise,mild,0.5,2400,center_of_mass,0.447598715063259,True,0.002429070703475561,Robust propagation retained
noise_012,noise,mild,0.525,900,center_of_mass,0.35001662858747845,True,0.002398311158252335,Robust propagation retained
noise_012,noise,mild,0.525,1500,center_of_mass,0.39592834097677787,True,0.002406048549121187,Robust propagation retained
noise_012,noise,mild,0.525,2400,center_of_mass,0.44795239363203726,True,0.0023485174424568156,Robust propagation retained
noise_013,noise,moderate,0.45,900,center_of_mass,0.3706549588868474,True,0.0022947519957570994,Robust propagation retained
noise_013,noise,moderate,0.45,1500,center_of_mass,0.4252014515189807,True,0.002050788130622566,Robust propagation retained
noise_013,noise,moderate,0.45,2400,center_of_mass,0.48732627523378935,True,0.0017167461347935287,Robust propagation retained
noise_013,noise,moderate,0.5,900,center_of_mass,0.3701193747938919,True,0.002127261366921686,Robust propagation retained
noise_013,noise,moderate,0.5,1500,center_of_mass,0.4260586092015995,True,0.0024086189385531392,Robust propagation retained
noise_013,noise,moderate,0.5,2400,center_of_mass,0.48677978765860735,True,0.002087052767492395,Robust propagation retained
noise_013,noise,moderate,0.525,900,center_of_mass,0.37139021028512476,True,0.0025186483258640424,Robust propagation retained
noise_013,noise,moderate,0.525,1500,center_of_mass,0.42645802442696984,True,0.0023429317464221805,Robust propagation retained
noise_013,noise,moderate,0.525,2400,center_of_mass,0.4849609319505045,True,0.0018126867231735844,Robust propagation retained
noise_014,noise,mild,0.45,900,center_of_mass,0.31300569807872847,True,0.0028072669736275424,Robust propagation retained
noise_014,noise,mild,0.45,1500,center_of_mass,0.3402109451251631,True,0.002723723028028105,Robust propagation retained
noise_014,noise,mild,0.45,2400,center_of_mass,0.36177955155554054,True,0.0029491075259342747,Component-erasing
noise_014,noise,mild,0.5,900,center_of_mass,0.3128811429024567,True,0.0032247571732703234,Robust propagation retained
noise_014,noise,mild,0.5,1500,center_of_mass,0.3394732417170084,True,0.003379149522834593,Robust propagation retained
noise_014,noise,mild,0.5,2400,center_of_mass,0.3640261881745114,True,0.002477032096552048,Robust propagation retained
noise_014,noise,mild,0.525,900,center_of_mass,0.3134694259655917,True,0.003281561736108038,Robust propagation retained
noise_014,noise,mild,0.525,1500,center_of_mass,0.33899911872598565,True,0.0027695869701495762,Robust propagation retained
noise_014,noise,mild,0.525,2400,center_of_mass,0.36473696779128706,True,0.0028767815106223865,Robust propagation retained
