variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,Delta_R,Delta_H_weighted_product,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,macro_path_entropy,macro_node_entropy,breadth_index
noise_000,noise,mild,0.45,900,center_of_mass,0.1156788262065831,0.1149915730552431,0.00861616170990609,0.008701424303076633,7.661365499645639,2.142868042061577,0.5766421126356566
noise_000,noise,mild,0.45,1500,center_of_mass,0.2992564189161264,0.2992021884994287,0.022492115465855722,0.022518205542533365,8.428786250774706,2.0596220053120904,0.6344029827012114
noise_000,noise,mild,0.45,2400,center_of_mass,0.6070545638221052,0.6090002999593533,0.0458316727002811,0.045684705340589216,9.164905286419184,2.019479391374504,0.6898078880250841
noise_000,noise,mild,0.5,900,center_of_mass,0.12684361401295075,0.12239983301721402,0.009181107229644492,0.009546275631017731,7.668641672608992,2.1509187023073344,0.5771924807987109
noise_000,noise,mild,0.5,1500,center_of_mass,0.313046543753293,0.3138811694261108,0.02360605584584563,0.023561063027096707,8.444154137102242,2.0759825386231263,0.6355626471369757
noise_000,noise,mild,0.5,2400,center_of_mass,0.6326905831520122,0.6318413008512458,0.047562083990779436,0.047619535463854445,9.189731804009934,2.0458514963717502,0.6916797309742617
noise_000,noise,mild,0.525,900,center_of_mass,0.12432666690687899,0.1252561033323616,0.00942444782143792,0.009357625951289417,7.6700729723295735,2.1540904262206118,0.5773010723617932
noise_000,noise,mild,0.525,1500,center_of_mass,0.3187782874521705,0.3178946023667528,0.023938965500559073,0.02399334871009473,8.450998747369713,2.0834812909054192,0.6360787707208075
noise_000,noise,mild,0.525,2400,center_of_mass,0.6412838208589804,0.6419803601690521,0.04835852504145488,0.048267272363321845,9.200586513197859,2.0578388437840234,0.6924977671010729
noise_001,noise,moderate,0.45,900,center_of_mass,0.10255621512194235,0.10018485454750614,0.007525801488528383,0.00771255875427429,6.046044492414059,2.0726095553605504,0.4550622467696434
noise_001,noise,moderate,0.45,1500,center_of_mass,0.5150788558261423,0.5140383475183521,0.038707270402899896,0.038761396223089495,6.596178397901542,1.9526899099821926,0.49646869182263165
noise_001,noise,moderate,0.45,2400,center_of_mass,1.2024172807322353,1.2028483206863765,0.09060658749770312,0.0904948447026867,7.12617219434551,1.8647533505884006,0.5363592589253465
noise_001,noise,moderate,0.5,900,center_of_mass,0.11668854250207872,0.12043977303312481,0.009059299093153617,0.008781709562920903,6.06259810397893,2.079810415485848,0.4563108372094864
noise_001,noise,moderate,0.5,1500,center_of_mass,0.5441407589397302,0.5451530901247876,0.04106105079039235,0.04095453858107162,6.627292557829035,1.9707207665476196,0.49881344234276914
noise_001,noise,moderate,0.5,2400,center_of_mass,1.1949530083525248,1.1965539274601653,0.09014450479656488,0.08993895696371274,7.120722375876698,1.8901703439665039,0.5359522070169305
noise_001,noise,moderate,0.525,900,center_of_mass,0.11968853184049166,0.11869201976875043,0.008951307446133261,0.009006230468787124,6.064559309759467,2.08493563449308,0.45645741595257594
noise_001,noise,moderate,0.525,1500,center_of_mass,0.551661555043589,0.5522912447465602,0.041622405040622756,0.041519215392042175,6.636327046937836,1.9800189361404534,0.49949230121343335
noise_001,noise,moderate,0.525,2400,center_of_mass,1.194255469371706,1.1984363268929563,0.0903080475844163,0.08988500167127361,7.121125394133625,1.9024308693899161,0.535981318258746
noise_002,noise,mild,0.45,900,center_of_mass,0.11301712334536074,0.11045914799998258,0.008324585746716906,0.00850319838336111,7.659551597367991,2.1434931004428868,0.5765101408002552
noise_002,noise,mild,0.45,1500,center_of_mass,0.2974224360569533,0.2980632947792028,0.02246116004978238,0.022382533893125833,8.427626996604886,2.0601395972093566,0.6343207269711182
noise_002,noise,mild,0.45,2400,center_of_mass,0.6050913405332761,0.6042716515834119,0.04553486930762651,0.04553962015229229,9.162600866193857,2.0198562269364677,0.6896398794910608
noise_002,noise,mild,0.5,900,center_of_mass,0.12203570593669877,0.12338163147020964,0.00925522694850045,0.009177928741778474,7.6689842196849725,2.1521881667439002,0.5772167286634737
noise_002,noise,mild,0.5,1500,center_of_mass,0.315166858440767,0.31833051734030704,0.02394110238241609,0.023713654967157827,8.446875223691038,2.0771304541075892,0.6357657745115701
noise_002,noise,mild,0.5,2400,center_of_mass,0.6326254719640385,0.6340533407443392,0.04772791730798065,0.047607198390262506,9.191913874609845,2.0467991054002104,0.6918421426852747
noise_002,noise,mild,0.525,900,center_of_mass,0.1303689092028275,0.13100434100586789,0.009850619955219075,0.009813227799320368,7.675688808394376,2.1546858482522215,0.5777268497312195
noise_002,noise,mild,0.525,1500,center_of_mass,0.32424914129840054,0.32574302684557743,0.024523632134582862,0.024406086595610166,8.455259259438732,2.084024719465144,0.6364028578135554
noise_002,noise,mild,0.525,2400,center_of_mass,0.642089356075644,0.6428126279491746,0.04841540859574989,0.04832903532057442,9.19929087430029,2.0583881930010968,0.6924039586928842
noise_003,noise,moderate,0.45,900,center_of_mass,0.10179969805503752,0.10646076963196993,0.008006260163835766,0.007662792278701314,6.051163454360966,2.0735998766817256,0.45544999618682036
noise_003,noise,moderate,0.45,1500,center_of_mass,0.517639886631752,0.5182071904055796,0.039030851210346273,0.038961661516936474,6.600465799573245,1.9534355396646859,0.4967940808246956
noise_003,noise,moderate,0.45,2400,center_of_mass,1.2046423514161368,1.2037375346130128,0.09068572821198273,0.09066991909518812,7.128800622780855,1.8654207069635924,0.5365600007353712
