variant_id,perturbation_family,perturbation_strength,threshold,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index
noise_000,noise,mild,main,coupled,0.45,900,center_of_mass,79.5,0.998931875,0.6222832576988576,0.6357046187407633,0.7942655407463045,0.4706332098711578,0.2602304672116982,1.0,0.8108467502321156,0.09457662488394215,0.3506934605635454,0.7176872560858112,1.0,7.661365499645639,2.142868042061577,0.5766421126356566
noise_000,noise,mild,main,coupled,0.45,1500,center_of_mass,79.5,0.998931875,0.6509444771299887,0.6622977843952358,0.8672917784411602,0.45625587973304976,0.27150214574756687,1.0,0.7941005386570705,0.1029497306714647,0.3943925236758915,0.7217164684391313,1.0,8.428786250774706,2.0596220053120904,0.6344029827012114
noise_000,noise,mild,main,coupled,0.45,2400,center_of_mass,79.5,0.998931875,0.704237644817118,0.7139270224119116,0.9215051657235822,0.5081036220821671,0.2692389021777888,1.0,0.7526870763140796,0.12365646184296016,0.4487980581966058,0.7484505823896828,1.0,9.164905286419184,2.019479391374504,0.6898078880250841
noise_000,noise,mild,main,coupled,0.5,900,center_of_mass,79.5,0.9988887500000001,0.6262303251698802,0.6381933870218295,0.7985535713631331,0.46774330762703986,0.26852618474601436,1.0,0.8281439432573914,0.08592802837130427,0.3516459046838441,0.7181449841906978,1.0,7.668641672608992,2.1509187023073344,0.5771924807987109
noise_000,noise,mild,main,coupled,0.5,1500,center_of_mass,79.5,0.9988887500000001,0.6580212392113742,0.6676295527219193,0.872885009252213,0.4625098154379767,0.28398835210641893,1.0,0.8137988482741395,0.09310057586293023,0.3924592879093556,0.7221251639619533,1.0,8.444154137102242,2.0759825386231263,0.6355626471369757
noise_000,noise,mild,main,coupled,0.5,2400,center_of_mass,79.5,0.9988887500000001,0.7144033441028815,0.7221450305680289,0.926208011853865,0.5113536627357876,0.2806812408133309,1.0,0.7699961431700977,0.11500192841495113,0.4490980610319534,0.7418196419512814,1.0,9.189731804009934,2.0458514963717502,0.6916797309742617
noise_000,noise,mild,main,coupled,0.525,900,center_of_mass,79.5,0.998875,0.6282911409545437,0.6396396050795413,0.8008637942043171,0.4685392094401816,0.2733541278478133,1.0,0.8373980909557919,0.08130095452210405,0.35128019488464746,0.719055923210798,1.0,7.6700729723295735,2.1540904262206118,0.5773010723617932
noise_000,noise,mild,main,coupled,0.525,1500,center_of_mass,79.5,0.998875,0.6607758720690298,0.6697758341028477,0.8753585056161336,0.46049170240962434,0.2887534648827313,1.0,0.8231025760362691,0.0884487119818654,0.39350148887609754,0.720995226208314,1.0,8.450998747369713,2.0834812909054192,0.6360787707208075
noise_000,noise,mild,main,coupled,0.525,2400,center_of_mass,79.5,0.998875,0.7190088263528874,0.7259819834640259,0.9282836502925512,0.5149529811316294,0.28702526333182155,1.0,0.777771857985994,0.11111407100700296,0.4471017907028535,0.7347642762940745,1.0,9.200586513197859,2.0578388437840234,0.6924977671010729
noise_000,noise,mild,main,independent_alpha0,0.45,900,center_of_mass,79.5,0.9988400000000001,0.5745890127090661,0.6061359278451874,0.7545882688256631,0.4556188511961704,0.211375774900949,1.0,0.7503172775956214,0.12484136120218928,0.3502598255816768,0.7222089053171068,1.0,7.545736363966344,2.069183467467346,0.5679448242234864
