variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.26808316909450386,0.07462830200696448,0.00589988530632307,-0.2794424675165013,-0.2554226548529787,0.0240198126635226,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.27150208130030345,0.07916427488614335,0.006258485448896994,-0.28344655856655504,-0.25892141834014126,0.024525140226413777,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,0.000395690716973935,0.001004957347628409,7.944885424568465e-05,0.00023286175968443258,0.0005444460725273802,0.0003115843128429477,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_depth_vs_product,0.0003312450672373117,0.0009866899778188999,7.800469185921851e-05,0.00017945242889860088,0.0004862705393598231,0.00030681811046122224,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_robust_reachability_vs_shuffled,-0.08295526498467339,0.0024458568156001123,0.00019336195919857015,-0.08334315916209731,-0.08259019320002754,0.0007529659620697654,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_robust_reachability_vs_product,-0.08260554396307239,0.002320634277491316,0.0001834622483282944,-0.0829934872918393,-0.0822549974124838,0.0007384898793555,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,singleton_fraction,0.4059534010795616,0.07338302265640592,0.005801437329549562,0.39417395753225065,0.4173303258798016,0.02315636834755097,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.05443739125335521,0.00914506440783307,0.0007229808219422871,0.05314582967520695,0.05590141324745573,0.002755583572248775,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_viable_propagation_vs_product,0.05320317937210758,0.008987308706351341,0.0007105091386782905,0.05185668495117251,0.05451325725747296,0.002656572306300453,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_depth_vs_shuffled,0.041692888191467124,0.006642657133151669,0.0005251481564080914,0.040705741571837865,0.042740616303470924,0.0020348747316330587,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_depth_vs_product,0.04178066461220229,0.006773328990590434,0.0005354786737978742,0.04067900614671612,0.042767799324256374,0.002088793177540252,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_robust_reachability_vs_shuffled,0.027326283268854768,0.0035526122382422026,0.0002808586579058525,0.026812684056206546,0.027842371426285352,0.0010296873700788058,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_robust_reachability_vs_product,0.027732782503405707,0.0036238071644000888,0.00028648711101851305,0.02717753366701331,0.028255630849814233,0.0010780971828009238,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,component_B_preservation,0.79865469633034,0.004577366484604163,0.00036187259441668027,0.7979433310336006,0.7993876759952901,0.0014443449616895476,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,lower_rank_erasure_score,0.10067265183482996,0.002288683242302087,0.00018093629720834057,0.1003113904437294,0.10100300858332993,0.0006916181396005305,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,singleton_fraction,0.3339139556389001,0.016413695224003925,0.0012976165431920008,0.33125393984749946,0.3362100539343894,0.004956114086889951,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05405141593743575,0.055168115392578376,0.004361422471488547,-0.06287354972120116,-0.04478473469551619,0.018088815025684962,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_viable_propagation_vs_product,-0.06099833689954047,0.061828395545841325,0.004887963849966703,-0.0706459466622154,-0.051216505146365214,0.01942944151585018,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_depth_vs_shuffled,-0.010472603472436169,0.002422644886412372,0.00019152689507057513,-0.010856742473061192,-0.010095164558939678,0.000761577914121514,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_depth_vs_product,-0.01062779953065188,0.002428121436287148,0.00019195985435367015,-0.010977906634468718,-0.010281790847450907,0.0006961157870178109,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_robust_reachability_vs_shuffled,0.24442553126003794,0.0025235246518453503,0.00019950214078536845,0.24401975926081937,0.24482946401696076,0.0008097047561413939,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_robust_reachability_vs_product,0.24440991371474102,0.0029404610274613046,0.00023246385544341605,0.2439499447134521,0.2448373137975546,0.0008873690841025017,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
initial_location_000,initial_location,mild,0.45,900,joint_basin,singleton_fraction,0.44242005675023793,0.02185143985673413,0.0017275080025365816,0.4393059724858007,0.4458762521794049,0.006570279693604186,True
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.2871752013655639,0.09353255686756153,0.007394397877017958,-0.3026206222026737,-0.2729329974191431,0.029687624783530597,True
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.2861258198209118,0.09044912486432649,0.007150631173505999,-0.29935917262894196,-0.27167809348006255,0.027681079148879406,True
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,-0.00015435286174355703,0.0014852233359731503,0.0001174172143927162,-0.00038867790928384324,7.135165517721462e-05,0.00046002956446105785,False
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,Delta_depth_vs_product,-0.0002012870818012144,0.0015124471393155136,0.00011956944502107553,-0.0004301790623336475,3.079889607911896e-05,0.00046097795841276647,False
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,Delta_robust_reachability_vs_shuffled,-0.1578930575944581,0.002363460974660762,0.00018684799602123779,-0.15825868201203785,-0.15755008450010796,0.0007085975119298926,True
