perturbation_family,perturbation_strength,kappa,fraction_positive_vs_product,fraction_positive_vs_shuffled,fraction_component_preserving,fraction_non_overfragmented,fraction_estimator_stable,retention_rate,median_Delta_viable_propagation_vs_shuffled,median_Delta_depth_vs_shuffled
initial_location,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.28009443284145785,-0.00027175602417806033
initial_location,mild,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07726953752796692,0.0983836939876247
initial_location,mild,joint_basin,0.0,0.0,1.0,1.0,0.9777777777777777,0.0,-0.058149850378402146,-0.005259995458409716
initial_location,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.2810656745992747,-0.0002974176410390772
initial_location,moderate,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07785330069582772,0.09775561726321347
initial_location,moderate,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.06718960400219298,-0.006389754424124483
noise,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,0.9777777777777777,0.0,-0.28973828990134076,-0.0008671429254327734
noise,mild,center_of_mass,1.0,1.0,0.9555555555555556,1.0,1.0,0.9555555555555556,0.08211701979702152,0.10626080461507681
noise,mild,joint_basin,0.0,0.0,1.0,1.0,0.9777777777777777,0.0,-0.07872987244160656,-0.007233996454474423
noise,moderate,boundary_v2_regime_sequence,0.2,0.2,1.0,1.0,0.4444444444444444,0.0,-0.0964215522592986,-0.0013900198859307933
noise,moderate,center_of_mass,1.0,1.0,0.8,1.0,1.0,0.8,0.09386837149713961,0.055783062198229816
noise,moderate,joint_basin,0.0,0.0,1.0,1.0,0.9555555555555556,0.0,-0.10594697663752994,-0.0056295367646027605
potential_shape,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.2679749011516156,-0.00021456709069711533
potential_shape,mild,center_of_mass,1.0,1.0,0.9555555555555556,1.0,1.0,0.9555555555555556,0.08783977630973433,0.10256169429133855
potential_shape,mild,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.06338944275530123,-0.005351610139017748
potential_shape,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.27080082984088205,-0.000308485070717901
potential_shape,moderate,center_of_mass,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.0717481165265782,0.0915113311832586
potential_shape,moderate,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.0734592552204425,-0.007196187183999392
reference,reference,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.28329695464094606,-0.00020525211487820716
reference,reference,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.0780431257443289,0.09768555224747966
reference,reference,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.05592718679321207,-0.005090586335547709
sink_threshold,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.2772303354617157,-0.00018376599039571229
sink_threshold,mild,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07850172346114068,0.09753718532965361
sink_threshold,mild,joint_basin,0.0,0.0,1.0,1.0,0.9777777777777777,0.0,-0.060637919702048015,-0.00524917500874944
sink_threshold,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.27814523872380315,-0.00014631336538850626
sink_threshold,moderate,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07840720070861093,0.09751273068101929
sink_threshold,moderate,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.06189227357495142,-0.00530139680679953
time_discretization,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.30051435108403735,0.0005268550579243803
time_discretization,mild,center_of_mass,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,0.08296958956486075,0.11854287708851907
time_discretization,mild,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.07695504208752557,-0.005741024384651738
time_discretization,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.29869686019586195,0.0005008301640702095
time_discretization,moderate,center_of_mass,1.0,1.0,0.9555555555555556,1.0,1.0,0.9555555555555556,0.08088696424761219,0.07263204351961716
time_discretization,moderate,joint_basin,0.0,0.0,1.0,1.0,1.0,0.0,-0.07556007875927284,-0.006281832416863864
