kappa,variant_id,split,alpha,T,component_A_preservation,component_B_preservation,lower_rank_erasure_score
all_one_diagnostic,noise_test_000,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_000,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_000,test,0.525,1500,1.0,0.8052796190792121,0.0973601904603939
identity_diagnostic,noise_test_000,test,0.525,1500,0.6925996705317564,0.4560418461848297,0.4256792416417069
joint_basin,noise_test_000,test,0.525,1500,1.0,0.9398856625745092,0.030057168712745344
predictive_kmeans_k13,noise_test_000,test,0.525,1500,0.9989969682517169,0.6620061893533271,0.16949842119747796
predictive_kmeans_k21,noise_test_000,test,0.525,1500,0.8630576078551934,0.5682745776254882,0.28433390725965924
predictive_kmeans_k5,noise_test_000,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_000,test,0.525,1500,1.0,0.8363483832839289,0.0818258083580355
predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,1500,0.9990944812298763,0.6625813579193419,0.1691620804253909
predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,1500,1.0,0.8344565588335442,0.08277172058322785
random_matched_predictive_kmeans_k13,noise_test_000,test,0.525,1500,0.6926028798775746,0.45604394066876663,0.42567658972682926
random_matched_predictive_kmeans_k21,noise_test_000,test,0.525,1500,0.6926000696049948,0.4560421103919385,0.4256789100015333
random_matched_predictive_kmeans_k5,noise_test_000,test,0.525,1500,0.6948502138529489,0.45752409666823174,0.42381284473940967
random_matched_predictive_kmeans_k8,noise_test_000,test,0.525,1500,0.6926881194673592,0.4561001053169308,0.42560588760785495
random_matched_predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,1500,0.6926028798775746,0.45604394066876663,0.42567658972682926
random_matched_predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,1500,0.6926881194673592,0.4561001053169308,0.42560588760785495
all_one_diagnostic,noise_test_000,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_000,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_000,test,0.525,2400,1.0,0.6940764919697752,0.1529617540151124
identity_diagnostic,noise_test_000,test,0.525,2400,0.7191221719097595,0.4203957075217994,0.43024106028422054
joint_basin,noise_test_000,test,0.525,2400,1.0,0.92691775278799,0.03654112360600498
predictive_kmeans_k13,noise_test_000,test,0.525,2400,1.0,0.6342751442518106,0.18286242787409468
predictive_kmeans_k21,noise_test_000,test,0.525,2400,0.9203323113508053,0.5380224202574982,0.2708226341958482
predictive_kmeans_k5,noise_test_000,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_000,test,0.525,2400,1.0,0.8312184460686508,0.08439077696567451
predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,2400,1.0,0.5982452002451885,0.20087739987740572
predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,2400,1.0,0.8103627336932614,0.09481863315336925
random_matched_predictive_kmeans_k13,noise_test_000,test,0.525,2400,0.7191250827659087,0.4203973959575773,0.4302387606382569
random_matched_predictive_kmeans_k21,noise_test_000,test,0.525,2400,0.7191221707907428,0.4203957037114601,0.43024106274889845
random_matched_predictive_kmeans_k5,noise_test_000,test,0.525,2400,0.7214588765313927,0.4217611117986443,0.4283900058349815
random_matched_predictive_kmeans_k8,noise_test_000,test,0.525,2400,0.7192135839792865,0.4204490891995843,0.4301686634105646
random_matched_predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,2400,0.7191250827659087,0.4203973959575773,0.4302387606382569
random_matched_predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,2400,0.7192135839792865,0.4204490891995843,0.4301686634105646
all_one_diagnostic,noise_test_001,test,0.525,1500,1.0,1.0,0.0
