alpha,T,condition,threshold,kappa,metric,mean,std,se,ci_low,ci_high
0.45,900,coupled,loose,boundary_v2_regime_sequence,viable_propagation_index,0.624046341710282,0.09015041917761721,0.00901504191776172,0.6072104683384919,0.6397478522652684
0.45,900,coupled,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,coupled,loose,boundary_v2_regime_sequence,singleton_fraction,0.3732162815329627,0.09027569756589526,0.009027569756589526,0.35508056071204036,0.38986260817281304
0.45,900,coupled,loose,center_of_mass,viable_propagation_index,0.2374497377300011,0.009687227265892344,0.0009687227265892344,0.23587237468500283,0.23927891258699244
0.45,900,coupled,loose,center_of_mass,component_B_preservation,0.8019622074695318,0.00792065045162303,0.000792065045162303,0.8004617458536551,0.8032510075654631
0.45,900,coupled,loose,center_of_mass,singleton_fraction,0.42567750473567556,0.021003099839046878,0.0021003099839046876,0.42182439739073757,0.42928573090671973
0.45,900,coupled,loose,joint_basin,viable_propagation_index,0.5163018782902665,0.03041356601675828,0.003041356601675828,0.5104465294297487,0.52202531754074
0.45,900,coupled,loose,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,coupled,loose,joint_basin,singleton_fraction,0.478901436027343,0.030561504172547643,0.0030561504172547643,0.4727998186179884,0.4844008254048269
0.45,900,coupled,main,boundary_v2_regime_sequence,viable_propagation_index,0.6218614046358149,0.08983332945314895,0.008983332945314896,0.6058677694950729,0.6359863898688742
0.45,900,coupled,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,coupled,main,boundary_v2_regime_sequence,singleton_fraction,0.3732162815329627,0.09027569756589526,0.009027569756589526,0.35475627088157835,0.3913496735537387
0.45,900,coupled,main,center_of_mass,viable_propagation_index,0.23630972052835944,0.009611769467397509,0.0009611769467397508,0.234431808024752,0.23800447902981092
0.45,900,coupled,main,center_of_mass,component_B_preservation,0.8019622074695318,0.00792065045162303,0.000792065045162303,0.8004355193328754,0.8035571669440438
0.45,900,coupled,main,center_of_mass,singleton_fraction,0.42567750473567556,0.021003099839046878,0.0021003099839046876,0.42139566314208254,0.42968687051807025
0.45,900,coupled,main,joint_basin,viable_propagation_index,0.5117589949609798,0.03006568580068038,0.003006568580068038,0.5059591108891849,0.5178864774368703
0.45,900,coupled,main,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,coupled,main,joint_basin,singleton_fraction,0.478901436027343,0.030561504172547643,0.0030561504172547643,0.47265595851666187,0.48392948296014326
0.45,900,coupled,strict,boundary_v2_regime_sequence,viable_propagation_index,0.6162833966148571,0.08876013498149636,0.008876013498149636,0.5998179004445039,0.6321999968330274
0.45,900,coupled,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,coupled,strict,boundary_v2_regime_sequence,singleton_fraction,0.3732162815329627,0.09027569756589526,0.009027569756589526,0.3563230719780137,0.3899444339597413
0.45,900,coupled,strict,center_of_mass,viable_propagation_index,0.23514174919977493,0.009595269337108518,0.0009595269337108518,0.23333256785404974,0.2371010200034414
0.45,900,coupled,strict,center_of_mass,component_B_preservation,0.8019622074695318,0.00792065045162303,0.000792065045162303,0.8005054033729048,0.8035865290638222
0.45,900,coupled,strict,center_of_mass,singleton_fraction,0.42567750473567556,0.021003099839046878,0.0021003099839046876,0.42167054510330015,0.42934183595466124
0.45,900,coupled,strict,joint_basin,viable_propagation_index,0.5028799823179381,0.029981831960842302,0.00299818319608423,0.49745125273598295,0.5090623760733215
0.45,900,coupled,strict,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,coupled,strict,joint_basin,singleton_fraction,0.478901436027343,0.030561504172547643,0.0030561504172547643,0.4732294142287,0.4849204270803875
0.45,900,independent_alpha0,loose,boundary_v2_regime_sequence,viable_propagation_index,0.7405427878749122,0.037160695049086354,0.0037160695049086355,0.7327724777376108,0.7474674844505927
0.45,900,independent_alpha0,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,independent_alpha0,loose,boundary_v2_regime_sequence,singleton_fraction,0.25593544681133823,0.037175407880381935,0.0037175407880381934,0.24914449738204664,0.2633995140307183
0.45,900,independent_alpha0,loose,center_of_mass,viable_propagation_index,0.19340343401838112,0.009267547144577417,0.0009267547144577417,0.19163098438296597,0.19523674239789843
0.45,900,independent_alpha0,loose,center_of_mass,component_B_preservation,0.7158533463872451,0.0101006274363858,0.00101006274363858,0.7137295034773075,0.7177896628318259
0.45,900,independent_alpha0,loose,center_of_mass,singleton_fraction,0.4167843959917809,0.021651628812788006,0.002165162881278801,0.41304965935405275,0.421478872353057
0.45,900,independent_alpha0,loose,joint_basin,viable_propagation_index,0.5247849139560964,0.06444850695667856,0.006444850695667856,0.512283576800054,0.5370589335014339
0.45,900,independent_alpha0,loose,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,independent_alpha0,loose,joint_basin,singleton_fraction,0.47293958606432207,0.06471151290339891,0.006471151290339891,0.46052800706493746,0.48519539537583095
0.45,900,independent_alpha0,main,boundary_v2_regime_sequence,viable_propagation_index,0.7379587981979643,0.036986436414930976,0.0036986436414930975,0.7314260541491159,0.7459287832788207
0.45,900,independent_alpha0,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,independent_alpha0,main,boundary_v2_regime_sequence,singleton_fraction,0.25593544681133823,0.037175407880381935,0.0037175407880381934,0.24903834101872274,0.2625449130236388
0.45,900,independent_alpha0,main,center_of_mass,viable_propagation_index,0.1918032370768724,0.009251402228371612,0.0009251402228371612,0.19007662462172778,0.19355492665631008
0.45,900,independent_alpha0,main,center_of_mass,component_B_preservation,0.7158533463872451,0.0101006274363858,0.00101006274363858,0.7138298380156489,0.7178332030533382
0.45,900,independent_alpha0,main,center_of_mass,singleton_fraction,0.4167843959917809,0.021651628812788006,0.002165162881278801,0.4121343989270642,0.42045037964311077
0.45,900,independent_alpha0,main,joint_basin,viable_propagation_index,0.523548831729192,0.06427290329279586,0.006427290329279587,0.5109858656364391,0.535539562951189
0.45,900,independent_alpha0,main,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,independent_alpha0,main,joint_basin,singleton_fraction,0.47293958606432207,0.06471151290339891,0.006471151290339891,0.4615609647136062,0.48589328541358706
0.45,900,independent_alpha0,strict,boundary_v2_regime_sequence,viable_propagation_index,0.7323024792255172,0.03654857617363751,0.0036548576173637513,0.7257420969706933,0.7395723543219291
0.45,900,independent_alpha0,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,independent_alpha0,strict,boundary_v2_regime_sequence,singleton_fraction,0.25593544681133823,0.037175407880381935,0.0037175407880381934,0.24869865817157713,0.2640453531341894
0.45,900,independent_alpha0,strict,center_of_mass,viable_propagation_index,0.18875105022003802,0.009133197130184208,0.0009133197130184208,0.18690230757719017,0.19069174954172818
0.45,900,independent_alpha0,strict,center_of_mass,component_B_preservation,0.7158533463872451,0.0101006274363858,0.00101006274363858,0.7137990665231045,0.7177609150436359
0.45,900,independent_alpha0,strict,center_of_mass,singleton_fraction,0.4167843959917809,0.021651628812788006,0.002165162881278801,0.4130658621100124,0.42159429610134486
0.45,900,independent_alpha0,strict,joint_basin,viable_propagation_index,0.5222491195657691,0.06419371254910713,0.006419371254910713,0.5106207617895527,0.5345588900415611
0.45,900,independent_alpha0,strict,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,independent_alpha0,strict,joint_basin,singleton_fraction,0.47293958606432207,0.06471151290339891,0.006471151290339891,0.46037686351036167,0.486757075054432
0.45,900,product,loose,boundary_v2_regime_sequence,viable_propagation_index,0.7371461383832861,0.0352328272319561,0.00352328272319561,0.7300434406089945,0.743657849134904
0.45,900,product,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,product,loose,boundary_v2_regime_sequence,singleton_fraction,0.2593488886279089,0.035254335753445006,0.0035254335753445005,0.25171886849845554,0.26630404424403403
0.45,900,product,loose,center_of_mass,viable_propagation_index,0.1922167913613954,0.008507180521618734,0.0008507180521618734,0.19045366590626212,0.19391166656168562
0.45,900,product,loose,center_of_mass,component_B_preservation,0.713686180113914,0.010701148138599865,0.0010701148138599864,0.7115740472025328,0.7161323119857206
0.45,900,product,loose,center_of_mass,singleton_fraction,0.4174079979503371,0.020739787688587082,0.0020739787688587082,0.4135170572598108,0.42179443242900794
0.45,900,product,loose,joint_basin,viable_propagation_index,0.5296105190837184,0.06920785727741485,0.006920785727741486,0.5155364717993919,0.5429579575141651
0.45,900,product,loose,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,product,loose,joint_basin,singleton_fraction,0.4682005242509623,0.06941938612622146,0.0069419386126221465,0.45521976491950644,0.48054064459950674
0.45,900,product,main,boundary_v2_regime_sequence,viable_propagation_index,0.7347924409138937,0.0352485878260687,0.0035248587826068696,0.7278266588508877,0.7411035502304878
0.45,900,product,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,product,main,boundary_v2_regime_sequence,singleton_fraction,0.2593488886279089,0.035254335753445006,0.0035254335753445005,0.2527406182069436,0.26670421722796595
