kappa,split,mean_learned_labels_per_COM_fiber,median_learned_labels_per_COM_fiber,COM_fiber_split_entropy,fraction_COM_fibers_split_into_gt3_labels
predictive_kmeans_k5,train,2.8461538461538463,3.0,1.293367783939772,0.38461538461538464
predictive_kmeans_k8,train,3.5384615384615383,3.0,1.6123835473968664,0.38461538461538464
predictive_kmeans_k13,train,4.461538461538462,4.0,1.8503150400423651,0.6153846153846154
predictive_kmeans_k21,train,5.6923076923076925,6.0,2.1013543791702145,0.6153846153846154
predictive_kmeans_no_COM_k8,train,3.923076923076923,4.0,1.7283948476791993,0.6153846153846154
predictive_kmeans_no_COM_k13,train,4.6923076923076925,5.0,1.8984638309483235,0.6153846153846154
predictive_kmeans_k5,validation,2.769230769230769,3.0,1.216444707016695,0.38461538461538464
predictive_kmeans_k8,validation,3.4615384615384617,3.0,1.5372081686661037,0.38461538461538464
predictive_kmeans_k13,validation,4.384615384615385,4.0,1.7850845087689073,0.5384615384615384
predictive_kmeans_k21,validation,5.615384615384615,6.0,2.0714280491128374,0.6153846153846154
predictive_kmeans_no_COM_k8,validation,3.769230769230769,4.0,1.6514717707561224,0.5384615384615384
predictive_kmeans_no_COM_k13,validation,4.538461538461538,4.0,1.8073542485531369,0.5384615384615384
predictive_kmeans_k5,test,2.769230769230769,2.0,1.1962112911833263,0.38461538461538464
predictive_kmeans_k8,test,3.4615384615384617,3.0,1.497625616909968,0.46153846153846156
predictive_kmeans_k13,test,4.461538461538462,4.0,1.7432136998286143,0.5384615384615384
predictive_kmeans_k21,test,5.538461538461538,5.0,1.9925053407641498,0.6153846153846154
predictive_kmeans_no_COM_k8,test,3.769230769230769,4.0,1.5916558031666181,0.5384615384615384
predictive_kmeans_no_COM_k13,test,4.615384615384615,4.0,1.7981556627260082,0.5384615384615384
