kappa,split,label,fiber_size,future_viable_mean,future_transport_depth_mean,future_viable_variance,future_path_survival_variance,future_transport_depth_variance
predictive_kmeans_k5,train,0,167448,1.0,1.0,0.0,7.330799689952983e-06,0.0
predictive_kmeans_k5,train,1,820342,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k5,train,2,2051,0.0,0.0,0.0,0.11087606847286224,0.0
predictive_kmeans_k5,train,3,538955,1.0,1.0,0.0,4.259306518594741e-10,0.0
predictive_kmeans_k5,train,4,271204,1.0,1.0,0.0,0.008436447940766811,0.0
predictive_kmeans_k8,train,0,659868,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,train,1,201025,1.0,1.0,0.0,0.00056496198521927,0.0
predictive_kmeans_k8,train,2,2051,0.0,0.0,0.0,0.11087606847286224,0.0
predictive_kmeans_k8,train,3,525464,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,train,4,217925,1.0,1.0,0.0,3.278521489846753e-07,0.0
predictive_kmeans_k8,train,5,24053,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,train,6,148257,1.0,1.0,0.0,8.054648787947372e-06,0.0
predictive_kmeans_k8,train,7,21357,1.0,1.0,0.0,0.01887947879731655,0.0
predictive_kmeans_k13,train,0,148205,1.0,1.0,0.0,3.99305372411618e-06,0.0
predictive_kmeans_k13,train,1,341346,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,train,2,108259,1.0,1.0,0.0,0.00018242002988699824,0.0
predictive_kmeans_k13,train,3,2051,0.0,0.0,0.0,0.11087606847286224,0.0
predictive_kmeans_k13,train,4,404462,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,train,5,19200,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,train,6,8498,1.0,1.0,0.0,0.012541679665446281,0.0
predictive_kmeans_k13,train,7,229760,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,train,8,21240,1.0,1.0,0.0,0.004226611461490393,0.0
predictive_kmeans_k13,train,9,4853,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,train,10,120417,1.0,1.0,0.0,5.913886411690328e-07,0.0
predictive_kmeans_k13,train,11,192207,1.0,1.0,0.0,1.1943145361570373e-09,0.0
predictive_kmeans_k13,train,12,199502,1.0,1.0,0.0,7.4940530794265214e-06,0.0
predictive_kmeans_k21,train,0,46115,1.0,1.0,0.0,3.3567132049938664e-05,0.0
predictive_kmeans_k21,train,1,283044,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,2,79734,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,3,68028,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,4,1599,0.0,0.0,0.0,0.010200092568993568,0.0
predictive_kmeans_k21,train,5,102170,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,6,64348,1.0,1.0,0.0,0.0004934753524139524,0.0
predictive_kmeans_k21,train,7,7420,1.0,1.0,0.0,0.011678773909807205,0.0
predictive_kmeans_k21,train,8,19200,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,9,118167,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,10,177968,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,11,187447,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,12,45431,1.0,1.0,0.0,4.3613107436613063e-07,0.0
predictive_kmeans_k21,train,13,4853,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,14,19323,1.0,1.0,0.0,0.0042188093066215515,0.0
predictive_kmeans_k21,train,15,452,0.0,0.0,0.0,0.029377609491348267,0.0
predictive_kmeans_k21,train,16,200006,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,17,106300,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k21,train,18,73294,1.0,1.0,0.0,0.00010241656855214387,0.0
predictive_kmeans_k21,train,19,58717,1.0,1.0,0.0,8.817289085527591e-07,0.0
predictive_kmeans_k21,train,20,136384,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,train,0,2051,0.0,0.0,0.0,0.11087606847286224,0.0
predictive_kmeans_no_COM_k8,train,1,587420,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,train,2,158839,1.0,1.0,0.0,0.0008375869365409017,0.0
predictive_kmeans_no_COM_k8,train,3,531153,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,train,4,148311,1.0,1.0,0.0,1.4767982065677643e-05,0.0
predictive_kmeans_no_COM_k8,train,5,24053,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k8,train,6,20144,1.0,1.0,0.0,0.018404245376586914,0.0
predictive_kmeans_no_COM_k8,train,7,328029,1.0,1.0,0.0,6.998084334242094e-10,0.0
predictive_kmeans_no_COM_k13,train,0,24053,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,train,1,351212,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,train,2,124450,1.0,1.0,0.0,6.11598661635071e-05,0.0
predictive_kmeans_no_COM_k13,train,3,186806,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,train,4,20245,1.0,1.0,0.0,0.004190374165773392,0.0
predictive_kmeans_no_COM_k13,train,5,2051,0.0,0.0,0.0,0.11087606847286224,0.0
predictive_kmeans_no_COM_k13,train,6,148206,1.0,1.0,0.0,4.707162588601932e-06,0.0
predictive_kmeans_no_COM_k13,train,7,210826,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,train,8,109643,1.0,1.0,0.0,2.2408249833461014e-07,0.0
predictive_kmeans_no_COM_k13,train,9,8060,1.0,1.0,0.0,0.012224974110722542,0.0
predictive_kmeans_no_COM_k13,train,10,84428,1.0,1.0,0.0,0.00026729388628154993,0.0
predictive_kmeans_no_COM_k13,train,11,181657,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_no_COM_k13,train,12,348363,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k5,validation,0,84294,1.0,1.0,0.0,5.434151717054192e-06,0.0
predictive_kmeans_k5,validation,1,385428,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k5,validation,2,970,0.0,0.0,0.0,0.10764151811599731,0.0
predictive_kmeans_k5,validation,3,269713,1.0,1.0,0.0,2.4758737282581933e-09,0.0
predictive_kmeans_k5,validation,4,123595,1.0,1.0,0.0,0.008910518139600754,0.0
predictive_kmeans_k8,validation,0,314815,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,validation,1,90527,1.0,1.0,0.0,0.0005767132970504463,0.0
predictive_kmeans_k8,validation,2,970,0.0,0.0,0.0,0.10764151811599731,0.0
predictive_kmeans_k8,validation,3,263649,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,validation,4,97303,1.0,1.0,0.0,1.8852720273798695e-08,0.0
predictive_kmeans_k8,validation,5,12659,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k8,validation,6,73791,1.0,1.0,0.0,4.948557489115046e-06,0.0
predictive_kmeans_k8,validation,7,10286,1.0,1.0,0.0,0.019003406167030334,0.0
predictive_kmeans_k13,validation,0,73773,1.0,1.0,0.0,3.127846639472409e-06,0.0
predictive_kmeans_k13,validation,1,179115,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,validation,2,49891,1.0,1.0,0.0,0.00018266128608956933,0.0
predictive_kmeans_k13,validation,3,970,0.0,0.0,0.0,0.10764151811599731,0.0
predictive_kmeans_k13,validation,4,200934,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,validation,5,10504,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,validation,6,4121,1.0,1.0,0.0,0.012469165958464146,0.0
predictive_kmeans_k13,validation,7,101906,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,validation,8,10036,1.0,1.0,0.0,0.004239219706505537,0.0
predictive_kmeans_k13,validation,9,2155,1.0,1.0,0.0,0.0,0.0
predictive_kmeans_k13,validation,10,54762,1.0,1.0,0.0,2.1303883102063992e-08,0.0
predictive_kmeans_k13,validation,11,88192,1.0,1.0,0.0,7.571777871362428e-09,0.0
