kappa,split,future_viable_to_final_variance,future_path_survival_variance,future_transport_depth_variance
predictive_kmeans_k5,train,0.0,0.02386396937072277,0.0
predictive_kmeans_k8,train,0.0,0.016291111707687378,0.0
predictive_kmeans_k13,train,0.0,0.00983375869691372,0.0
predictive_kmeans_k21,train,0.0,0.0026717172004282475,0.0
predictive_kmeans_no_COM_k8,train,0.0,0.016266584396362305,0.0
predictive_kmeans_no_COM_k13,train,0.0,0.009817292913794518,0.0
predictive_kmeans_k5,validation,0.0,0.023311492055654526,0.0
predictive_kmeans_k8,validation,0.0,0.015903325751423836,0.0
predictive_kmeans_k13,validation,0.0,0.009580143727362156,0.0
predictive_kmeans_k21,validation,0.0,0.0025914672296494246,0.0
predictive_kmeans_no_COM_k8,validation,0.0,0.01587441749870777,0.0
predictive_kmeans_no_COM_k13,validation,0.0,0.009562809020280838,0.0
predictive_kmeans_k5,test,0.0,0.02243887260556221,0.0
predictive_kmeans_k8,test,0.0,0.015215730294585228,0.0
predictive_kmeans_k13,test,0.0,0.009113067761063576,0.0
predictive_kmeans_k21,test,0.0,0.0013353246031329036,0.0
predictive_kmeans_no_COM_k8,test,0.0,0.015171937644481659,0.0
predictive_kmeans_no_COM_k13,test,0.0,0.009095054119825363,0.0
