world,T,n_sites,seed,time_reversal_asymmetry,transition_irreversibility,future_option_gradient,asymmetric_filter_selectivity
W0_null_flat,50,16,0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,1,0.0,0.0,0.0,0.0
W0_null_flat,50,16,2,0.0,0.0,0.0,0.0
W0_null_flat,50,16,3,0.0,0.0,0.0,0.0
W0_null_flat,50,16,6,0.0,0.0,0.0,0.0
W0_null_flat,50,16,4,0.0,0.0,0.0,0.0
W0_null_flat,50,16,5,0.0,0.0,0.0,0.0
W0_null_flat,50,16,7,0.0,0.0,0.0,0.0
W0_null_flat,50,16,8,0.0,0.0,0.0,0.0
W0_null_flat,50,16,9,0.0,0.0,0.0,0.0
W0_null_flat,50,16,11,0.0,0.0,0.0,0.0
W0_null_flat,50,16,10,0.0,0.0,0.0,0.0
W0_null_flat,50,16,13,0.0,0.0,0.0,0.0
W0_null_flat,50,16,12,0.0,0.0,0.0,0.0
W0_null_flat,50,16,16,0.0,0.0,0.0,0.0
W0_null_flat,50,16,15,0.0,0.0,0.0,0.0
W0_null_flat,50,16,14,0.0,0.0,0.0,0.0
W0_null_flat,50,16,17,0.0,0.0,0.0,0.0
W0_null_flat,50,16,18,0.0,0.0,0.0,0.0
W0_null_flat,50,16,19,0.0,0.0,0.0,0.0
W0_null_flat,100,16,2,0.0,0.0,0.0,0.0
W0_null_flat,100,16,0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,5,0.0,0.0,0.0,0.0
W0_null_flat,100,16,4,0.0,0.0,0.0,0.0
W0_null_flat,100,16,1,0.0,0.0,0.0,0.0
W0_null_flat,100,16,3,0.0,0.0,0.0,0.0
W0_null_flat,100,16,6,0.0,0.0,0.0,0.0
W0_null_flat,100,16,7,0.0,0.0,0.0,0.0
W0_null_flat,100,16,8,0.0,0.0,0.0,0.0
W0_null_flat,100,16,9,0.0,0.0,0.0,0.0
W0_null_flat,100,16,10,0.0,0.0,0.0,0.0
W0_null_flat,100,16,12,0.0,0.0,0.0,0.0
W0_null_flat,100,16,11,0.0,0.0,0.0,0.0
W0_null_flat,100,16,13,0.0,0.0,0.0,0.0
W0_null_flat,100,16,14,0.0,0.0,0.0,0.0
W0_null_flat,100,16,16,0.0,0.0,0.0,0.0
W0_null_flat,100,16,15,0.0,0.0,0.0,0.0
W0_null_flat,100,16,18,0.0,0.0,0.0,0.0
W0_null_flat,100,16,17,0.0,0.0,0.0,0.0
W0_null_flat,100,16,19,0.0,0.0,0.0,0.0
W1_distinction_only,50,16,0,0.0,0.0,0.0,0.0483208218208208
W1_distinction_only,50,16,4,0.0,0.0,0.0,0.048287501
W1_distinction_only,50,16,7,0.0,0.0,0.0,0.0483677437427427
W1_distinction_only,50,16,6,0.0,0.0,0.0,0.0480755765755755
W1_distinction_only,50,16,1,0.0,0.0,0.0,0.0481509514752376
W1_distinction_only,50,16,2,0.0,0.0,0.0,0.0483598059024512
W1_distinction_only,50,16,3,0.0,0.0,0.0,0.048536876
W1_distinction_only,50,16,5,0.0,0.0,0.0,0.0485346780155232
W1_distinction_only,50,16,8,0.0,0.0,0.0,0.0486054814804804
W1_distinction_only,50,16,11,0.0,0.0,0.0,0.0486837178584292
