world,T,n_sites,p_viable,nontrivial_future_classes,state_diversity,DAR_branch_score,estimator_warning
W0_null_flat,50,16,0.0,0.0,0.0,0.0,LOW_VIABILITY
W0_null_flat,100,16,0.0,0.0,0.0,0.0,LOW_VIABILITY
W10_noise_rich_control,50,16,0.028675,57.35,0.9900375,1.3716545916525504,
W10_noise_rich_control,100,16,0.0035499999999999998,7.1,0.9900062500000001,1.1638412554025996,LOW_VIABILITY
W11_collapse_attractor_control,50,16,0.0006000000000000001,1.1,0.5003,0.4762153477114479,LOW_VIABILITY
W11_collapse_attractor_control,100,16,0.0,0.0,0.5,0.0,LOW_VIABILITY
W1_distinction_only,50,16,0.999325,1967.55,1.0,15.292352055418124,
W1_distinction_only,100,16,0.998325,1967.25,1.0,15.231798971396222,
W2_asymmetry_only,50,16,0.998575,1967.25,1.0,15.20768699950963,
W2_asymmetry_only,100,16,0.99665,1962.25,0.9999750000000001,15.168693314218668,
W3_relation_only,50,16,0.988575,1925.1,0.9996625,15.076625381549922,
W3_relation_only,100,16,0.97855,1905.2,0.99975,14.89717220640687,
W4_distinction_asymmetry,50,16,0.9983000000000001,1966.0,0.9999874999999999,15.202655453237123,
W4_distinction_asymmetry,100,16,0.9969250000000001,1960.3,0.9999874999999999,15.171228969947535,
W5_distinction_relation,50,16,0.98905,1928.55,0.9998374999999999,15.08548709470937,
W5_distinction_relation,100,16,0.9788500000000001,1910.55,0.9997250000000001,14.905100992775553,
W6_asymmetry_relation,50,16,0.9967500000000001,1963.8,0.9999874999999999,15.17644194291319,
W6_asymmetry_relation,100,16,0.9946250000000001,1956.7,0.9999499999999999,15.134852925414785,
W7_full_DAR,50,16,0.9498749999999999,1899.75,0.9749062500000001,18.832502378818994,
W7_full_DAR,100,16,0.9001250000000001,1800.25,0.97530625,17.796351417583875,
W8_full_random_relation_control,50,16,0.9112500000000001,1822.5,0.9675437499999999,18.11422824626249,
W8_full_random_relation_control,100,16,0.827525,1655.05,0.9676,16.374496338131557,
W9_full_symmetric_control,50,16,0.9201,1840.15,0.9528812500000001,17.589928527810407,
W9_full_symmetric_control,100,16,0.838525,1677.05,0.9515125,15.925488757236135,
