world,T,n_sites,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
W0_null_flat,50,16,0,0.0,0.0,1.0,1.0
W0_null_flat,50,16,1,0.0,0.0,1.0,1.0
W0_null_flat,50,16,2,0.0,0.0,1.0,1.0
W0_null_flat,50,16,3,0.0,0.0,1.0,1.0
W0_null_flat,50,16,6,0.0,0.0,1.0,1.0
W0_null_flat,50,16,4,0.0,0.0,1.0,1.0
W0_null_flat,50,16,5,0.0,0.0,1.0,1.0
W0_null_flat,50,16,7,0.0,0.0,1.0,1.0
W0_null_flat,50,16,8,0.0,0.0,1.0,1.0
W0_null_flat,50,16,9,0.0,0.0,1.0,1.0
W0_null_flat,50,16,11,0.0,0.0,1.0,1.0
W0_null_flat,50,16,10,0.0,0.0,1.0,1.0
W0_null_flat,50,16,13,0.0,0.0,1.0,1.0
W0_null_flat,50,16,12,0.0,0.0,1.0,1.0
W0_null_flat,50,16,16,0.0,0.0,1.0,1.0
W0_null_flat,50,16,15,0.0,0.0,1.0,1.0
W0_null_flat,50,16,14,0.0,0.0,1.0,1.0
W0_null_flat,50,16,17,0.0,0.0,1.0,1.0
W0_null_flat,50,16,18,0.0,0.0,1.0,1.0
W0_null_flat,50,16,19,0.0,0.0,1.0,1.0
W0_null_flat,100,16,2,0.0,0.0,1.0,1.0
W0_null_flat,100,16,0,0.0,0.0,1.0,1.0
W0_null_flat,100,16,5,0.0,0.0,1.0,1.0
W0_null_flat,100,16,4,0.0,0.0,1.0,1.0
W0_null_flat,100,16,1,0.0,0.0,1.0,1.0
W0_null_flat,100,16,3,0.0,0.0,1.0,1.0
W0_null_flat,100,16,6,0.0,0.0,1.0,1.0
W0_null_flat,100,16,7,0.0,0.0,1.0,1.0
W0_null_flat,100,16,8,0.0,0.0,1.0,1.0
W0_null_flat,100,16,9,0.0,0.0,1.0,1.0
W0_null_flat,100,16,10,0.0,0.0,1.0,1.0
W0_null_flat,100,16,12,0.0,0.0,1.0,1.0
W0_null_flat,100,16,11,0.0,0.0,1.0,1.0
W0_null_flat,100,16,13,0.0,0.0,1.0,1.0
W0_null_flat,100,16,14,0.0,0.0,1.0,1.0
W0_null_flat,100,16,16,0.0,0.0,1.0,1.0
W0_null_flat,100,16,15,0.0,0.0,1.0,1.0
W0_null_flat,100,16,18,0.0,0.0,1.0,1.0
W0_null_flat,100,16,17,0.0,0.0,1.0,1.0
W0_null_flat,100,16,19,0.0,0.0,1.0,1.0
W1_distinction_only,50,16,0,0.5923454704704705,1.2791525881986985,0.0,0.4076545295295295
W1_distinction_only,50,16,4,0.5927487499999999,1.2790159854653391,0.0,0.40725125
W1_distinction_only,50,16,7,0.590147022022022,1.2793552875530716,0.0,0.409852977977978
W1_distinction_only,50,16,6,0.5926138638638639,1.278082584893685,0.0,0.407386136136136
W1_distinction_only,50,16,1,0.5930771635817909,1.2783948650964232,0.0,0.4069228364182091
W1_distinction_only,50,16,2,0.592700100050025,1.2793059140942942,0.0,0.4072998999499749
W1_distinction_only,50,16,3,0.5940656249999999,1.280100133115177,0.0,0.405934375
W1_distinction_only,50,16,5,0.5921964196294441,1.280079648951544,0.0,0.4078035803705558
W1_distinction_only,50,16,8,0.5908402152152152,1.280378109904848,0.0,0.4091597847847847
W1_distinction_only,50,16,11,0.5920416458229114,1.280711086473021,0.0,0.4079583541770886
W1_distinction_only,50,16,10,0.5927315973960942,1.2802509286724817,0.0,0.4072684026039058
W1_distinction_only,50,16,14,0.588585,1.2791773053964288,0.0,0.411415
