world,T,seed,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta
W0_null_flat,50,0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,1,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,2,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,3,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,4,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,5,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,6,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,7,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,8,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,9,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,11,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,12,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,10,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,13,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,14,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,15,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,18,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,17,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,21,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,23,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,20,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,24,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,22,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,19,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,25,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,26,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,27,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,29,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,28,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,1,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,4,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,2,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,5,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,3,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,7,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,6,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,9,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,11,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,10,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,12,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,13,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,8,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,15,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,14,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,19,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,18,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,17,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,21,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,20,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,22,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,23,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,24,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,25,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,27,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,26,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,29,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,28,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,10,0.9515166054739652,0.9515166054739652,0.9515166054739652,0.0,0.0
W1_distinction_only,50,0,0.9515307910547396,0.9515307910547396,0.9515307910547396,0.0,0.0
W1_distinction_only,50,2,0.9516239993328888,0.9516239993328888,0.9516239993328888,0.0,0.0
W1_distinction_only,50,6,0.9514424682698732,0.9514424682698732,0.9514424682698732,0.0,0.0
W1_distinction_only,50,4,0.951441505340454,0.951441505340454,0.951441505340454,0.0,0.0
W1_distinction_only,50,5,0.9514701467645096,0.9514701467645096,0.9514701467645096,0.0,0.0
W1_distinction_only,50,3,0.9516005843071786,0.9516005843071786,0.9516005843071786,0.0,0.0
W1_distinction_only,50,9,0.9517005668556188,0.9517005668556188,0.9517005668556188,0.0,0.0
W1_distinction_only,50,11,0.9515594761428094,0.9515594761428094,0.9515594761428094,0.0,0.0
W1_distinction_only,50,1,0.9513521855188524,0.9513521855188524,0.9513521855188524,0.0,0.0
W1_distinction_only,50,8,0.9514729909969992,0.9514729909969992,0.9514729909969992,0.0,0.0
W1_distinction_only,50,13,0.9513676568758344,0.9513676568758344,0.9513676568758344,0.0,0.0
W1_distinction_only,50,7,0.9515781354236156,0.9515781354236156,0.9515781354236156,0.0,0.0
W1_distinction_only,50,17,0.9515923115410274,0.9515923115410274,0.9515923115410274,0.0,0.0
W1_distinction_only,50,14,0.9514209472981988,0.9514209472981988,0.9514209472981988,0.0,0.0
W1_distinction_only,50,15,0.9516986324216146,0.9516986324216146,0.9516986324216146,0.0,0.0
W1_distinction_only,50,12,0.9517789263087696,0.9517789263087696,0.9517789263087696,0.0,0.0
W1_distinction_only,50,16,0.9515721907302434,0.9515721907302434,0.9515721907302434,0.0,0.0
W1_distinction_only,50,19,0.9517460781041388,0.9517460781041388,0.9517460781041388,0.0,0.0
W1_distinction_only,50,24,0.9516725058391724,0.9516725058391724,0.9516725058391724,0.0,0.0
W1_distinction_only,50,18,0.9514536048064084,0.9514536048064084,0.9514536048064084,0.0,0.0
W1_distinction_only,50,23,0.9512883461153716,0.9512883461153716,0.9512883461153716,0.0,0.0
W1_distinction_only,50,27,0.9517136894824708,0.9517136894824708,0.9517136894824708,0.0,0.0
W1_distinction_only,50,20,0.951531948615282,0.951531948615282,0.951531948615282,0.0,0.0
W1_distinction_only,50,28,0.951658044058745,0.951658044058745,0.951658044058745,0.0,0.0
W1_distinction_only,50,22,0.951698247078464,0.951698247078464,0.951698247078464,0.0,0.0
W1_distinction_only,50,26,0.951675700466978,0.951675700466978,0.951675700466978,0.0,0.0
