world,T,seed,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence
W0_null_flat,50,0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,1,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,2,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,3,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,4,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,5,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,6,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,7,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,8,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,9,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,11,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,12,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,10,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,13,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,14,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,15,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,18,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,17,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,21,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,23,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,20,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,24,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,22,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,19,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,25,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,26,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,27,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,29,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,28,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,1,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,4,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,2,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,5,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,3,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,7,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,6,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,9,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,11,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,10,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,12,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,13,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,8,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,15,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,14,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,19,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,18,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,17,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,21,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,20,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,22,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,23,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,24,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,25,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,27,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,26,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,29,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,28,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,10,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,0,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,2,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,6,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,4,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,5,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,3,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,9,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,11,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,1,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,8,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,13,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,7,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,17,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,14,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,15,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,12,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,16,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,19,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,24,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,18,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,23,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,27,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,20,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,28,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,22,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,26,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,21,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,25,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,29,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,4,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,1,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,0,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,2,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,5,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,3,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,12,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,6,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,9,0.0,0.0,0.0,0.0,0.0
