world,q,T,seed,p_viable,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta,relation_lineage_survival_depth,relation_lineage_branching_entropy,relation_lineage_extinction_rate,relation_lineage_merge_rate,relation_lineage_shuffle_delta,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in,viable_slack_score
W18_relation_lock_in,4.0,75.0,14.5,0.6630777777777778,0.188359058862157,0.031135266591369365,0.007074820428324699,0.7110609014940079,0.05720088285457492,0.9060853153720508,0.9796040784108916,0.910730526213152,0.07351876303884078,0.0688735521977396,0.9794241097302601,2.150938599312475,0.0205758902697399,0.0,0.631896453026244,0.9670654334430961,0.0,240.25,0.9999279983590018,0.010899443507787092,0.9564513098794118,2.0619498546619868
W1_distinction_only,2.0,75.0,14.5,0.9986333333333333,0.0,0.0,0.0,0.0,0.0,0.9515908072063095,0.9515908072063095,0.9515908072063095,0.0,0.0,0.9515908072063095,1.2795546789074037,0.04840919279369042,0.0,0.4237052809555706,0.5212176251583698,0.060997988939165394,2929.7833333333333,0.9999764218649347,0.0008622946634293,0.520756745463661,1.4723475526699707
W2_asymmetry_only,2.0,75.0,14.5,0.9977055555555555,0.0,0.0,0.0,0.0,0.0,0.8151870633486273,0.8151870633486273,0.8151870633486273,0.0,0.0,0.8151870633486273,1.6904478760150758,0.18481293665137272,0.0,0.2956559426863999,0.500157875794022,0.04264705882352939,2927.616666666667,0.9999831083940698,0.0009076337435550965,0.49969545965319573,1.3148825230018228
W3_relation_only,2.0,75.0,14.5,0.9830888888888889,0.0,0.0,0.0,0.0,0.0,0.926201741059191,0.926201741059191,0.926201741059191,0.0,0.0,0.6042096814703379,1.9678715817003716,0.39579031852966207,0.0,0.06478253361718835,0.5037071214142161,0.04682001005530416,2840.383333333333,0.9999730670340785,0.00107383065080729,0.5031526921398514,1.1073623736101892
W9_full_symmetric_control,4.0,75.0,14.5,0.8808388888888888,0.0,0.0,0.0,0.0,0.0,0.9105570500481384,0.9105570500481384,0.9105570500481384,0.0,0.0,0.4914680065274206,3.7785159765133276,0.5085319934725794,0.0,0.1710880771739362,0.2960218873209985,0.0,2642.4333333333334,0.9999542743381999,0.00041100615050920666,0.2958874944060955,0.7873555009335163
W12_stable_relation_weak_asymmetry,4.0,75.0,14.5,0.8608388888888888,0.0,0.0,0.0,0.0,0.0,0.8528280800174657,0.8528280800174657,0.8528280800174657,0.0,0.0,0.48756403728574554,3.7712327980179827,0.5124359627142545,0.0,0.1727846544217766,0.2579964154311454,0.0,2582.4833333333336,0.9999583401670211,0.00040211631822825,0.2578822036256405,0.745446240911386
W13_stable_relation_strong_asymmetry,4.0,75.0,14.5,0.9234722222222222,0.0,0.0,0.0,0.0,0.0,0.7383769933056072,0.7383769933056072,0.7383769933056072,0.0,0.0,0.4264283426899982,3.8079152290565172,0.5735716573100018,0.0,0.12834833606943488,0.24974750390089323,0.0,2770.416666666667,0.9999671131454062,0.00036125559105490163,0.2496490725864473,0.6760774152764455
W7_full_DAR,4.0,75.0,14.5,0.9244444444444444,0.0,0.0,0.0,0.0,0.0,0.7383723269506639,0.7383723269506639,0.7383723269506639,0.0,0.0,0.42645264541825945,3.8078985860666856,0.5735473545817406,0.0,0.12838176042425029,0.24947095573924938,0.0,2773.333333333333,0.9999674238688891,0.0003608552891904517,0.24937280895511021,0.6758254543733697
W16_fixed_but_permuted_relation,4.0,75.0,14.5,0.9240277777777778,0.0,0.0,0.0,0.0,0.0,0.7387088105250128,0.7387088105250128,0.7387088105250128,0.0,0.0,0.4250869378497919,3.8059434900947076,0.5749130621502081,0.0,0.12675019143824762,0.24981482596257543,0.0,2772.083333333333,0.9999725030245554,0.00036102358283377335,0.24971777447285504,0.674804712322647
W14_random_stepwise_relation_weak_asymmetry,4.0,75.0,14.5,0.7881055555555556,0.0,0.0,0.0,0.0,0.0,0.8378539219474679,0.8378539219474679,0.8378539219474679,0.0,0.0,0.4008773000195632,3.9107995324106355,0.5991226999804368,0.0,0.07238624450571951,0.25227534995128276,0.0,2364.2833333333338,0.9999374636370777,0.0004404397775929933,0.25214852774909974,0.6530258277686629
