point_id,rho_relation_persistence,alpha_asymmetry_strength,lambda_constraint_pressure,T,is_control,control,seed,p_viable,survival_depth,collapse_rate,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess,closure_rate,lineage_recurrence_rate,cycle_or_return_rate,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index,classification
collapse_attractor_control,1.0,1.0,1.0,50,True,collapse_attractor_control,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,underconstrained
collapse_attractor_control,1.0,1.0,1.0,100,True,collapse_attractor_control,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,underconstrained
independent_sites_control,0.0,0.5,0.5,50,True,independent_sites_control,14.5,0.9962444444444445,0.9962444444444445,0.0,0.24997319631304146,1.9999527165769506,0.0,0.7500268036869585,0.8026358489474134,0.8026358489474134,0.8026358489474134,0.0,0.2388514896512925,0.245625966434936,0.245625966434936,2988.733333333333,0.9999770954442817,0.0,0.5526358489474134,0.0003345902239746833,1.0,2.290455571823576e-05,9.249563809226171e-06,mixed_or_inconclusive
independent_sites_control,0.0,0.5,0.5,100,True,independent_sites_control,14.5,0.9917666666666667,0.9917666666666667,0.0,0.25018205181804276,1.9999551259458397,0.0,0.7498179481819572,0.8022535977504168,0.8022535977504168,0.8022535977504168,0.0,0.25019886427850235,0.2502579749386124,0.2502579749386124,2975.3,0.9999814973477705,0.0,0.5522535977504167,0.00033610136172250335,1.0,1.8502652229468453e-05,9.284093025422041e-06,mixed_or_inconclusive
noise_rich_control,0.0,0.0,0.0,50,True,noise_rich_control,14.5,1.0,1.0,0.0,0.24982986111111108,1.9999541690432896,0.0,0.7501701388888888,0.2688580972222222,0.2688580972222222,0.2867269583333333,-0.01786886111111104,0.24960694444444442,0.2500150641025641,0.2500150641025641,3000.0,0.9999770431390846,0.0,0.01885809722222218,0.0003333333333333,1.0,2.2956860915372227e-05,3.144458766382605e-07,mixed_or_inconclusive
noise_rich_control,0.0,0.0,0.0,100,True,noise_rich_control,14.5,1.0,1.0,0.0,0.24975624999999996,1.9999534739548865,0.0,0.75024375,0.2688736388888889,0.2688736388888889,0.28682888888888886,-0.017955249999999957,0.2499770833333333,0.2499722630718954,0.2499722630718954,3000.0,0.9999819968342221,0.0,0.01887363888888884,0.0003333333333333,1.0,1.800316577792449e-05,3.1467379621856897e-07,mixed_or_inconclusive
random_stepwise_relation_control,0.0,0.5,0.5,50,True,random_stepwise_relation_control,14.5,0.9335,0.9335,2.2222222222213336e-05,0.24980674739466271,1.9999296793644612,0.0,0.7501932526053372,0.701086839236772,0.701086839236772,0.701086839236772,0.0,0.24805181893223077,0.24956173964405665,0.24956173964405665,2800.5,0.9999745095356114,0.0,0.45108683923677184,0.0003570895439020866,0.08183333333333334,2.5490464388659242e-05,6.631244277095578e-07,mixed_or_inconclusive
random_stepwise_relation_control,0.0,0.5,0.5,100,True,random_stepwise_relation_control,14.5,0.8688111111111111,0.8688111111111111,2.2222222222213336e-05,0.2495682630717148,1.9999276429069661,0.0,0.7504317369282851,0.7016086193120902,0.7016086193120902,0.7016086193120902,0.0,0.24989107708646233,0.25010055223284655,0.25010055223284655,2606.4333333333334,0.999960595600246,0.0,0.4516086193120902,0.00038368421086523664,0.073375,3.940439975411523e-05,6.425236777222652e-07,mixed_or_inconclusive
relation_lock_in_control,1.0,1.0,1.0,50,True,relation_lock_in_control,14.5,0.9853000000000001,0.9853000000000001,1.1111111111106668e-05,0.32700392678828905,1.9999416094180613,0.0,0.672996073211711,0.6079049417428585,0.5666709453176119,0.5695921036156191,0.03831283812723923,0.47480338915470843,0.317502847608547,0.317502847608547,2955.9,0.9999670531054156,0.0,0.3579049417428583,0.00033830892020171333,1.0,3.294689458434233e-05,6.058100504857527e-06,viable_slack_candidate
relation_lock_in_control,1.0,1.0,1.0,100,True,relation_lock_in_control,14.5,0.9662222222222223,0.9662222222222223,0.0,0.24454898862092775,1.9999324259289426,0.0,0.7554510113790722,0.5930522913166468,0.5678349052475088,0.5695893657543932,0.023462925562253482,0.3290731711079356,0.26312219113480834,0.26312219113480834,2898.633333333333,0.9999692839115194,0.0,0.3430522913166467,0.00035648651202882335,1.0,3.071608848057899e-05,6.117674606035747e-06,viable_slack_candidate
