point_id,rho_relation_persistence,alpha_asymmetry_strength,lambda_constraint_pressure,T,is_control,control,seed,p_viable,survival_depth,collapse_rate,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess,closure_rate,lineage_recurrence_rate,cycle_or_return_rate,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index,classification
collapse_attractor_control,1.0,1.0,1.0,50,True,collapse_attractor_control,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,underconstrained
collapse_attractor_control,1.0,1.0,1.0,100,True,collapse_attractor_control,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,underconstrained
independent_sites_control,0.0,0.5,0.5,50,True,independent_sites_control,14.5,0.9962444444444445,0.9962444444444445,0.0,0.24997319631304146,1.9999527165769506,0.0,0.7500268036869585,0.8026358489474134,0.8026358489474134,0.8026358489474134,0.0,0.2388514896512925,0.245625966434936,0.245625966434936,2988.733333333333,0.9999770954442817,0.0,0.5526358489474134,0.0003345902239746833,1.0,2.290455571823576e-05,9.249563809226171e-06,mixed_or_inconclusive
independent_sites_control,0.0,0.5,0.5,100,True,independent_sites_control,14.5,0.9917666666666667,0.9917666666666667,0.0,0.25018205181804276,1.9999551259458397,0.0,0.7498179481819572,0.8022535977504168,0.8022535977504168,0.8022535977504168,0.0,0.25019886427850235,0.2502579749386124,0.2502579749386124,2975.3,0.9999814973477705,0.0,0.5522535977504167,0.00033610136172250335,1.0,1.8502652229468453e-05,9.284093025422041e-06,mixed_or_inconclusive
noise_rich_control,0.0,0.0,0.0,50,True,noise_rich_control,14.5,1.0,1.0,0.0,0.24982986111111108,1.9999541690432896,0.0,0.7501701388888888,0.2688580972222222,0.2688580972222222,0.2867269583333333,-0.01786886111111104,0.24960694444444442,0.2500150641025641,0.2500150641025641,3000.0,0.9999770431390846,0.0,0.01885809722222218,0.0003333333333333,1.0,2.2956860915372227e-05,3.144458766382605e-07,mixed_or_inconclusive
noise_rich_control,0.0,0.0,0.0,100,True,noise_rich_control,14.5,1.0,1.0,0.0,0.24975624999999996,1.9999534739548865,0.0,0.75024375,0.2688736388888889,0.2688736388888889,0.28682888888888886,-0.017955249999999957,0.2499770833333333,0.2499722630718954,0.2499722630718954,3000.0,0.9999819968342221,0.0,0.01887363888888884,0.0003333333333333,1.0,1.800316577792449e-05,3.1467379621856897e-07,mixed_or_inconclusive
phase_000,0.0,0.0,0.0,50,False,,14.5,0.9651444444444445,0.9651444444444445,0.0,0.2507575258190634,1.9999421710304406,0.0,0.7492424741809366,0.6673591940559249,0.6673591940559249,0.6673591940559249,0.0,0.2500314497746651,0.2503442652724125,0.2503442652724125,2895.4333333333334,0.9999666610401544,0.0,0.417359194055925,0.0003453753507197867,0.08349999999999999,3.333895984563355e-05,6.066417974109093e-07,mixed_or_inconclusive
phase_000,0.0,0.0,0.0,100,False,,14.5,0.928911111111111,0.928911111111111,0.0,0.2500085925497207,1.999935570194985,0.0,0.7499914074502793,0.6674820516017265,0.6674820516017265,0.6674820516017265,0.0,0.24973211692958627,0.24999336330596542,0.24999336330596542,2786.733333333333,0.9999684553932325,0.0,0.4174820516017264,0.0003588485107065366,0.07195833333333333,3.1544606767527513e-05,5.437235637787421e-07,mixed_or_inconclusive
phase_001,0.0,0.5,0.5,50,False,,14.5,0.9343333333333333,0.9343333333333333,1.1111111111106668e-05,0.2500299729603312,1.9999269068147727,0.0,0.7499700270396688,0.7013589529902059,0.7013589529902059,0.7013589529902059,0.0,0.24874181974333803,0.24982639804301718,0.24982639804301718,2803.0,0.9999679376794184,0.0,0.4513589529902058,0.00035676839691235334,0.08216666666666667,3.206232058161248e-05,6.667866989571686e-07,mixed_or_inconclusive
phase_001,0.0,0.5,0.5,100,False,,14.5,0.8687444444444445,0.8687444444444445,2.2222222222213336e-05,0.250746646956524,1.9999241142227826,0.0,0.7492533530434761,0.7014386669101381,0.7014386669101381,0.7014386669101381,0.0,0.249627108229098,0.24992522606555442,0.24992522606555442,2606.233333333333,0.9999600145176178,0.0,0.4514386669101381,0.0003837113217033733,0.07283333333333333,3.9985482382061864e-05,6.37775444369272e-07,mixed_or_inconclusive
