target,T,asymmetric_slack_delta,asymmetric_relation_lineage_delta,transition_directionality_score,symmetrized_future_distinct_ratio,symmetrized_relation_score
collapse_attractor_control,50,0.0,0.0,0.0,0.0,0.0
collapse_attractor_control,100,0.0,0.0,0.0,0.0,0.0
da1_extreme_best,50,-0.012720208368335754,-0.06288654639352792,0.018911031583080388,0.9572674029698591,0.6114179123916299
da1_extreme_best,100,-0.01690782714424005,-0.06601066696059066,0.020606204426846415,0.9567625382559382,0.5961178826042651
independent_sites_control,50,-0.004559140294107438,-0.049934136784879145,0.08113230498520695,0.9232554281972775,0.8525650629099853
independent_sites_control,100,-0.000977247050764553,-0.05006917472911293,0.08096278943033947,0.9202112325506759,0.8522569323507273
middle_r050_a050_l050,50,-0.009109106458160397,-0.026579713900581035,0.04666810727784584,0.9780800415993239,0.5567623697981803
middle_r050_a050_l050,100,-0.009801092549145893,-0.026645054631928847,0.04673167253452065,0.9848418883459493,0.5570196409539722
middle_r075_a050_l050,50,-0.008438924687062558,-0.02645005152561345,0.03371236328086281,0.9823228422352871,0.48928466566332207
middle_r075_a050_l050,100,-0.010236360480856828,-0.030161744787947007,0.03401272368808738,0.9896230354375668,0.49065443706704087
middle_r075_a075_l050,50,-0.011845692735936855,-0.03807150518265626,0.050320940320989986,0.9823228422352871,0.48928466566332207
middle_r075_a075_l050,100,-0.013067333694316062,-0.040828337047028096,0.05033572417904195,0.9896230354375668,0.49065443706704087
noise_rich_control,50,0.000427999999999986,3.405499999999306e-05,-3.1175000000002343e-05,0.918412,0.279361105
noise_rich_control,100,-8.834566913383594e-05,-1.1984999999994441e-05,-7.969999999993573e-06,0.918996,0.279390855
optional_r075_a050_l100,50,-0.0006686723387257721,-0.0067659484751322685,0.01046958216941595,0.9974986116106844,0.5633862589567128
optional_r075_a050_l100,100,-0.000436371310666232,-0.07658462975393113,0.01030990808426893,1.0,0.6731358032731509
optional_r075_a100_l050,50,-0.013337249302049634,-0.04603619563284264,0.06659574034082447,0.9823228422352871,0.48928466566332207
optional_r075_a100_l050,100,-0.015783907983816462,-0.05051998277996694,0.06672043667405816,0.9896230354375668,0.49065443706704087
optional_r100_a050_l050,50,-0.008807079789432673,-0.037045779180955626,0.023467816148130715,0.9321870918485022,0.4460262692859755
optional_r100_a050_l050,100,-0.0036398435321697725,-0.034538468662220476,0.024121607817720235,0.927886935766261,0.42990083426192655
random_stepwise_relation_control,50,-0.010634382487607263,-0.03581432103992368,0.07759877053717693,0.9655805594710042,0.737300983727323
random_stepwise_relation_control,100,-0.010574854372074994,-0.03600555109827597,0.07763501464727142,0.9696650982933944,0.7375234483223693
relation_lock_in_control,50,-0.0073471877976794,-0.05204513647036982,0.01321023226671585,0.9625796551985195,0.6579588267042386
relation_lock_in_control,100,-0.013516717801025813,-0.058788550613657814,0.01468666157751148,0.9663128987894685,0.6492581147516754
symmetric_transition_control,50,5.212612178515793e-05,-0.001418757678988928,-4.849109699275936e-06,0.9823228422352871,0.48928466566332207
symmetric_transition_control,100,-0.0011369643135288165,-0.0032069235428625596,1.3232868230595862e-05,0.9896230354375668,0.49065443706704087
