target,T,classification,future_distinct_ratio,relation_slack_excess,asymmetric_slack_delta,dynamic_lock_in_index
collapse_attractor_control,50,underconstrained,0.0,0.0,0.0,1.0
collapse_attractor_control,100,underconstrained,0.0,0.0,0.0,1.0
independent_sites_control,50,apparent_slack,0.9186962879031699,0.0,-0.004559140294107438,1.239187286260309e-08
independent_sites_control,100,apparent_slack,0.9192339854999113,0.0,-0.000977247050764553,0.0
noise_rich_control,50,apparent_slack,0.91884,0.00093303499999995,0.000427999999999986,0.0
noise_rich_control,100,apparent_slack,0.9189076543308662,0.00090807999999995,-8.834566913383594e-05,0.0
random_stepwise_relation_control,50,apparent_slack,0.9549461769833968,0.0,-0.010634382487607263,0.0
random_stepwise_relation_control,100,apparent_slack,0.9590902439213194,0.0,-0.010574854372074994,0.0
relation_lock_in_control,50,apparent_slack,0.9552324674008402,0.03682564234766254,-0.0073471877976794,6.919796954314723e-09
relation_lock_in_control,100,apparent_slack,0.9527961809884425,0.021391050683459784,-0.013516717801025813,8.186507117804834e-09
symmetric_transition_control,50,apparent_slack,0.9823749683570724,0.006056992965017308,5.212612178515793e-05,0.0
symmetric_transition_control,100,apparent_slack,0.988486071124038,0.005438626848885127,-0.0011369643135288165,2.04523107177975e-09
