target,rho_relation_persistence,alpha_asymmetry_strength,lambda_constraint_pressure,target_kind,control
da1_extreme_best,1.0,1.0,1.0,extreme,
middle_r075_a050_l050,0.75,0.5,0.5,middle,
middle_r050_a050_l050,0.5,0.5,0.5,middle,
middle_r075_a075_l050,0.75,0.75,0.5,middle,
optional_r100_a050_l050,1.0,0.5,0.5,optional,
optional_r075_a100_l050,0.75,1.0,0.5,optional,
optional_r075_a050_l100,0.75,0.5,1.0,optional,
relation_lock_in_control,1.0,1.0,1.0,control,relation_lock_in_control
symmetric_transition_control,0.75,0.0,0.5,control,symmetric_transition_control
independent_sites_control,0.0,0.5,0.5,control,independent_sites_control
random_stepwise_relation_control,0.0,0.5,0.5,control,random_stepwise_relation_control
noise_rich_control,0.0,0.0,0.0,control,noise_rich_control
collapse_attractor_control,1.0,1.0,1.0,control,collapse_attractor_control
