target,T,p_viable,raw_alternative_count,future_distinct_ratio,dynamic_lock_in_index,classification,estimator_warning
collapse_attractor_control,50,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
collapse_attractor_control,100,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
da1_extreme_best,50,0.9885200000000001,4942.6,0.9445471946015234,9.748987854251006e-09,apparent_slack,
da1_extreme_best,100,0.9761679999999999,4880.84,0.939854711111698,1.503080082135524e-08,apparent_slack,
independent_sites_control,50,0.996208,4981.04,0.9186962879031699,1.239187286260309e-08,apparent_slack,
independent_sites_control,100,0.99238,4961.9,0.9192339854999113,0.0,apparent_slack,
middle_r050_a050_l050,50,0.823688,4118.44,0.9689709351411635,2.759286058851904e-09,apparent_slack,
middle_r050_a050_l050,100,0.6699160000000001,3349.58,0.9750407957968034,7.430215508944507e-09,apparent_slack,
middle_r075_a050_l050,50,0.7677240000000001,3838.58,0.9738839175482245,0.0,apparent_slack,
middle_r075_a050_l050,100,0.567816,2839.08,0.9793866749567098,0.0,apparent_slack,
middle_r075_a075_l050,50,0.799208,3995.98,0.9704771494993503,4.0050568900126396e-09,apparent_slack,
middle_r075_a075_l050,100,0.620072,3100.36,0.9765557017432507,0.0,apparent_slack,
noise_rich_control,50,1.0,5000.0,0.91884,0.0,apparent_slack,
noise_rich_control,100,1.0,4999.98,0.9189076543308662,0.0,apparent_slack,
optional_r075_a050_l100,50,0.17512,875.56,0.9968299392719585,4.692082111436946e-10,apparent_slack,
optional_r075_a050_l100,100,0.026536,132.68,0.9995636286893338,0.0,underconstrained,LOW_VIABILITY
optional_r075_a100_l050,50,0.824448,4122.22,0.9689855929332374,0.0,apparent_slack,
optional_r075_a100_l050,100,0.664096,3320.36,0.9738391274537502,0.0,apparent_slack,
optional_r100_a050_l050,50,0.993948,4969.74,0.9233800120590695,0.0,apparent_slack,
optional_r100_a050_l050,100,0.987992,4939.96,0.9242470922340913,0.0,apparent_slack,
random_stepwise_relation_control,50,0.9347280000000001,4673.64,0.9549461769833968,0.0,apparent_slack,
random_stepwise_relation_control,100,0.8685200000000001,4342.58,0.9590902439213194,0.0,apparent_slack,
relation_lock_in_control,50,0.984916,4924.56,0.9552324674008402,6.919796954314723e-09,apparent_slack,
relation_lock_in_control,100,0.9669239999999999,4834.62,0.9527961809884425,8.186507117804834e-09,apparent_slack,
symmetric_transition_control,50,0.627528,3137.54,0.9823749683570724,0.0,apparent_slack,
symmetric_transition_control,100,0.37465200000000004,1873.24,0.988486071124038,2.04523107177975e-09,apparent_slack,
