target,T,raw_alternative_count,future_distinct_alternative_count,future_distinct_ratio,future_basin_concentration,future_profile_entropy
collapse_attractor_control,50,0.0,0.0,0.0,1.0,0.0
collapse_attractor_control,100,0.0,0.0,0.0,1.0,0.0
da1_extreme_best,50,4942.6,4668.52,0.9445471946015234,0.0007728984998741941,12.157107693724578
da1_extreme_best,100,4880.84,4587.28,0.939854711111698,0.0008113824728252381,12.128854325620017
independent_sites_control,50,4981.04,4576.06,0.9186962879031699,0.0008632626340013861,12.112567300589784
independent_sites_control,100,4961.9,4561.14,0.9192339854999113,0.000890754372693754,12.108491008613601
middle_r050_a050_l050,50,4118.44,3990.62,0.9689709351411635,0.000747681174695016,11.944832038284051
middle_r050_a050_l050,100,3349.58,3265.96,0.9750407957968034,0.000878527926760056,11.658970801085033
middle_r075_a050_l050,50,3838.58,3738.16,0.9738839175482245,0.000782182180143686,11.852600371879864
middle_r075_a050_l050,100,2839.08,2780.18,0.9793866749567098,0.000972521139921462,11.426479132462386
middle_r075_a075_l050,50,3995.98,3877.76,0.9704771494993503,0.0007868418110534881,11.903405121265264
middle_r075_a075_l050,100,3100.36,3027.4,0.9765557017432507,0.0009628771149127021,11.547665829231178
noise_rich_control,50,5000.0,4594.2,0.91884,0.0009080000000000001,12.11839411643757
noise_rich_control,100,4999.98,4594.52,0.9189076543308662,0.000848,12.11851949374135
optional_r075_a050_l100,50,875.56,872.66,0.9968299392719585,0.0024199827405886583,9.71816207681296
optional_r075_a050_l100,100,132.68,132.62,0.9995636286893338,0.009314976596874384,6.93714048186125
optional_r075_a100_l050,50,4122.22,3994.16,0.9689855929332374,0.0007663454900223859,11.945523321627912
optional_r075_a100_l050,100,3320.36,3233.3,0.9738391274537502,0.000952501522699346,11.642296928424726
optional_r100_a050_l050,50,4969.74,4588.96,0.9233800120590695,0.0008491449411440839,12.119650755938064
optional_r100_a050_l050,100,4939.96,4565.74,0.9242470922340913,0.00087043117711326,12.112758621244382
random_stepwise_relation_control,50,4673.64,4463.06,0.9549461769833968,0.00076609629435176,12.097988306558015
random_stepwise_relation_control,100,4342.58,4164.92,0.9590902439213194,0.000787651019170662,12.000814223393572
relation_lock_in_control,50,4924.56,4704.1,0.9552324674008402,0.000714800240357254,12.17418404914991
relation_lock_in_control,100,4834.62,4606.4,0.9527961809884425,0.000748809017087408,12.142572218485263
symmetric_transition_control,50,3137.54,3081.84,0.9823749683570724,0.000855008626177996,11.576018640849846
symmetric_transition_control,100,1873.24,1851.32,0.988486071124038,0.001244054646218958,10.839051469849183
