target,T,relation_conditioned_score,self_only_score,independent_score,relation_slack_excess,relation_shuffle_delta
collapse_attractor_control,50,0.0,0.0,0.0,0.0,0.0
collapse_attractor_control,100,0.0,0.0,0.0,0.0,0.0
da1_extreme_best,50,0.548531365998102,0.5148534914477342,0.516928191760889,0.03160317423721286,0.03160317423721286
da1_extreme_best,100,0.5301072156436744,0.5109780843084613,0.512159415527617,0.01794780011605735,0.01794780011605735
independent_sites_control,50,0.8026309261251062,0.8026309261251062,0.8026309261251062,0.0,0.0
independent_sites_control,100,0.8021877576216143,0.8021877576216143,0.8021877576216143,0.0,0.0
middle_r050_a050_l050,50,0.5301826558975992,0.529274549559247,0.5294163394604596,0.0007663164371395599,0.0007663164371395599
middle_r050_a050_l050,100,0.5303745863220432,0.5298468001018705,0.5299193077849086,0.00045527853713463927,0.00045527853713463927
middle_r075_a050_l050,50,0.4628346141377086,0.4562106459489732,0.45716954479294414,0.0056650693447643586,0.0056650693447643586
middle_r075_a050_l050,100,0.4604926922790938,0.45586937119864296,0.4566309960112737,0.003861696267820054,0.003861696267820054
middle_r075_a075_l050,50,0.45121316048066573,0.44499811717157384,0.44587091630768727,0.0053422441729784765,0.0053422441729784765
middle_r075_a075_l050,100,0.4498261000200127,0.4452496501891885,0.4459450558015346,0.0038810442184780956,0.0038810442184780956
noise_rich_control,50,0.27939516,0.264622925,0.278462125,0.00093303499999995,0.00093303499999995
noise_rich_control,100,0.27937887,0.2646057475,0.27847078999999997,0.00090807999999995,0.00090807999999995
optional_r075_a050_l100,50,0.5566203104815804,0.537268501738253,0.54188782124322,0.014732489238360364,0.014732489238360364
optional_r075_a050_l100,100,0.5965511735192198,0.5363120820288211,0.5749915688326347,0.02155960468658509,0.02155960468658509
optional_r075_a100_l050,50,0.44324847003047935,0.4368709062217178,0.43775889162726545,0.005489578403213889,0.005489578403213889
optional_r075_a100_l050,100,0.4401344542870739,0.43590914381693663,0.43659725771301294,0.0035371965740608542,0.0035371965740608542
optional_r100_a050_l050,50,0.40898049010501986,0.3892363786691125,0.3905133189943065,0.0184671711107133,0.0184671711107133
optional_r100_a050_l050,100,0.39536236559970606,0.38394305612880963,0.3846831158331594,0.010679249766546599,0.010679249766546599
random_stepwise_relation_control,50,0.7014866626873993,0.7014866626873993,0.7014866626873993,0.0,0.0
random_stepwise_relation_control,100,0.7015178972240933,0.7015178972240933,0.7015178972240933,0.0,0.0
relation_lock_in_control,50,0.6059136902338687,0.5666806541091983,0.569088047886206,0.03682564234766254,0.03682564234766254
relation_lock_in_control,100,0.5904695641380175,0.5676827473619374,0.5690785134545577,0.021391050683459784,0.021391050683459784
symmetric_transition_control,50,0.48786590798433316,0.4806364999516759,0.4818089150193158,0.006056992965017308,0.006056992965017308
symmetric_transition_control,100,0.4874475135241783,0.48072132088034863,0.4820088866752931,0.005438626848885127,0.005438626848885127
