target,target_kind,T,p_viable,closure_rate,raw_alternative_count,future_distinct_alternative_count,future_distinct_ratio,asymmetric_slack_delta,relation_slack_excess,relation_shuffle_delta,dynamic_lock_in_index,post_perturbation_future_distinctness,classification
collapse_attractor_control,control,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,underconstrained
collapse_attractor_control,control,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,underconstrained
da1_extreme_best,extreme,50,0.9885200000000001,0.3757605712812842,4942.6,4668.52,0.9445471946015234,-0.012720208368335754,0.03160317423721286,0.03160317423721286,9.748987854251006e-09,0.9940399999999999,apparent_slack
da1_extreme_best,extreme,100,0.9761679999999999,0.25817371407680384,4880.84,4587.28,0.939854711111698,-0.01690782714424005,0.01794780011605735,0.01794780011605735,1.503080082135524e-08,0.99264,apparent_slack
independent_sites_control,control,50,0.996208,0.23853978532666187,4981.04,4576.06,0.9186962879031699,-0.004559140294107438,0.0,0.0,1.239187286260309e-08,0.99088,apparent_slack
independent_sites_control,control,100,0.99238,0.2500423627533631,4961.9,4561.14,0.9192339854999113,-0.000977247050764553,0.0,0.0,0.0,0.99008,apparent_slack
middle_r050_a050_l050,middle,50,0.823688,0.248877224031645,4118.44,3990.62,0.9689709351411635,-0.009109106458160397,0.0007663164371395599,0.0007663164371395599,2.759286058851904e-09,0.9965999999999999,apparent_slack
middle_r050_a050_l050,middle,100,0.6699160000000001,0.2494034944538214,3349.58,3265.96,0.9750407957968034,-0.009801092549145893,0.00045527853713463927,0.00045527853713463927,7.430215508944507e-09,0.9962399999999999,apparent_slack
middle_r075_a050_l050,middle,50,0.7677240000000001,0.2491967944875966,3838.58,3738.16,0.9738839175482245,-0.008438924687062558,0.0056650693447643586,0.0056650693447643586,0.0,0.9959600000000001,apparent_slack
middle_r075_a050_l050,middle,100,0.567816,0.24969975117533758,2839.08,2780.18,0.9793866749567098,-0.010236360480856828,0.003861696267820054,0.003861696267820054,0.0,0.9967199999999999,apparent_slack
middle_r075_a075_l050,middle,50,0.799208,0.2474509565905943,3995.98,3877.76,0.9704771494993503,-0.011845692735936855,0.0053422441729784765,0.0053422441729784765,4.0050568900126396e-09,0.9964799999999999,apparent_slack
middle_r075_a075_l050,middle,100,0.620072,0.24990552562018714,3100.36,3027.4,0.9765557017432507,-0.013067333694316062,0.0038810442184780956,0.0038810442184780956,0.0,0.9959600000000001,apparent_slack
noise_rich_control,control,50,1.0,0.2501005,5000.0,4594.2,0.91884,0.000427999999999986,0.00093303499999995,0.00093303499999995,0.0,0.991,apparent_slack
noise_rich_control,control,100,1.0,0.2497475,4999.98,4594.52,0.9189076543308662,-8.834566913383594e-05,0.00090807999999995,0.00090807999999995,0.0,0.9916800000000001,apparent_slack
optional_r075_a050_l100,optional,50,0.17512,0.2698262514043935,875.56,872.66,0.9968299392719585,-0.0006686723387257721,0.014732489238360364,0.014732489238360364,4.692082111436946e-10,0.9981093935557479,apparent_slack
optional_r075_a050_l100,optional,100,0.026536,0.2522215545127796,132.68,132.62,0.9995636286893338,-0.000436371310666232,0.02155960468658509,0.02155960468658509,0.0,0.9993688581493204,underconstrained
optional_r075_a100_l050,optional,50,0.824448,0.24812962759744628,4122.22,3994.16,0.9689855929332374,-0.013337249302049634,0.005489578403213889,0.005489578403213889,0.0,0.9961199999999999,apparent_slack
optional_r075_a100_l050,optional,100,0.664096,0.24981668153068678,3320.36,3233.3,0.9738391274537502,-0.015783907983816462,0.0035371965740608542,0.0035371965740608542,0.0,0.99564,apparent_slack
optional_r100_a050_l050,optional,50,0.993948,0.2501771956153883,4969.74,4588.96,0.9233800120590695,-0.008807079789432673,0.0184671711107133,0.0184671711107133,0.0,0.9916800000000001,apparent_slack
optional_r100_a050_l050,optional,100,0.987992,0.2479191177823621,4939.96,4565.74,0.9242470922340913,-0.0036398435321697725,0.010679249766546599,0.010679249766546599,0.0,0.9914400000000001,apparent_slack
random_stepwise_relation_control,control,50,0.9347280000000001,0.24897395816203682,4673.64,4463.06,0.9549461769833968,-0.010634382487607263,0.0,0.0,0.0,0.9958,apparent_slack
random_stepwise_relation_control,control,100,0.8685200000000001,0.2501466462948511,4342.58,4164.92,0.9590902439213194,-0.010574854372074994,0.0,0.0,0.0,0.99548,apparent_slack
relation_lock_in_control,control,50,0.984916,0.47524094401652234,4924.56,4704.1,0.9552324674008402,-0.0073471877976794,0.03682564234766254,0.03682564234766254,6.919796954314723e-09,0.99548,apparent_slack
relation_lock_in_control,control,100,0.9669239999999999,0.3284734706900284,4834.62,4606.4,0.9527961809884425,-0.013516717801025813,0.021391050683459784,0.021391050683459784,8.186507117804834e-09,0.99432,apparent_slack
symmetric_transition_control,control,50,0.627528,0.2573928337223777,3137.54,3081.84,0.9823749683570724,5.212612178515793e-05,0.006056992965017308,0.006056992965017308,0.0,0.9967199999999999,apparent_slack
symmetric_transition_control,control,100,0.37465200000000004,0.2504025490706478,1873.24,1851.32,0.988486071124038,-0.0011369643135288165,0.005438626848885127,0.005438626848885127,2.04523107177975e-09,0.99764,apparent_slack
