world,family,T,p_viable,order_sensitivity,history_mark_predictive_gain,history_erasure_delta,noncommutative_relation_lineage_excess,commutative_delta,random_order_delta,asymmetric_slack_delta,future_distinct_ratio,recoverable_alternative_count,dynamic_lock_in_index,classification
W0_null_flat,null,50,0.0,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W0_null_flat,null,100,0.0,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W10_noise_rich_control,noise,50,1.0,1.0,0.01447275999999995,0.04591714285714281,-0.6961859,-0.002052279267764634,-0.045660773320017556,0.000582501247263445,0.99806,4990.3,0.0,history_fakeout
W10_noise_rich_control,noise,100,1.0,1.0,0.014613187499999951,0.0463828571428571,-0.69597978,-0.0018461592677646022,-0.045454653320017524,0.000562501247263536,0.99804,4990.2,3.200000000000003e-10,history_fakeout
W11_collapse_attractor_control,collapse,50,0.0,0.8361714285714286,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W11_collapse_attractor_control,collapse,100,0.0,0.8374285714285715,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W1_distinction_only,distinction,50,0.995224,0.9999714285714286,0.0,-0.20043126822073312,-0.7353445779573837,-0.04121095722514828,-0.0848194512774012,-0.24300597364421128,0.7544715251085252,3754.34,5.8550724637681155e-08,history_fakeout
W1_distinction_only,distinction,100,0.990796,0.9998,0.0,-0.19943800609601184,-0.7353007263737905,-0.04116710564155518,-0.0847755996938081,-0.2430625092220836,0.7544149895306529,3737.36,1.3642213683134867e-07,history_fakeout
W2_relation_without_history,relation,50,0.0,0.8381142857142858,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W2_relation_without_history,relation,100,0.0,0.8358571428571429,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W3_bias_asymmetry_only,bias,50,0.0,1.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W3_bias_asymmetry_only,bias,100,0.0,1.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753,-0.9974774987527365,0.0,0.0,1.0,underconstrained
W4_commutative_relation_history,commutative,50,0.999572,1.0,0.2577439412079016,0.09581304255895759,-0.6942163222787165,-8.270154648121197e-05,-0.043691195598734134,-0.009358590671604272,0.9881189080811322,4938.48,0.0,history_fakeout
W4_commutative_relation_history,commutative,100,0.99956,1.0,0.25799772685430855,0.21706120992477027,-0.6940509191857542,8.270154648115646e-05,-0.043525792505771765,-0.00969094597515674,0.9877865527775798,4936.76,0.0,history_fakeout
W5_noncommutative_relation_history,noncommutative,50,0.9995440000000001,1.0,0.7353818513983454,0.9973187102761853,-0.6938739564492138,0.00025966428302159894,-0.04334882976923132,-0.0001587884765511527,0.9973187102761853,4984.32,0.0,history_fakeout
W5_noncommutative_relation_history,noncommutative,100,0.99954,1.0,0.7353684710574871,0.997558916938894,-0.6940506723618052,8.294837043015812e-05,-0.043525545681822764,8.141818615747809e-05,0.997558916938894,4985.5,0.0,history_fakeout
W6_noncommutative_no_relation_control,no_relation_nc,50,0.999532,1.0,0.7353460347449405,0.9884666070261358,0.0,0.6941336207322354,0.6505251266799825,-0.009010891726600745,0.9884666070261358,4940.02,0.0,history_fakeout
W6_noncommutative_no_relation_control,no_relation_nc,100,0.999552,1.0,0.7353963050646874,0.9878264163585326,0.0,0.6941336207322354,0.6505251266799825,-0.00965108239420387,0.9878264163585326,4936.92,0.0,history_fakeout
W7_reversible_history_control,reversible,50,0.961096,1.0,0.14697281967865,0.017506692155834752,-0.6289910705179271,0.06514255021430826,0.021534056162055337,2.9193403098259907e-05,0.9975066921558348,4793.5,0.0,history_fakeout
W7_reversible_history_control,reversible,100,0.923132,1.0,0.1462692744875536,0.9974483053496382,-0.6276428835200312,0.06649073721220428,0.022882243159951354,-2.9193403098259907e-05,0.9974483053496382,4603.88,0.0,history_fakeout
W8_random_order_history_control,random_order,50,0.995324,1.0,0.10540998201300285,0.11036684512275693,-0.650051599624185,0.04408202110805037,0.00047352705579745136,0.0004650206787548683,0.9979425194314914,4966.38,0.0,history_fakeout
W8_random_order_history_control,random_order,100,0.9913200000000001,1.0,0.10366820940092815,0.05402453815807837,-0.6509986537357799,0.04313496699645547,-0.00047352705579745136,0.0005048735220501976,0.9979823722747867,4946.6,0.0,history_fakeout
W9_lock_in_history_control,lock_in,50,0.995212,1.0,0.0,0.03251776825104252,-0.29606529772291845,0.39806832300931694,0.354459828957064,0.00046464248390754026,0.997942141236644,4965.82,0.0,history_fakeout
W9_lock_in_history_control,lock_in,100,0.990224,1.0,0.0,0.030453913023903344,-0.29585430064749285,0.39827932008474254,0.3546708260324896,0.0003775064932519667,0.9978550052459885,4940.5,0.0,history_fakeout
