world,T,p_viable,raw_alternative_count,future_distinct_ratio,dynamic_lock_in_index,classification,estimator_warning
W0_null_flat,50,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W0_null_flat,100,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W10_noise_rich_control,50,1.0,5000.0,0.99806,0.0,history_fakeout,
W10_noise_rich_control,100,1.0,5000.0,0.99804,3.200000000000003e-10,history_fakeout,
W11_collapse_attractor_control,50,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W11_collapse_attractor_control,100,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W1_distinction_only,50,0.995224,4976.12,0.7544715251085252,5.8550724637681155e-08,history_fakeout,
W1_distinction_only,100,0.990796,4953.98,0.7544149895306529,1.3642213683134867e-07,history_fakeout,
W2_relation_without_history,50,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W2_relation_without_history,100,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W3_bias_asymmetry_only,50,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W3_bias_asymmetry_only,100,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
W4_commutative_relation_history,50,0.999572,4997.86,0.9881189080811322,0.0,history_fakeout,
W4_commutative_relation_history,100,0.99956,4997.8,0.9877865527775798,0.0,history_fakeout,
W5_noncommutative_relation_history,50,0.9995440000000001,4997.72,0.9973187102761853,0.0,history_fakeout,
W5_noncommutative_relation_history,100,0.99954,4997.7,0.997558916938894,0.0,history_fakeout,
W6_noncommutative_no_relation_control,50,0.999532,4997.66,0.9884666070261358,0.0,history_fakeout,
W6_noncommutative_no_relation_control,100,0.999552,4997.76,0.9878264163585326,0.0,history_fakeout,
W7_reversible_history_control,50,0.961096,4805.48,0.9975066921558348,0.0,history_fakeout,
W7_reversible_history_control,100,0.923132,4615.66,0.9974483053496382,0.0,history_fakeout,
W8_random_order_history_control,50,0.995324,4976.62,0.9979425194314914,0.0,history_fakeout,
W8_random_order_history_control,100,0.9913200000000001,4956.6,0.9979823722747867,0.0,history_fakeout,
W9_lock_in_history_control,50,0.995212,4976.06,0.997942141236644,0.0,history_fakeout,
W9_lock_in_history_control,100,0.990224,4951.12,0.9978550052459885,0.0,history_fakeout,
