world,T,return_to_same_attractor_rate,attractor_concentration,branching_after_recovery,dynamic_lock_in_index
W0_null_flat,50,1.0,1.0,0.0,1.0
W0_null_flat,100,1.0,1.0,0.0,1.0
W10_noise_rich_control,50,0.0,0.00625,1.0,0.0
W10_noise_rich_control,100,0.0,0.00625,1.0,0.0
W11_collapse_attractor_control,50,1.0,1.0,0.0,1.0
W11_collapse_attractor_control,100,1.0,1.0,0.0,1.0
W1_distinction_only,50,1.0,1.0,0.0,1.0
W1_distinction_only,100,1.0,1.0,0.0,1.0
W2_no_relation,50,1.0,1.0,0.0,1.0
W2_no_relation,100,1.0,1.0,0.0,1.0
W3_local_memory_only,50,1.0,1.0,0.0,1.0
W3_local_memory_only,100,1.0,1.0,0.0,1.0
W4_relation_without_memory,50,1.0,1.0,0.0,1.0
W4_relation_without_memory,100,1.0,1.0,0.0,1.0
W5_random_stepwise_relation_memory,50,0.0,0.00625,1.0,0.0
W5_random_stepwise_relation_memory,100,0.0,0.00625,1.0,0.0
W6_commutative_edge_memory,50,0.0,0.00625,1.0,0.0
W6_commutative_edge_memory,100,0.0,0.00625,1.0,0.0
W7_reversible_edge_memory,50,0.0,0.00625,1.0,0.0
W7_reversible_edge_memory,100,0.0,0.0063750000000000005,0.9999658559881004,0.0
W8_full_relational_edge_memory,50,0.0,0.00625,1.0,0.0
W8_full_relational_edge_memory,100,0.0,0.00625,1.0,0.0
W9_edge_memory_lock_in,50,0.0,0.00625,1.0,0.0
W9_edge_memory_lock_in,100,0.0,0.00625,1.0,0.0
