world,T,p_viable,active_edge_memory_fraction,edge_memory_entropy,future_distinct_ratio,classification,estimator_warning
W0_null_flat,50,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W0_null_flat,100,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W10_noise_rich_control,50,1.0,0.7500129142156863,0.9993380870948081,0.9992759999999999,history_fakeout,
W10_noise_rich_control,100,1.0,0.7500105049504951,0.9996646606938056,0.99922,history_fakeout,
W11_collapse_attractor_control,50,0.0,0.014703171568627398,0.0664225413009569,0.0,underconstrained,LOW_VIABILITY
W11_collapse_attractor_control,100,0.0,0.007426545792079164,0.037228071621535075,0.0,underconstrained,LOW_VIABILITY
W1_distinction_only,50,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W1_distinction_only,100,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W2_no_relation,50,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W2_no_relation,100,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W3_local_memory_only,50,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W3_local_memory_only,100,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W4_relation_without_memory,50,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W4_relation_without_memory,100,0.0,0.0,0.0,0.0,underconstrained,LOW_VIABILITY
W5_random_stepwise_relation_memory,50,1.0,0.7499273333333334,0.9993464890645081,0.9993040000000001,history_fakeout,
W5_random_stepwise_relation_memory,100,1.0,0.7500074702970296,0.9996721116061603,0.999208,history_fakeout,
W6_commutative_edge_memory,50,1.0,0.7499309730392157,0.9993367636531665,0.999364,history_fakeout,
W6_commutative_edge_memory,100,1.0,0.7499715049504951,0.9996647500922277,0.99932,history_fakeout,
W7_reversible_edge_memory,50,1.0,0.41912191666666665,0.8219239513536255,0.998856,history_fakeout,
W7_reversible_edge_memory,100,1.0,0.41582070544554456,0.818878438574302,0.99882,history_fakeout,
W8_full_relational_edge_memory,50,1.0,0.7499885857843137,0.9993349693622853,0.9993519999999999,history_fakeout,
W8_full_relational_edge_memory,100,1.0,0.7500062376237624,0.9996656400747659,0.999244,history_fakeout,
W9_edge_memory_lock_in,50,0.999932,0.6924717328431373,0.9708906492381447,0.9993519527895975,history_fakeout,
W9_edge_memory_lock_in,100,0.999996,0.6848399579207921,0.9698567591612149,0.9992719967993599,underconstrained,
