rule,interaction_outcome_diversity,stable_product_rate,phase_sensitive_outcome_rate,future_distinct_interaction_products,annihilation_rate,explosion_rate,composition_positive
73,0.125,0.0,0.0,1.0,0.0,0.0,False
109,0.125,0.0,0.0,1.0,0.0,0.0,False
169,0.125,0.0,0.0,1.0,0.0,1.0,False
225,0.25,0.0,0.5,2.0,0.0,0.5,False
5,0.125,0.0,0.0,1.0,0.0,0.0,False
29,0.125,0.0,0.0,1.0,0.0,0.0,False
30,0.125,0.0,0.0,1.0,0.0,0.0,False
45,0.125,0.0,0.0,1.0,0.0,0.0,False
50,0.125,0.0,0.0,1.0,0.0,0.0,False
51,0.125,0.0,0.0,1.0,0.0,0.0,False
54,0.25,0.0,0.25,2.0,0.0,0.25,False
61,0.125,0.0,0.0,1.0,0.0,0.0,False
62,0.125,0.0,0.0,1.0,0.0,0.0,False
71,0.125,0.0,0.0,1.0,0.0,0.0,False
75,0.125,0.0,0.0,1.0,0.0,0.0,False
