space,rule_id,post_perturbation_survival_rate,return_to_same_motif_rate,transition_to_related_motif_rate,collapse_rate,explosion_rate,future_distinct_descendant_count,future_distinct_ratio,descendant_entropy,descendant_class_diversity
q3_radius1,q3r1_s7_0002,1.0,0.0,1.0,0.0,0.0,48.0,1.0,5.584962500721155,1.0
q2_radius2,q2r2_s1_0043,1.0,0.0,0.9791666666666666,0.0,0.020833333333333332,48.0,1.0,5.584962500721155,2.0
q3_radius1,q3r1_s2_0046,1.0,0.125,0.875,0.0,0.0,48.0,1.0,5.584962500721155,2.0
q3_radius1,q3r1_s4_0014,1.0,0.020833333333333332,0.9791666666666666,0.0,0.0,48.0,1.0,5.584962500721155,2.0
q3_radius1,q3r1_s5_0016,1.0,0.020833333333333332,0.9791666666666666,0.0,0.0,48.0,1.0,5.584962500721155,2.0
ECA_anchor,ECA_73,1.0,0.041666666666666664,0.9583333333333334,0.0,0.0,48.0,1.0,5.584962500721155,2.0
q2_radius2,q2r2_s1_0004,1.0,0.020833333333333332,0.9791666666666666,0.0,0.0,48.0,1.0,5.584962500721155,2.0
q3_radius1,q3r1_s1_0002,1.0,0.08333333333333333,0.8958333333333334,0.0,0.020833333333333332,48.0,1.0,5.584962500721155,3.0
ECA_anchor,ECA_109,1.0,0.0,1.0,0.0,0.0,48.0,1.0,5.584962500721155,1.0
q2_radius2,q2r2_s2_0007,1.0,0.16666666666666666,0.8333333333333334,0.0,0.0,48.0,1.0,5.584962500721155,2.0
q3_radius1,q3r1_s3_0020,1.0,0.14583333333333334,0.8541666666666666,0.0,0.0,48.0,1.0,5.584962500721155,2.0
