space,rule_id,composition_adjusted_delta,composition_emission_only_flag,dominant_interaction_outcome,reclassification
q3_radius1,q3r1_s1_0002,1.0,False,new_motif,control_adjusted_positive
q3_radius1,q3r1_s2_0046,-0.5,True,emission,emission_only
q3_radius1,q3r1_s3_0020,0.0,True,emission,generic_persistence
q3_radius1,q3r1_s3_0047,0.0,True,emission,generic_persistence
q3_radius1,q3r1_s4_0014,0.0,False,chaotic_explosion,generic_persistence
q3_radius1,q3r1_s5_0012,0.0,True,emission,output_distribution_fakeout
q3_radius1,q3r1_s5_0016,0.0,True,emission,emission_only
q3_radius1,q3r1_s7_0000,-0.5,True,emission,output_distribution_fakeout
q3_radius1,q3r1_s7_0001,-0.5,False,chaotic_explosion,symmetric_fakeout
q3_radius1,q3r1_s7_0002,0.0,False,chaotic_explosion,symmetric_fakeout
q3_radius1,q3r1_s7_0003,0.0,False,chaotic_explosion,output_distribution_fakeout
q3_radius1,q3r1_s7_0004,-0.5,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0005,-0.5,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0008,0.0,False,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0011,-0.5,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0012,0.0,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0013,0.0,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0014,-0.5,False,chaotic_explosion,output_distribution_fakeout
q3_radius1,q3r1_s7_0016,0.0,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0017,0.0,False,chaotic_explosion,symmetric_fakeout
q3_radius1,q3r1_s7_0018,0.0,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0021,0.0,False,pass_through,symmetric_fakeout
q3_radius1,q3r1_s7_0022,0.0,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0023,-0.5,True,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0024,-0.5,False,chaotic_explosion,symmetric_fakeout
q2_radius2,q2r2_s1_0004,0.0,False,chaotic_explosion,control_adjusted_positive
q2_radius2,q2r2_s1_0043,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s2_0007,0.0,True,emission,emission_only
q2_radius2,q2r2_s4_0030,0.0,True,emission,emission_only
q2_radius2,q2r2_s7_0002,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0005,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0006,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0007,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0009,0.0,True,emission,generic_persistence
q2_radius2,q2r2_s7_0010,0.0,False,chaotic_explosion,output_distribution_fakeout
q2_radius2,q2r2_s7_0011,0.0,False,chaotic_explosion,symmetric_fakeout
q2_radius2,q2r2_s7_0012,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0014,0.0,False,chaotic_explosion,generic_persistence
q2_radius2,q2r2_s7_0016,0.0,False,collapse,symmetric_fakeout
q2_radius2,q2r2_s7_0017,0.0,True,emission,output_distribution_fakeout
q2_radius2,q2r2_s7_0019,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0021,0.0,True,emission,output_distribution_fakeout
q2_radius2,q2r2_s7_0023,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s7_0024,0.0,True,emission,symmetric_fakeout
q2_radius2,q2r2_s8_0007,1.0,False,pass_through,self_persistence_fakeout
ECA_anchor,ECA_169,0.0,False,not_run_for_ECA_anchor,control_adjusted_positive
ECA_anchor,ECA_225,0.0,False,not_run_for_ECA_anchor,output_distribution_fakeout
ECA_anchor,ECA_73,0.0,False,not_run_for_ECA_anchor,control_adjusted_positive
ECA_anchor,ECA_109,0.0,False,not_run_for_ECA_anchor,control_adjusted_positive
ECA_anchor,ECA_54,0.0,False,not_run_for_ECA_anchor,control_adjusted_positive
