space,parent_rule_id,control_rule_id,control_type,q,radius,table_digest
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_center_only_projection,center_only_projection,3,1,7bb2e419cbad
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_neighbor_removed,left_neighbor_removed,3,1,e0d21290d21e
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_right_neighbor_removed,right_neighbor_removed,3,1,2a6be6efb617
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,be5fdccb4824
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_symbol_phase_only,symbol_phase_only,3,1,7817dd55de54
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_output_histogram_random,output_distribution_matched_random,3,1,8b3c2b7985ee
q3_radius1,q3r1_s1_0002,q3r1_s1_0037,stratum_null_q3r1_s1_0037,3,1,8262d8ab0ce0
q3_radius1,q3r1_s1_0002,q3r1_s1_0045,stratum_null_q3r1_s1_0045,3,1,a1e3934a7e7e
q3_radius1,q3r1_s1_0002,q3r1_s1_0043,stratum_null_q3r1_s1_0043,3,1,60da98a4af85
q3_radius1,q3r1_s1_0002,q3r1_s1_0009,stratum_null_q3r1_s1_0009,3,1,304d403bc145
q3_radius1,q3r1_s1_0002,q3r1_s1_0029,stratum_null_q3r1_s1_0029,3,1,5e688371388a
q3_radius1,q3r1_s1_0002,q3r1_s1_0040,stratum_null_q3r1_s1_0040,3,1,c942e3ea147a
q3_radius1,q3r1_s1_0002,q3r1_s1_0031,stratum_null_q3r1_s1_0031,3,1,cb403f0299a2
q3_radius1,q3r1_s1_0002,q3r1_s1_0044,stratum_null_q3r1_s1_0044,3,1,c715a9db1862
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,3,1,e85388ffe421
q3_radius1,q3r1_s1_0002,q3r1_s1_0049,stratum_null_q3r1_s1_0049,3,1,3ea84ab661a1
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_center_only_projection,center_only_projection,3,1,b8b17ad61346
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_left_neighbor_removed,left_neighbor_removed,3,1,a7ea0fedb1b1
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_right_neighbor_removed,right_neighbor_removed,3,1,2f4ec316d4ce
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,943c0b6cf8ac
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_symbol_phase_only,symbol_phase_only,3,1,f18629890708
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_output_histogram_random,output_distribution_matched_random,3,1,e3e71c1780c9
q3_radius1,q3r1_s2_0046,q3r1_s2_0035,stratum_null_q3r1_s2_0035,3,1,a4d244c4a032
q3_radius1,q3r1_s2_0046,q3r1_s2_0041,stratum_null_q3r1_s2_0041,3,1,9e22e7ea002b
q3_radius1,q3r1_s2_0046,q3r1_s2_0024,stratum_null_q3r1_s2_0024,3,1,47a3c8dcd53c
q3_radius1,q3r1_s2_0046,q3r1_s2_0039,stratum_null_q3r1_s2_0039,3,1,57b6f422cb77
q3_radius1,q3r1_s2_0046,q3r1_s2_0028,stratum_null_q3r1_s2_0028,3,1,574580a553f6
q3_radius1,q3r1_s2_0046,q3r1_s2_0038,stratum_null_q3r1_s2_0038,3,1,cc3ab03fa710
q3_radius1,q3r1_s2_0046,q3r1_s2_0019,stratum_null_q3r1_s2_0019,3,1,b3424a96fa9d
q3_radius1,q3r1_s2_0046,q3r1_s2_0023,stratum_null_q3r1_s2_0023,3,1,33e72d81d6b2
q3_radius1,q3r1_s2_0046,q3r1_s2_0012,stratum_null_q3r1_s2_0012,3,1,191dd3d5649d
q3_radius1,q3r1_s2_0046,q3r1_s2_0026,stratum_null_q3r1_s2_0026,3,1,e1ad3a61aaf0
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_center_only_projection,center_only_projection,3,1,b8b17ad61346
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_left_neighbor_removed,left_neighbor_removed,3,1,24588df6adbc
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_right_neighbor_removed,right_neighbor_removed,3,1,195d5d698b2f
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,97f94155cd32
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_symbol_phase_only,symbol_phase_only,3,1,b8b17ad61346
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_output_histogram_random,output_distribution_matched_random,3,1,4d63cbdcebb8
q3_radius1,q3r1_s3_0020,q3r1_s3_0004,stratum_null_q3r1_s3_0004,3,1,b993fcca6d3c
q3_radius1,q3r1_s3_0020,q3r1_s3_0002,stratum_null_q3r1_s3_0002,3,1,f217b03ae5a3
q3_radius1,q3r1_s3_0020,q3r1_s3_0049,stratum_null_q3r1_s3_0049,3,1,cb5fadc0e94d
q3_radius1,q3r1_s3_0020,q3r1_s3_0043,stratum_null_q3r1_s3_0043,3,1,e3e9f940fa7f
q3_radius1,q3r1_s3_0020,q3r1_s3_0011,stratum_null_q3r1_s3_0011,3,1,23c75377cbf9
q3_radius1,q3r1_s3_0020,q3r1_s3_0010,stratum_null_q3r1_s3_0010,3,1,6d532b4a86be
q3_radius1,q3r1_s3_0020,q3r1_s3_0022,stratum_null_q3r1_s3_0022,3,1,86616308e2f5
q3_radius1,q3r1_s3_0020,q3r1_s3_0009,stratum_null_q3r1_s3_0009,3,1,3ad360323594
q3_radius1,q3r1_s3_0020,q3r1_s3_0038,stratum_null_q3r1_s3_0038,3,1,ae7bde96491c
q3_radius1,q3r1_s3_0020,q3r1_s3_0005,stratum_null_q3r1_s3_0005,3,1,959cd751923b
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_center_only_projection,center_only_projection,3,1,b8b17ad61346
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_left_neighbor_removed,left_neighbor_removed,3,1,eb9bad361cac
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_right_neighbor_removed,right_neighbor_removed,3,1,5a738b020d97
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,6034b80826a3
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_symbol_phase_only,symbol_phase_only,3,1,c967f8ab78a0
