space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,"(2, 2, 2)",1025,oscillatory,0.0,6
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",520,travelling,0.267333984375,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_neighbor_removed,left_neighbor_removed,"(1, 2, 1)",242,travelling,0.102294921875,3
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_center_only_projection,center_only_projection,"(0, 2, 0)",102,emitter-like,0.0,1
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_center_only_projection,center_only_projection,"(0, 1, 1)",8,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",449,emitter-like,0.0,2
q3_radius1,q3r1_s1_0002,q3r1_s1_0045,stratum_null_q3r1_s1_0045,"(1, 1, 1)",768,travelling,0.5556640625,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0044,stratum_null_q3r1_s1_0044,"(0, 1, 0)",227,travelling,0.045166015625,4
q3_radius1,q3r1_s1_0002,q3r1_s1_0049,stratum_null_q3r1_s1_0049,"(2, 1, 0)",170,travelling,0.076904296875,4
q3_radius1,q3r1_s1_0002,q3r1_s1_0002,raw,"(1, 1, 1)",332,travelling,0.4234619140625,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0037,stratum_null_q3r1_s1_0037,"(2, 2, 2)",918,travelling,0.19873046875,11
q3_radius1,q3r1_s1_0002,q3r1_s1_0031,stratum_null_q3r1_s1_0031,"(0, 1, 2)",131,travelling,0.5054931640625,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0046,raw,"(2, 2, 2)",247,travelling,0.3282470703125,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_right_neighbor_removed,right_neighbor_removed,"(0, 1, 1)",103,travelling,0.344482421875,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0043,stratum_null_q3r1_s1_0043,"(0, 1, 2)",152,travelling,0.36767578125,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0009,stratum_null_q3r1_s1_0009,"(2, 2, 2)",892,travelling,0.6629638671875,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_output_histogram_random,output_distribution_matched_random,"(0, 1, 0)",231,emitter-like,0.6258544921875,17
q3_radius1,q3r1_s1_0002,q3r1_s1_0029,stratum_null_q3r1_s1_0029,"(1, 1, 1)",976,domain-wall-like,0.4556884765625,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_symbol_phase_only,symbol_phase_only,"(2, 2, 2)",1026,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s1_0002,q3r1_s1_0040,stratum_null_q3r1_s1_0040,"(1, 1, 1)",902,travelling,0.4769287109375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_center_only_projection,center_only_projection,"(0, 1, 2)",6,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s2_0046,q3r1_s2_0024,stratum_null_q3r1_s2_0024,"(1, 2, 1)",321,oscillatory,0.1278076171875,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_left_neighbor_removed,left_neighbor_removed,"(0, 2, 0)",467,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 0)",476,emitter-like,0.000732421875,4
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_symbol_phase_only,symbol_phase_only,"(0, 1, 2)",8,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s2_0046,q3r1_s2_0038,stratum_null_q3r1_s2_0038,"(0, 1, 0)",212,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_right_neighbor_removed,right_neighbor_removed,"(0, 2, 2)",122,travelling,0.36376953125,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0041,stratum_null_q3r1_s2_0041,"(2, 2, 2)",214,travelling,0.65625,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0039,stratum_null_q3r1_s2_0039,"(0, 2, 2)",300,travelling,0.060791015625,2
q3_radius1,q3r1_s2_0046,q3r1_s2_0012,stratum_null_q3r1_s2_0012,"(2, 2, 2)",289,domain-wall-like,0.4837646484375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_left_neighbor_removed,left_neighbor_removed,"(0, 1, 0)",277,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s2_0046,q3r1_s2_0028,stratum_null_q3r1_s2_0028,"(0, 2, 0)",194,travelling,0.030029296875,3
q3_radius1,q3r1_s2_0046,q3r1_s2_0046_output_histogram_random,output_distribution_matched_random,"(0, 2, 2)",208,emitter-like,0.511474609375,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0023,stratum_null_q3r1_s2_0023,"(1, 2, 0)",280,travelling,0.238037109375,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0035,stratum_null_q3r1_s2_0035,"(2, 1, 1)",158,travelling,0.53125,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0020,raw,"(0, 2, 0)",155,travelling,0.1768798828125,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0026,stratum_null_q3r1_s2_0026,"(1, 1, 1)",518,travelling,0.3646240234375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_right_neighbor_removed,right_neighbor_removed,"(0, 2, 0)",552,travelling,0.1734619140625,17
q3_radius1,q3r1_s2_0046,q3r1_s2_0019,stratum_null_q3r1_s2_0019,"(0, 2, 0)",299,travelling,0.315673828125,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",293,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_center_only_projection,center_only_projection,"(0, 1, 1)",8,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",7,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 0)",8,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0020,q3r1_s3_0022,stratum_null_q3r1_s3_0022,"(2, 2, 2)",282,travelling,0.3880615234375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0004,stratum_null_q3r1_s3_0004,"(0, 1, 2)",227,travelling,0.062255859375,3
q3_radius1,q3r1_s3_0020,q3r1_s3_0020_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",263,travelling,0.064208984375,4
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_left_neighbor_removed,left_neighbor_removed,"(0, 1, 0)",430,emitter-like,0.05126953125,14
q3_radius1,q3r1_s3_0020,q3r1_s3_0010,stratum_null_q3r1_s3_0010,"(0, 2, 2)",212,travelling,0.075439453125,3
q3_radius1,q3r1_s3_0020,q3r1_s3_0043,stratum_null_q3r1_s3_0043,"(0, 2, 1)",252,travelling,0.104248046875,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0038,stratum_null_q3r1_s3_0038,"(0, 1, 0)",323,travelling,0.1224365234375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0009,stratum_null_q3r1_s3_0009,"(0, 2, 0)",431,emitter-like,0.2142333984375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0049,stratum_null_q3r1_s3_0049,"(1, 1, 1)",251,travelling,0.60009765625,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0011,stratum_null_q3r1_s3_0011,"(1, 1, 1)",374,travelling,0.52685546875,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0002,stratum_null_q3r1_s3_0002,"(0, 2, 1)",208,travelling,0.223876953125,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0047,raw,"(0, 1, 0)",272,emitter-like,0.1751708984375,17
q3_radius1,q3r1_s3_0020,q3r1_s3_0005,stratum_null_q3r1_s3_0005,"(0, 1, 0)",865,travelling,0.4390869140625,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0014_right_neighbor_removed,right_neighbor_removed,"(1, 2, 1)",329,domain-wall-like,0.25,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0014_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",1026,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0047,q3r1_s3_0047_output_histogram_random,output_distribution_matched_random,"(0, 1, 2)",415,travelling,0.2628173828125,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0006,stratum_null_q3r1_s3_0006,"(0, 1, 2)",163,emitter-like,0.6038818359375,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0017,stratum_null_q3r1_s3_0017,"(0, 1, 0)",829,travelling,0.25244140625,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0000,stratum_null_q3r1_s3_0000,"(0, 1, 2)",104,travelling,0.6446533203125,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0039,stratum_null_q3r1_s3_0039,"(0, 2, 0)",146,emitter-like,0.569580078125,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0014_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",768,travelling,0.453125,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0016,stratum_null_q3r1_s3_0016,"(0, 1, 0)",354,travelling,0.256591796875,17
q3_radius1,q3r1_s3_0047,q3r1_s3_0021,stratum_null_q3r1_s3_0021,"(0, 1, 0)",319,travelling,0.10546875,8
q3_radius1,q3r1_s4_0014,q3r1_s4_0014,raw,"(1, 1, 1)",601,travelling,0.3848876953125,17
