parent_rule_id,rule_id,control_type,stable_product_rate,phase_sensitive_outcome_rate,new_motif_rate,emission_rate,interaction_outcome_diversity,dominant_interaction_outcome
q3r1_s1_0002,q3r1_s1_0002,raw,1.0,0.0,1.0,0.0,-0.0,new_motif
q3r1_s1_0002,q3r1_s1_0002_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s1_0002,q3r1_s1_0002_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s1_0002,q3r1_s1_0002_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s2_0046,q3r1_s2_0046,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s2_0046,q3r1_s2_0046_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s2_0046,q3r1_s2_0046_left_right_symmetrized_rule,left_right_symmetrized_rule,0.5,1.0,0.5,0.5,1.0,emission
q3r1_s2_0046,q3r1_s2_0046_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s2_0046,q3r1_s2_0046_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s3_0020,q3r1_s3_0020,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s3_0020,q3r1_s3_0020_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s3_0020,q3r1_s3_0020_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s3_0020,q3r1_s3_0020_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s3_0020,q3r1_s3_0020_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s3_0047,q3r1_s3_0047,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s3_0047,q3r1_s3_0047_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s3_0047,q3r1_s3_0047_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s3_0047,q3r1_s3_0047_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s3_0047,q3r1_s3_0047_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s4_0014,q3r1_s4_0014,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s4_0014,q3r1_s4_0014_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s4_0014,q3r1_s4_0014_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s4_0014,q3r1_s4_0014_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s4_0014,q3r1_s4_0014_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s5_0012,q3r1_s5_0012,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s5_0012,q3r1_s5_0012_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s5_0012,q3r1_s5_0012_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s5_0012,q3r1_s5_0012_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s5_0012,q3r1_s5_0012_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s5_0016,q3r1_s5_0016,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s5_0016,q3r1_s5_0016_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s5_0016,q3r1_s5_0016_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s5_0016,q3r1_s5_0016_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s5_0016,q3r1_s5_0016_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0000,q3r1_s7_0000,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0000,q3r1_s7_0000_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0000,q3r1_s7_0000_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0000,q3r1_s7_0000_symbol_phase_only,symbol_phase_only,0.5,1.0,0.5,0.0,1.0,collapse
q3r1_s7_0000,q3r1_s7_0000_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0001,q3r1_s7_0001,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0001,q3r1_s7_0001_center_only_projection,center_only_projection,0.5,1.0,0.5,0.0,1.0,pass_through
q3r1_s7_0001,q3r1_s7_0001_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0001,q3r1_s7_0001_symbol_phase_only,symbol_phase_only,0.5,1.0,0.5,0.0,1.0,pass_through
q3r1_s7_0001,q3r1_s7_0001_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0002,q3r1_s7_0002,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0002,q3r1_s7_0002_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0002,q3r1_s7_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0002,q3r1_s7_0002_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0002,q3r1_s7_0002_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0003,q3r1_s7_0003,raw,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0003,q3r1_s7_0003_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0003,q3r1_s7_0003_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0003,q3r1_s7_0003_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0003,q3r1_s7_0003_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0004,q3r1_s7_0004,raw,0.0,0.0,0.0,1.0,-0.0,emission
