space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,"(2, 2, 2)",1028,oscillatory,0.0,2
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,"(2, 2, 2)",1027,travelling,0.10107421875,2
q3_radius1,q3g3_s1_00009,q3g3_s1_00026,stratum_null_q3g3_s1_00026,"(1, 2, 2)",172,travelling,0.419189453125,17
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",373,travelling,0.06201171875,2
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",228,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_center_only_projection,center_only_projection,"(0, 1, 0)",385,emitter-like,0.0,2
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,"(2, 2, 2)",1027,travelling,0.3494873046875,17
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,"(2, 2, 2)",396,travelling,1.0,3
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,"(2, 2, 2)",1024,travelling,0.09814453125,8
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,"(1, 1, 1)",620,travelling,0.123046875,5
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,"(1, 1, 1)",606,travelling,0.16259765625,6
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",991,travelling,0.2529296875,17
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,"(2, 2, 2)",1024,travelling,0.17041015625,17
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,"(1, 1, 1)",985,travelling,0.22216796875,17
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,"(1, 1, 1)",428,travelling,0.08642578125,2
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,"(2, 1, 0)",176,travelling,0.5316162109375,17
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",461,travelling,0.4942626953125,17
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,"(2, 2, 2)",1027,local-phase-clock-like,0.0,3
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",1004,travelling,0.177978515625,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",1024,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,"(0, 2, 1)",6,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,"(0, 1, 2)",234,travelling,0.494384765625,17
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,"(2, 2, 2)",892,travelling,0.5404052734375,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,"(0, 1, 1)",308,travelling,0.06640625,2
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,"(1, 1, 1)",388,emitter-like,0.0,2
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,"(1, 2, 2)",172,travelling,0.419189453125,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,"(1, 1, 1)",606,travelling,0.16259765625,6
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,"(0, 1, 0)",239,travelling,0.345458984375,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,"(0, 1, 0)",324,travelling,0.060546875,2
q3_radius1,q3g3_s1_00026,q3g3_s1_00026,raw,"(1, 2, 2)",172,travelling,0.419189453125,17
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_left_neighbor_removed,left_neighbor_removed,"(0, 1, 1)",248,emitter-like,0.0,2
q3_radius1,q3g3_s1_00018,q3g3_s1_00009,stratum_null_q3g3_s1_00009,"(2, 2, 2)",1024,travelling,0.17041015625,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_output_histogram_random,output_distribution_matched_random,"(2, 2, 2)",397,travelling,0.9361572265625,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00083,stratum_null_q3g3_s1_00083,"(1, 1, 1)",985,travelling,0.22216796875,17
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_right_neighbor_removed,right_neighbor_removed,"(1, 2, 1)",451,travelling,0.3255615234375,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",456,travelling,0.4874267578125,17
q3_radius1,q3g3_s1_00018,q3g3_s1_00195,stratum_null_q3g3_s1_00195,"(2, 1, 0)",176,travelling,0.5316162109375,17
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",213,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00030,q3g3_s1_00030_center_only_projection,center_only_projection,"(2, 2, 2)",1025,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00030,q3g3_s1_00030_right_neighbor_removed,right_neighbor_removed,"(2, 2, 2)",1026,local-phase-clock-like,0.0,3
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",438,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",282,domain-wall-like,0.385498046875,17
q3_radius1,q3g3_s1_00043,q3g3_s1_00043_center_only_projection,center_only_projection,"(1, 1, 1)",1028,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00026,q3g3_s1_00018,stratum_null_q3g3_s1_00018,"(1, 1, 1)",606,travelling,0.16259765625,6
q3_radius1,q3g3_s1_00026,q3g3_s1_00009,stratum_null_q3g3_s1_00009,"(2, 2, 2)",1024,travelling,0.17041015625,17
q3_radius1,q3g3_s1_00026,q3g3_s1_00083,stratum_null_q3g3_s1_00083,"(1, 1, 1)",985,travelling,0.22216796875,17
q3_radius1,q3g3_s1_00043,q3g3_s1_00043_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",8,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00030,q3g3_s1_00030_symbol_phase_only,symbol_phase_only,"(0, 2, 0)",376,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s1_00030,q3g3_s1_00030,raw,"(2, 2, 2)",950,travelling,0.4423828125,17
