space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json
q3_radius1,q3g3_s1_00000,S1_random_unbiased,3,1,ee67fae1aa6d,True,2,True,False,0.4444444444444444,1.478434599662112,0.06721162236366729,0.0,True,True,"[1,0,1,2,0,2,1,2,1,2,1,0,2,2,2,2,2,0,1,2,2,0,2,2,0,1,2]"
q3_radius1,q3g3_s1_00001,S1_random_unbiased,3,1,1b518df77b0a,True,2,True,False,0.5185185185185185,1.3800943362833298,0.12925742050339462,0.0,True,True,"[1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,2,0,2,0,0,2,1,2,0,1]"
q3_radius1,q3g3_s1_00002,S1_random_unbiased,3,1,e21b14729455,True,2,True,False,0.5185185185185185,1.5012404120907166,0.05282275674809089,0.0,True,True,"[1,1,2,0,1,0,2,2,1,0,1,0,2,0,0,0,1,1,2,0,0,1,1,1,0,0,0]"
q3_radius1,q3g3_s1_00003,S1_random_unbiased,3,1,e1837ba4f6e4,True,2,True,False,0.4444444444444444,1.5448491887169091,0.02530868205777448,0.0,True,True,"[0,1,1,1,2,0,1,2,1,1,0,2,0,2,1,0,2,1,2,0,0,1,1,1,1,2,0]"
q3_radius1,q3g3_s1_00004,S1_random_unbiased,3,1,f923543e37c2,True,2,True,False,0.5185185185185185,1.540709585192697,0.02792048108918921,0.0,True,True,"[2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,0,1,0,0,1,0,2,0,0,2,2,2]"
q3_radius1,q3g3_s1_00005,S1_random_unbiased,3,1,2e17d7412a42,True,2,True,False,0.37037037037037035,1.579013207279971,0.0037535862447711787,0.0,False,False,"[1,2,2,2,2,0,1,0,2,1,1,1,1,0,0,2,0,2,0,1,1,0,0,0,2,1,0]"
q3_radius1,q3g3_s1_00006,S1_random_unbiased,3,1,ca6643ac9fa8,True,2,True,False,0.2222222222222222,1.5677116575334586,0.01088407024131377,0.0,False,False,"[2,0,2,0,0,0,2,1,2,2,2,0,0,2,0,1,1,1,1,0,1,0,0,2,0,1,1]"
q3_radius1,q3g3_s1_00007,S1_random_unbiased,3,1,dbeed2ad78e3,True,2,True,False,0.37037037037037035,1.478434599662112,0.06721162236366729,0.0,True,True,"[2,2,1,2,2,2,1,2,0,2,1,2,0,2,1,2,2,2,1,0,1,2,0,0,2,1,0]"
q3_radius1,q3g3_s1_00008,S1_random_unbiased,3,1,57a1dc9b9a1c,True,2,True,False,0.37037037037037035,1.5790132072799712,0.0037535862447710677,0.0,False,False,"[0,0,2,1,2,0,2,1,0,2,2,2,2,0,0,1,2,0,0,1,1,0,0,1,2,1,1]"
q3_radius1,q3g3_s1_00009,S1_random_unbiased,3,1,71507aecce77,True,2,True,False,0.5925925925925926,1.5448491887169091,0.02530868205777448,0.0,True,True,"[1,2,2,0,2,1,1,2,0,1,0,1,2,2,1,0,0,0,1,0,1,0,2,1,1,1,1]"
q3_radius1,q3g3_s1_00010,S1_random_unbiased,3,1,2dab8dd45370,True,2,True,False,0.2962962962962963,1.5663672668986361,0.011732286293246186,0.0,False,False,"[0,2,0,1,2,0,0,0,1,2,1,1,2,2,2,2,0,0,2,1,2,0,2,1,0,1,0]"
q3_radius1,q3g3_s1_00011,S1_random_unbiased,3,1,f531efcfc690,True,2,True,False,0.4444444444444444,1.461827895376681,0.07768928620610838,0.0,True,True,"[0,0,1,2,2,1,1,1,1,1,1,2,1,1,0,1,1,1,0,1,0,2,0,0,1,0,2]"
q3_radius1,q3g3_s1_00012,S1_random_unbiased,3,1,aa4be4c62a82,True,2,True,False,0.4444444444444444,1.5098693043797227,0.047378531862593665,0.0,True,True,"[0,1,0,1,0,1,0,1,2,0,2,1,2,0,1,0,2,0,0,0,0,1,1,0,0,2,2]"
q3_radius1,q3g3_s1_00013,S1_random_unbiased,3,1,8d1fe5c1badf,True,2,True,False,0.37037037037037035,1.4558764720277595,0.08144421627304277,0.0,True,True,"[1,0,0,1,1,2,0,0,2,1,1,0,1,0,0,0,2,1,0,1,2,1,0,1,0,0,1]"
q3_radius1,q3g3_s1_00014,S1_random_unbiased,3,1,63f53f3a1f0a,True,2,True,False,0.5925925925925926,1.5012404120907163,0.052822756748091004,0.0,True,True,"[2,2,0,0,2,2,2,0,1,1,1,1,0,1,1,1,2,2,1,0,2,2,2,1,2,1,2]"
q3_radius1,q3g3_s1_00015,S1_random_unbiased,3,1,9ce80192eb1a,True,2,True,False,0.4444444444444444,1.561015010593309,0.015109184045017487,0.0,False,False,"[2,0,2,2,1,0,0,1,0,1,2,1,2,1,2,1,0,1,0,0,0,0,1,1,0,0,2]"
q3_radius1,q3g3_s1_00016,S1_random_unbiased,3,1,96f1a75c9d2e,True,2,True,False,0.37037037037037035,1.540709585192697,0.02792048108918921,0.0,True,True,"[2,2,2,1,0,0,2,0,2,0,0,2,0,0,1,2,2,1,2,2,0,1,0,2,0,1,1]"
q3_radius1,q3g3_s1_00017,S1_random_unbiased,3,1,ae2c7eb2ff9b,True,2,True,False,0.37037037037037035,1.5012404120907163,0.052822756748091004,0.0,True,True,"[0,0,2,0,0,0,0,2,2,0,2,2,0,1,1,2,2,0,0,1,2,1,1,0,0,2,2]"
q3_radius1,q3g3_s1_00018,S1_random_unbiased,3,1,2a020a5f813b,True,2,True,False,0.4444444444444444,1.5448491887169091,0.02530868205777448,0.0,True,True,"[1,0,0,1,1,1,2,1,0,1,1,1,1,0,2,1,0,1,2,2,2,0,1,2,0,2,0]"
q3_radius1,q3g3_s1_00019,S1_random_unbiased,3,1,f2f1821f3136,True,2,True,False,0.5925925925925926,1.579013207279971,0.0037535862447711787,0.0,False,False,"[1,1,1,1,2,2,1,2,1,0,0,2,0,2,1,1,0,2,0,2,0,1,0,0,2,0,0]"
