invariant_a,invariant_b,cooccurrence_count,cooccurrence_rate_among_a
adjusted_persistence_positive,adjusted_persistence_positive,73,1.0
adjusted_persistence_positive,relation_positive,72,0.9863013698630136
adjusted_persistence_positive,asymmetry_positive,62,0.8493150684931506
adjusted_persistence_positive,local_phase_fakeout_rejected,38,0.5205479452054794
adjusted_persistence_positive,post_perturbation_survival_above_baseline,0,0.0
adjusted_persistence_positive,composition_positive,4,0.0547945205479452
adjusted_persistence_positive,non_emission_composition_positive,4,0.0547945205479452
relation_positive,adjusted_persistence_positive,72,0.4472049689440994
relation_positive,relation_positive,161,1.0
relation_positive,asymmetry_positive,126,0.782608695652174
relation_positive,local_phase_fakeout_rejected,85,0.5279503105590062
relation_positive,post_perturbation_survival_above_baseline,0,0.0
relation_positive,composition_positive,12,0.07453416149068323
relation_positive,non_emission_composition_positive,12,0.07453416149068323
asymmetry_positive,adjusted_persistence_positive,62,0.42758620689655175
asymmetry_positive,relation_positive,126,0.8689655172413793
asymmetry_positive,asymmetry_positive,145,1.0
asymmetry_positive,local_phase_fakeout_rejected,77,0.5310344827586206
asymmetry_positive,post_perturbation_survival_above_baseline,0,0.0
asymmetry_positive,composition_positive,14,0.09655172413793103
asymmetry_positive,non_emission_composition_positive,14,0.09655172413793103
local_phase_fakeout_rejected,adjusted_persistence_positive,38,0.3838383838383838
local_phase_fakeout_rejected,relation_positive,85,0.8585858585858586
local_phase_fakeout_rejected,asymmetry_positive,77,0.7777777777777778
local_phase_fakeout_rejected,local_phase_fakeout_rejected,99,1.0
local_phase_fakeout_rejected,post_perturbation_survival_above_baseline,0,0.0
local_phase_fakeout_rejected,composition_positive,6,0.06060606060606061
local_phase_fakeout_rejected,non_emission_composition_positive,6,0.06060606060606061
post_perturbation_survival_above_baseline,adjusted_persistence_positive,0,0.0
post_perturbation_survival_above_baseline,relation_positive,0,0.0
post_perturbation_survival_above_baseline,asymmetry_positive,0,0.0
post_perturbation_survival_above_baseline,local_phase_fakeout_rejected,0,0.0
post_perturbation_survival_above_baseline,post_perturbation_survival_above_baseline,0,0.0
post_perturbation_survival_above_baseline,composition_positive,0,0.0
post_perturbation_survival_above_baseline,non_emission_composition_positive,0,0.0
composition_positive,adjusted_persistence_positive,4,0.16
composition_positive,relation_positive,12,0.48
composition_positive,asymmetry_positive,14,0.56
composition_positive,local_phase_fakeout_rejected,6,0.24
composition_positive,post_perturbation_survival_above_baseline,0,0.0
composition_positive,composition_positive,25,1.0
composition_positive,non_emission_composition_positive,25,1.0
non_emission_composition_positive,adjusted_persistence_positive,4,0.16
non_emission_composition_positive,relation_positive,12,0.48
non_emission_composition_positive,asymmetry_positive,14,0.56
non_emission_composition_positive,local_phase_fakeout_rejected,6,0.24
non_emission_composition_positive,post_perturbation_survival_above_baseline,0,0.0
non_emission_composition_positive,composition_positive,25,1.0
non_emission_composition_positive,non_emission_composition_positive,25,1.0
