adjusted_persistence_positive,relation_positive,asymmetry_positive,local_phase_fakeout_rejected,post_perturbation_survival_above_baseline,composition_positive,non_emission_composition_positive,rule_count
False,True,True,True,False,False,False,32
True,True,True,True,False,False,False,31
False,False,False,False,False,False,False,30
False,True,True,False,False,False,False,26
True,True,True,False,False,False,False,26
False,True,False,True,False,False,False,13
False,True,False,False,False,False,False,10
False,False,False,False,False,True,True,10
False,False,True,True,False,False,False,8
False,False,True,False,False,False,False,7
True,True,False,False,False,False,False,7
False,True,True,False,False,True,True,5
False,False,False,True,False,False,False,5
True,True,False,True,False,False,False,4
True,True,True,True,False,True,True,3
False,False,True,False,False,True,True,2
False,True,True,True,False,True,True,2
False,False,True,True,False,True,True,1
False,True,False,False,False,True,True,1
True,False,True,False,False,False,False,1
True,True,True,False,False,True,True,1
