rule_id,stratum,motif_family,mechanism_label,mechanism_label_g4,dominant_active_neighborhood,dominant_active_neighborhood_count,symbol_turnover_by_phase_proxy,phase_sequence_length,translation_velocity_estimate,period_estimate,localized_component_lifetime_max,pattern_background_contrast,motif_material_turnover,future_distinct_descendant_count,dominant_interaction_outcome,reclassification
q3g3_s1_00009,S1_random_unbiased,local_phase_or_self_fakeout,travelling,travelling_identity,"(2, 2, 2)",1024,0.17041015625,17,-0.0179646809895833,0.0,388.5,1.0,0.3599802652994792,64.0,chaotic_explosion,symmetric_fakeout
q3g3_s1_00013,S1_random_unbiased,symmetric_control_fakeout,travelling,emitter,"(1, 1, 1)",620,0.123046875,5,1.0172526041666666e-05,0.0,351.0,1.0,0.0006052652994791,62.0,emission,symmetric_fakeout
q3g3_s1_00018,S1_random_unbiased,regular_life_like_discovery,travelling,emitter,"(1, 1, 1)",606,0.16259765625,6,0.0,0.0,381.0,1.0,0.0,63.0,emission,self_persistence_fakeout
q3g3_s1_00026,S1_random_unbiased,composition_without_validation,travelling,interaction_product,"(1, 2, 2)",172,0.419189453125,17,-0.0115000406901041,0.0,375.5,0.5377604166666667,0.4673055013020833,64.0,new_motif,generic_persistence
q3g3_s1_00030,S1_random_unbiased,validation_weak_persistence,travelling,travelling_identity,"(2, 2, 2)",950,0.4423828125,17,-0.0027872721354166,3.4375,513.0,1.0,0.6873728434244792,64.0,chaotic_explosion,control_adjusted_positive
q3g3_s1_00043,S1_random_unbiased,near_validation_pra,travelling,emitter,"(1, 1, 1)",1028,0.16162109375,17,0.0002390543619791,0.0,493.5,1.0,0.5428314208984375,64.0,emission,emission_only
q3g3_s1_00045,S1_random_unbiased,local_phase_or_self_fakeout,travelling,travelling_identity,"(1, 1, 1)",922,0.079833984375,4,0.00067138671875,0.0,324.0,0.984375,0.0230255126953125,64.0,chaotic_explosion,output_distribution_fakeout
q3g3_s1_00105,S1_random_unbiased,regular_life_like_discovery,travelling,travelling_identity,"(1, 1, 1)",909,0.146240234375,12,-6.103515625e-05,0.0,387.0,1.0,0.0323435465494791,64.0,chaotic_explosion,symmetric_fakeout
q3g3_s1_00108,S1_random_unbiased,validation_strong_persistence,travelling,travelling_identity,"(2, 2, 2)",174,0.1251220703125,17,-0.0074513753255208,0.25,452.0,0.8723958333333333,0.3864288330078125,60.0,collapse,control_adjusted_positive
q3g3_s1_00110,S1_random_unbiased,fragile_or_inconclusive,travelling,emitter,"(0, 1, 2)",167,0.138916015625,17,0.0038299560546875,1.375,516.0,1.0,0.3996124267578125,64.0,emission,generic_persistence
q3g3_s1_00114,S1_random_unbiased,local_phase_or_self_fakeout,travelling,emitter,"(1, 1, 1)",257,0.44970703125,17,-0.0014292399088541,0.0,516.0,1.0,0.6363474527994792,64.0,emission,self_persistence_fakeout
q3g3_s1_00117,S1_random_unbiased,local_phase_or_self_fakeout,travelling,emitter,"(2, 2, 2)",1006,0.2532958984375,17,-0.016571044921875,0.0,513.5,0.9934895833333331,0.3775787353515625,64.0,emission,self_persistence_fakeout
q3g3_s1_00122,S1_random_unbiased,validation_strong_persistence,travelling,travelling_identity,"(2, 2, 2)",913,0.39453125,17,2.1684043449710093e-19,1.125,516.0,1.0,0.4249114990234375,64.0,chaotic_explosion,control_adjusted_positive
q3g3_s1_00123,S1_random_unbiased,local_phase_or_self_fakeout,travelling,emitter,"(2, 2, 2)",233,0.2913818359375,17,0.0020904541015625,0.0,483.0,1.0,0.4905751546223958,64.0,emission,self_persistence_fakeout
q3g3_s1_00133,S1_random_unbiased,fragile_or_inconclusive,travelling,travelling_identity,"(0, 1, 0)",118,0.20068359375,17,-0.0137481689453125,0.0,452.0,1.0,0.3971048990885417,64.0,pass_through,generic_persistence
q3g3_s1_00162,S1_random_unbiased,symmetric_control_fakeout,travelling,travelling_identity,"(2, 2, 2)",974,0.0728759765625,8,-1.0172526041666666e-05,0.0,388.0,1.0,0.0364329020182291,64.0,chaotic_explosion,symmetric_fakeout
