world,T,branch_probability,forward_reverse_delta,directed_reachability_difference,reverse_recovery_cost,asymmetric_branch_differentiation
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.1,1.0,1.0,1.0,1.0
W1_distinction_only,50,0.25,1.0,1.0,1.0,1.0
W1_distinction_only,100,0.1,1.0,1.0,1.0,1.0
W1_distinction_only,100,0.25,1.0,1.0,1.0,1.0
W2_local_memory_only,50,0.1,1.0,1.0,1.0,1.0
W2_local_memory_only,50,0.25,1.0,1.0,1.0,1.0
W2_local_memory_only,100,0.1,1.0,1.0,1.0,1.0
W2_local_memory_only,100,0.25,1.0,1.0,1.0,1.0
W3_generic_coupling,50,0.1,1.0,1.0,1.0,1.0
W3_generic_coupling,50,0.25,1.0,1.0,1.0,1.0
W3_generic_coupling,100,0.1,1.0,1.0,1.0,1.0
W3_generic_coupling,100,0.25,1.0,1.0,1.0,1.0
W4_random_relation,50,0.1,1.0,1.0,1.0,1.0
W4_random_relation,50,0.25,1.0,1.0,1.0,1.0
W4_random_relation,100,0.1,1.0,1.0,1.0,1.0
W4_random_relation,100,0.25,1.0,1.0,1.0,1.0
W5_global_commutative_map,50,0.1,1.0,1.0,1.0,0.5
W5_global_commutative_map,50,0.25,1.0,1.0,1.0,0.5
W5_global_commutative_map,100,0.1,1.0,1.0,1.0,0.5
W5_global_commutative_map,100,0.25,1.0,1.0,1.0,0.5
W6_symmetric_invertible_map,50,0.1,0.5,0.5,1.0,0.5
W6_symmetric_invertible_map,50,0.25,0.5,0.5,1.0,0.5
W6_symmetric_invertible_map,100,0.1,0.5,0.5,1.0,0.5
W6_symmetric_invertible_map,100,0.25,0.5,0.5,1.0,0.5
W7_lossy_lock_in,50,0.1,1.0,1.0,1.0,1.0
W7_lossy_lock_in,50,0.25,1.0,1.0,1.0,1.0
W7_lossy_lock_in,100,0.1,1.0,1.0,1.0,1.0
W7_lossy_lock_in,100,0.25,1.0,1.0,1.0,1.0
W8_full_branching_connection_graph,50,0.1,0.9516796875,0.9516796875,1.0,0.9516796875
W8_full_branching_connection_graph,50,0.25,0.9523046875,0.9523046875,1.0,0.9523046875
W8_full_branching_connection_graph,100,0.1,0.95359375,0.95359375,1.0,0.95359375
W8_full_branching_connection_graph,100,0.25,0.95578125,0.95578125,1.0,0.95578125
W9_noise_rich,50,0.1,1.0,1.0,1.0,1.0
W9_noise_rich,50,0.25,1.0,1.0,1.0,1.0
W9_noise_rich,100,0.1,1.0,1.0,1.0,1.0
W9_noise_rich,100,0.25,1.0,1.0,1.0,1.0
