world,T,branch_probability,relation_ablation_delta,edge_map_shuffle_delta,node_context_permutation_delta,global_map_replacement_delta
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.1,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.25,0.0,0.0,0.0,0.0
W1_distinction_only,100,0.1,0.0,0.0,0.0,0.0
W1_distinction_only,100,0.25,0.0,0.0,0.0,0.0
W2_local_memory_only,50,0.1,0.0,0.0,0.0,0.0
W2_local_memory_only,50,0.25,0.0,0.0,0.0,0.0
W2_local_memory_only,100,0.1,0.0,0.0,0.0,0.0
W2_local_memory_only,100,0.25,0.0,0.0,0.0,0.0
W3_generic_coupling,50,0.1,0.00031600000000000004,0.0002844,0.000221199999999982,0.000189599999999982
W3_generic_coupling,50,0.25,0.000308,0.0002772,0.00021559999999997998,0.00018479999999998002
W3_generic_coupling,100,0.1,0.0,0.0,0.0,0.0
W3_generic_coupling,100,0.25,0.0,0.0,0.0,0.0
W4_random_relation,50,0.1,0.02,0.018,0.014000000000000002,0.012
W4_random_relation,50,0.25,0.02,0.018,0.014000000000000002,0.012
W4_random_relation,100,0.1,0.02,0.018,0.014000000000000002,0.012
W4_random_relation,100,0.25,0.02,0.018,0.014000000000000002,0.012
W5_global_commutative_map,50,0.1,0.04,0.036,0.028000000000000004,0.024
W5_global_commutative_map,50,0.25,0.04,0.036,0.028000000000000004,0.024
W5_global_commutative_map,100,0.1,0.04,0.036,0.028000000000000004,0.024
W5_global_commutative_map,100,0.25,0.04,0.036,0.028000000000000004,0.024
W6_symmetric_invertible_map,50,0.1,0.0799999999999999,0.0719999999999999,0.0559999999999999,0.047999999999999904
W6_symmetric_invertible_map,50,0.25,0.0799999999999999,0.0719999999999999,0.0559999999999999,0.047999999999999904
W6_symmetric_invertible_map,100,0.1,0.0799999999999999,0.0719999999999999,0.0559999999999999,0.047999999999999904
W6_symmetric_invertible_map,100,0.25,0.0799999999999999,0.0719999999999999,0.0559999999999999,0.047999999999999904
W7_lossy_lock_in,50,0.1,0.01,0.009,0.007000000000000001,0.006
W7_lossy_lock_in,50,0.25,0.01,0.009,0.007000000000000001,0.006
W7_lossy_lock_in,100,0.1,0.01,0.009,0.007000000000000001,0.006
W7_lossy_lock_in,100,0.25,0.01,0.009,0.007000000000000001,0.006
W8_full_branching_connection_graph,50,0.1,0.096804,0.08712359999999998,0.06776279999999996,0.05808239999999997
W8_full_branching_connection_graph,50,0.25,0.103968,0.09357120000000001,0.07277759999999997,0.06238079999999999
W8_full_branching_connection_graph,100,0.1,0.020568,0.0185112,0.014397599999999957,0.012340799999999975
W8_full_branching_connection_graph,100,0.25,0.016276,0.014648399999999997,0.011393199999999966,0.00976559999999998
W9_noise_rich,50,0.1,0.0,0.0,0.0,0.0
W9_noise_rich,50,0.25,0.0,0.0,0.0,0.0
W9_noise_rich,100,0.1,0.0,0.0,0.0,0.0
W9_noise_rich,100,0.25,0.0,0.0,0.0,0.0
