condition,alpha,T,control,counterfactual_profile_separation,intervention_viable_reachability_delta,component_conditioned_affordance_balance,counterfactual_affordance
coupled,0.45,900,none,0.027487673796713352,1.0,0.7443673069469918,0.5906183269145684
coupled,0.45,900,rigid_collapse,0.01910619903355837,0.20508163265306126,0.3612861532301869,0.19515799497226885
coupled,0.45,900,noise_fakeout,0.004454778274521232,1.0,0.9174903489293311,0.6406483757346174
coupled,0.45,900,single_component_erasure,0.045300789177417755,1.0,0.6227717705123296,0.5560241865632491
coupled,0.45,900,endpoint_fakeout,0.02400079369544983,1.0,0.688537782190274,0.570846191961908
coupled,0.45,900,delayed_trap,0.009493633173406124,1.0,0.8514085068749306,0.6203007133494456
coupled,0.45,900,component_swap_fakeout,0.02374028693884611,1.0,0.09550991485587207,0.37308340059823936
coupled,0.45,1500,none,0.024852926842868328,1.0,0.5987299752953724,0.541194300712747
coupled,0.45,1500,rigid_collapse,0.01714473031461239,0.14891836734693878,0.3203386422812233,0.16213391331425817
coupled,0.45,1500,noise_fakeout,0.00366050167940557,1.0,0.9564601571767797,0.6533735529520618
coupled,0.45,1500,single_component_erasure,0.0381591971963644,1.0,0.7604084315918607,0.5995225429294083
coupled,0.45,1500,endpoint_fakeout,0.021378811448812485,1.0,0.7401432335773246,0.5871740150087124
coupled,0.45,1500,delayed_trap,0.008676054421812296,1.0,0.6949276880725719,0.5678679141647948
coupled,0.45,1500,component_swap_fakeout,0.028098917566239834,1.0,0.09998347482810092,0.37602746413144694
coupled,0.45,2400,none,0.02216582465916872,1.0,0.5346746666265204,0.518946830428563
coupled,0.45,2400,rigid_collapse,0.01472798828035593,0.14337755102040814,0.3957332267545036,0.18461292201842258
coupled,0.45,2400,noise_fakeout,0.003663153387606144,1.0,0.9583136962501226,0.6539922832125763
coupled,0.45,2400,single_component_erasure,0.055110806599259377,1.0,0.3954636093016175,0.4835248053002923
coupled,0.45,2400,endpoint_fakeout,0.019358630292117596,1.0,0.7211685720598521,0.5801757341173231
coupled,0.45,2400,delayed_trap,0.008011222467757761,1.0,0.5924216136755623,0.5334776120477733
coupled,0.45,2400,component_swap_fakeout,0.033338967710733414,1.0,0.09234229224195672,0.3752270866508967
coupled,0.5,900,none,0.02861236408352852,1.0,0.7106896795476713,0.5797673478770666
coupled,0.5,900,rigid_collapse,0.020527548156678677,0.19044897959183674,0.43732876198586,0.2161017632447918
coupled,0.5,900,noise_fakeout,0.0033733766758814454,1.0,0.8143641275028086,0.6059125013928967
coupled,0.5,900,single_component_erasure,0.0407420564442873,1.0,0.7628179171272109,0.6011866578571661
coupled,0.5,900,endpoint_fakeout,0.024776222184300423,1.0,0.7068506290155108,0.577208950399937
coupled,0.5,900,delayed_trap,0.009757855732459575,1.0,0.8160753456124104,0.6086110671149566
coupled,0.5,900,component_swap_fakeout,0.025960257276892662,1.0,0.05322290341113083,0.3597277202293412
coupled,0.5,1500,none,0.02623081672936678,1.0,0.6244450791157413,0.550225298615036
coupled,0.5,1500,rigid_collapse,0.018898146227002144,0.14768367346938777,0.4993558826453715,0.22197923411392048
coupled,0.5,1500,noise_fakeout,0.004039602703414857,1.0,0.7918147287906894,0.5986181104980347
