condition,alpha,T,p_viable_T,control,sample_n,gpu_used,batch_seconds,start_temp_c,end_temp_c,max_temp_c,thermal_pause_events
coupled,0.45,900,0.998884814814815,none,252000,1.0,14.6807,47,48,48,0
coupled,0.45,900,0.998884814814815,rigid_collapse,252000,1.0,13.8717,49,49,49,0
coupled,0.45,900,0.998884814814815,noise_fakeout,252000,1.0,14.149,48,48,48,0
coupled,0.45,900,0.998884814814815,single_component_erasure,252000,1.0,13.8195,47,47,47,0
coupled,0.45,900,0.998884814814815,endpoint_fakeout,252000,1.0,13.7055,47,47,47,0
coupled,0.45,900,0.998884814814815,delayed_trap,252000,1.0,13.6748,47,47,47,0
coupled,0.45,900,0.998884814814815,component_swap_fakeout,252000,1.0,13.8574,47,47,47,0
coupled,0.45,1500,0.9988651851851853,none,252000,1.0,13.7527,47,47,47,0
coupled,0.45,1500,0.9988651851851853,rigid_collapse,252000,1.0,13.6015,49,49,49,0
coupled,0.45,1500,0.9988651851851853,noise_fakeout,252000,1.0,13.7141,49,49,49,0
coupled,0.45,1500,0.9988651851851853,single_component_erasure,252000,1.0,13.7341,47,47,47,0
coupled,0.45,1500,0.9988651851851853,endpoint_fakeout,252000,1.0,13.6357,49,49,49,0
coupled,0.45,1500,0.9988651851851853,delayed_trap,252000,1.0,13.4954,49,49,49,0
coupled,0.45,1500,0.9988651851851853,component_swap_fakeout,252000,1.0,13.8377,48,48,48,0
coupled,0.45,2400,0.9988562962962964,none,252000,1.0,13.6429,47,47,47,0
coupled,0.45,2400,0.9988562962962964,rigid_collapse,252000,1.0,14.0669,47,47,47,0
coupled,0.45,2400,0.9988562962962964,noise_fakeout,252000,1.0,13.5495,47,47,47,0
coupled,0.45,2400,0.9988562962962964,single_component_erasure,252000,1.0,13.5301,49,49,49,0
coupled,0.45,2400,0.9988562962962964,endpoint_fakeout,252000,1.0,13.3914,49,49,49,0
coupled,0.45,2400,0.9988562962962964,delayed_trap,252000,1.0,13.5039,47,47,47,0
coupled,0.45,2400,0.9988562962962964,component_swap_fakeout,252000,1.0,13.4679,47,47,47,0
coupled,0.5,900,0.9988955555555555,none,252000,1.0,13.5771,47,47,47,0
coupled,0.5,900,0.9988955555555555,rigid_collapse,252000,1.0,13.4442,47,47,47,0
coupled,0.5,900,0.9988955555555555,noise_fakeout,252000,1.0,13.3604,48,48,48,0
coupled,0.5,900,0.9988955555555555,single_component_erasure,252000,1.0,13.3677,47,47,47,0
coupled,0.5,900,0.9988955555555555,endpoint_fakeout,252000,1.0,13.5322,48,48,48,0
coupled,0.5,900,0.9988955555555555,delayed_trap,252000,1.0,13.4091,48,48,48,0
coupled,0.5,900,0.9988955555555555,component_swap_fakeout,252000,1.0,13.4874,47,47,47,0
coupled,0.5,1500,0.9989048148148147,none,252000,1.0,13.3995,47,47,47,0
coupled,0.5,1500,0.9989048148148147,rigid_collapse,252000,1.0,13.4047,47,47,47,0
coupled,0.5,1500,0.9989048148148147,noise_fakeout,252000,1.0,13.4044,47,47,47,0
coupled,0.5,1500,0.9989048148148147,single_component_erasure,252000,1.0,13.3013,47,47,47,0
coupled,0.5,1500,0.9989048148148147,endpoint_fakeout,252000,1.0,13.5233,47,47,47,0
coupled,0.5,1500,0.9989048148148147,delayed_trap,252000,1.0,13.3029,47,47,47,0
coupled,0.5,1500,0.9989048148148147,component_swap_fakeout,252000,1.0,13.4618,47,47,47,0
coupled,0.5,2400,0.9988885185185186,none,252000,1.0,13.489,47,47,47,0
coupled,0.5,2400,0.9988885185185186,rigid_collapse,252000,1.0,13.3536,49,49,49,0
coupled,0.5,2400,0.9988885185185186,noise_fakeout,252000,1.0,13.4654,46,46,46,0
coupled,0.5,2400,0.9988885185185186,single_component_erasure,252000,1.0,13.5376,47,47,47,0
coupled,0.5,2400,0.9988885185185186,endpoint_fakeout,252000,1.0,13.6622,47,47,47,0
coupled,0.5,2400,0.9988885185185186,delayed_trap,252000,1.0,13.6458,47,47,47,0
coupled,0.5,2400,0.9988885185185186,component_swap_fakeout,252000,1.0,13.2907,48,48,48,0
coupled,0.525,900,0.9989051851851851,none,252000,1.0,13.282,49,49,49,0
coupled,0.525,900,0.9989051851851851,rigid_collapse,252000,1.0,13.3501,49,49,49,0
coupled,0.525,900,0.9989051851851851,noise_fakeout,252000,1.0,13.3212,48,48,48,0
coupled,0.525,900,0.9989051851851851,single_component_erasure,252000,1.0,13.4054,49,49,49,0
coupled,0.525,900,0.9989051851851851,endpoint_fakeout,252000,1.0,13.3661,47,47,47,0
coupled,0.525,900,0.9989051851851851,delayed_trap,252000,1.0,13.3405,48,48,48,0
coupled,0.525,900,0.9989051851851851,component_swap_fakeout,252000,1.0,13.535,47,47,47,0
coupled,0.525,1500,0.99891,none,252000,1.0,13.6099,47,47,47,0
coupled,0.525,1500,0.99891,rigid_collapse,252000,1.0,13.5632,47,47,47,0
coupled,0.525,1500,0.99891,noise_fakeout,252000,1.0,13.663,47,47,47,0
coupled,0.525,1500,0.99891,single_component_erasure,252000,1.0,13.3652,48,48,48,0
coupled,0.525,1500,0.99891,endpoint_fakeout,252000,1.0,13.196,47,47,47,0
coupled,0.525,1500,0.99891,delayed_trap,252000,1.0,13.2817,48,48,48,0
coupled,0.525,1500,0.99891,component_swap_fakeout,252000,1.0,13.1433,48,48,48,0
coupled,0.525,2400,0.9989137037037037,none,252000,1.0,13.2069,48,48,48,0
coupled,0.525,2400,0.9989137037037037,rigid_collapse,252000,1.0,13.3652,48,48,48,0
coupled,0.525,2400,0.9989137037037037,noise_fakeout,252000,1.0,13.0618,47,47,47,0
coupled,0.525,2400,0.9989137037037037,single_component_erasure,252000,1.0,13.2509,47,47,47,0
coupled,0.525,2400,0.9989137037037037,endpoint_fakeout,252000,1.0,13.2078,48,48,48,0
coupled,0.525,2400,0.9989137037037037,delayed_trap,252000,1.0,13.0602,47,47,47,0
