control,T,mean_horizon_coherence,retention_at_original_threshold,overstrict,gate_ready
component_swap_fakeout,900,0.7750527275746332,1.0,False,False
component_swap_fakeout,1500,0.7750527275746332,1.0,False,False
component_swap_fakeout,2400,0.7750527275746332,1.0,False,False
delayed_trap,900,0.8391362350533962,1.0,False,False
delayed_trap,1500,0.8391362350533962,1.0,False,False
delayed_trap,2400,0.8391362350533962,1.0,False,False
endpoint_fakeout,900,0.8188519407357248,1.0,False,False
endpoint_fakeout,1500,0.8188519407357248,1.0,False,False
endpoint_fakeout,2400,0.8188519407357248,1.0,False,False
noise_fakeout,900,0.7577083368797991,0.6666666666666666,False,False
noise_fakeout,1500,0.7577083368797991,0.6666666666666666,False,False
noise_fakeout,2400,0.7577083368797991,0.6666666666666666,False,False
none,900,0.691522429332503,0.0,True,False
none,1500,0.691522429332503,0.0,True,False
none,2400,0.691522429332503,0.0,True,False
rigid_collapse,900,0.7299225859221345,0.0,False,False
rigid_collapse,1500,0.7299225859221345,0.0,False,False
rigid_collapse,2400,0.7299225859221345,0.0,False,False
single_component_erasure,900,0.7487611951356637,0.6666666666666666,False,False
single_component_erasure,1500,0.7487611951356637,0.6666666666666666,False,False
single_component_erasure,2400,0.7487611951356637,0.6666666666666666,False,False
